Label,Score,Learned Model ID
base,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-1
no repair,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",-1
repair1,"[2, 7, 4, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 100, 1, 1, 1, 1, 100, 1, 40, 100, 1, 100, 1, 1, 100, 1, 1, 1, 1, 1, 100, 100, 73, 1, 1, 1, 100, 100, 1, 1, 1, 1, 1, 1, 100, 1]",-1
repair2,"[100, 13, 1, 6, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 55, 1, 1, 1, 100, 100, 1, 12, 100, 1, 100, 1, 1, 100, 1, 100, 1, 1, 1, 100, 100, 37, 100, 1, 1, 100, 100, 100, 1, 1, 100, 1, 1, 100, 100]",-1
repair3,"[5, 1, 100, 100, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-1
repair4,"[2, 3, 100, 100, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-1
