Label,Score,Learned Model ID
base,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-1
no repair,"[-1, -1, -1, -1, -1, 1, -1, -1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, 1, 1]",-1
repair1,"[2, 2, 2, 1, 2, 1, 33, 1, 1, 1, 1, 2, 4, 1, -1, -1, -1, 1, 1, 7, 1, 1, 46, 1, 9, 1, 1, 1, 1, 1, 1, 100, 100, 1, 1, 11, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-1
repair2,"[2, 2, 2, 1, 3, 1, 2, 1, 1, 1, 2, 1, 4, 1, -1, -1, -1, 1, 1, 4, 1, 1, 1, 1, 4, 6, 1, 1, 1, 1, 1, 2, 100, 7, 6, 2, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-1
repair3,"[4, 2, 6, 1, 5, 3, 1, 2, 1, 1, 1, 5, 1, 1, -1, -1, -1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-1
repair4,"[2, 2, 1, 2, 2, 4, 2, 1, 1, 1, 1, 4, 4, 1, -1, -1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-1
