Label,Score,Learned Model ID
base,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, -1, -1, 1, 1, 1, 1, 1, -1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-1
no repair,"[-1, 1, -1, -1, -1, 1, 1, -1, 1, 1, -1, -1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, 1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, -1, 1, 1, -1, -1, -1, 1, 1]",-1
repair1,"[2, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 100, 11, 18, -1, -1, -1, 54, 1, 2, 1, 1, -1, 1, -1, 1, 1, 1, 1, 100, 1, 36, 6, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 100, 1, 1, 1, 1]",-1
repair2,"[2, 1, 3, 1, 2, 1, 1, 1, 1, 1, 2, 4, 4, 1, -1, -1, -1, 1, 1, 3, 1, 1, -1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 7, 1, 1, -1, 1, 5, 1, 1, 1, 1, 1, 75, 1, 1, 1, 1]",-1
repair3,"[4, 2, 7, 100, 3, 2, 2, 1, 1, 1, 2, 3, 1, 1, -1, -1, -1, 1, 1, 1, 1, 1, -1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-1
repair4,"[2, 1, 1, 2, 1, 1, 2, 2, 1, 1, 1, 4, 1, 1, -1, -1, -1, 1, 1, 1, 1, 1, -1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, -1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-1
