Domain,Level,Label,Avg Planning,Avg Exec & Repair
minecraftNew,Level 2 (4-6),all monomials repair,1.00396608466656,0.7948708153330274
minecraftNew,Level 2 (4-6),adaptive repair base,1.4992098610002964,1.341123695333396
expeditionNew,Level 1 (1-3),oracle,7.81110752333431,0.15146360733371694
expeditionNew,Level 1 (1-3),base domain - no repair,0.11215513999942535,0.0966518479991161
expeditionNew,Level 1 (1-3),all monomials repair,0.46802691066657043,0.21940197799995076
expeditionNew,Level 1 (1-3),adaptive repair base,0.9168272366664799,0.39965527000041523
expeditionNew,Level 1 (1-3),adaptive repair + support for signature change,2.3428407413334935,0.23770528533350443
expeditionNew,Level 2 (4-6),oracle,8.044783718666876,0.11989744933322072
expeditionNew,Level 2 (4-6),base domain - no repair,0.09497125599960177,0.06532028266597384
expeditionNew,Level 2 (4-6),all monomials repair,0.44414370599969205,0.247444174666792
expeditionNew,Level 2 (4-6),adaptive repair base,0.6423779680004615,0.3019442626656383
expeditionNew,Level 2 (4-6),adaptive repair + support for signature change,0.9017080406667084,0.33745306999946484
droneNew,Level 1 (1-3),oracle,3.014953624666765,0.027156765999728428
droneNew,Level 1 (1-3),base domain - no repair,0.14336046799997956,0.052203213333171634
droneNew,Level 1 (1-3),all monomials repair,1.3530220253331453,0.36826875733286824
droneNew,Level 1 (1-3),adaptive repair base,0.9692316940001183,0.23289496466659332
droneNew,Level 1 (1-3),adaptive repair + support for signature change,1.979560712666668,0.19180570866607013
droneNew,Level 2 (4-6),oracle,0.20987364966548439,0.056086087665898954
droneNew,Level 2 (4-6),base domain - no repair,0.18008797199989202,0.06913212833377959
droneNew,Level 2 (4-6),all monomials repair,3.0076280980001804,1.094982884666533
droneNew,Level 2 (4-6),adaptive repair base,2.8943307050001263,1.1878349496660425
droneNew,Level 2 (4-6),adaptive repair + support for signature change,1.494038524332718,0.6032920013330294
