Label,Score,Learned Model ID,planing time,execute & repair time,Plan Length
oracle,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 17, 18, 19, 20, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 34, 35, 36, 37, 38, 38, 39, 40, 41, 42, 43, 44, 45, 46]",-1,"(0.21995919999608304, 0.0856194000079995, 0.08668999999645166, 0.09924640000099316, 0.1139028000034159, 0.13501759999780916, 0.08268560000578873, 0.09584870000253431, 0.13824230000318494, 0.08777199999894947, 0.5500885999936145, 0.10109640000155196, 0.3372879000089597, 0.08546729999943636, 0.11211340001318604, 0.14018109999597073, 0.09600550000322983, 60.24031190000824, 0.17557719998876564, 0.09213740000268444, 0.08891530000255443, 60.25033119998989, 0.13985459999821614, 0.1145329999999376, 0.13059630000498146, 0.0995827000006102, 60.25806209999428, 0.08269779999682214, 0.07660630000464153, 0.11697519999870565, 0.09400430000096094, 0.12307039998995606, 0.2086738000070909, 0.08353160000115167, 0.0933554999937769, 0.09148849999473896, 60.245781999998144, 0.13578689999121707, 0.13025139999808744, 0.17261019999568816, 0.09075460000894964, 60.22271639999235, 0.07976589999452699, 0.12639530000160448, 0.07799099999829195, 0.4073134999925969, 0.0866983000014443, 0.09013700000650715, 0.1245063999958802, 0.1385590999998385)","(0.0827525000058813, 0.007490600008168258, 0.02573080000001937, 0.04038890000083484, 0.05618439998943359, 0.03662050000275485, 0.03722720000951085, 0.027316699997754768, 0.007512900003348477, 0.035472600007778965, 0.11849870000150986, 0.03560509999806527, 0.15547409999999218, 0.022169699994265102, 0.062043700003414415, 0.035403799993218854, 0.02445919999445323, 0.033017499998095445, 0.04511790000833571, 0.03517889999784529, 0.04750919999787584, 0.04856540000764653, 0.061888800002634525, 0.048018000001320615, 0.04456120000395458, 0.04880959998990875, 2.62086910000653, 0.007328499996219762, 0.03290540000307374, 0.007227499998407438, 0.03858589999435935, 0.04689860000507906, 0.08159850000811275, 0.006613599995034747, 0.02908670000033453, 0.03809750000073109, 0.05367079999996349, 0.04836810000415426, 0.034863499997300096, 0.11986160000378732, 0.03255430000717752, 0.07647869999345858, 0.0258482999925036, 0.030246499998611398, 0.03945039999962319, 0.11910050000005867, 0.04973260000406299, 0.05082560000300873, 0.04736850000335835, 0.03539579999051057)","(36, 4, 4, 10, 11, 4, 10, 5, 4, 10, 56, 4, 25, 4, 9, 4, 4, 5, 7, 4, 8, 4, 9, 7, 18, 9, 997, 4, 10, 4, 4, 9, 18, 4, 6, 14, 4, 7, 4, 28, 12, 8, 5, 4, 11, 41, 6, 9, 8, 4)"
base domain - no repair,"[0, 0, 1, 1, 1, 1, 2, 2, 3, 4, 4, 4, 5, 5, 6, 6, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11]",-1,"(0.07186250000086147, 0.0710974000103306, 0.07936180000251625, 0.0754670000023907, 0.0720399000128964, 0.07292120000056457, 0.0690487999963807, 0.0719437000079779, 0.0740832000010414, 0.06931079999776557, 0.07125930000620428, 0.07222489999548998, 0.07546340000408236, 0.07313419999263715, 0.07358179999573622, 0.07536289999552537, 0.07219380000606179, 0.07268589999875985, 0.07584779999160673, 0.07584659999702126, 0.073337600013474, 0.0703635999961989, 0.07212179999623913, 0.07274830000824295, 0.07263589999638498, 0.06919419999758247, 0.07077049999497831, 0.07054719999723602, 0.07557010000164155, 0.07192339999892283, 0.07066710000799503, 0.0783950999903027, 0.07213169999886304, 0.07290160001139157, 0.0724694999953499, 0.07592419999127742, 0.06905199999164324, 0.07079330000851769, 0.07573559999582358, 0.07499029999598861, 0.07247799998731352, 0.0701612999982899, 0.07155960000818595, 0.07344760000705719, 0.07313679999788292, 0.07432349999726284, 0.0707403999986127, 0.07289209999726154, 0.07111549998808187, 0.07658079999964684)","(0.02633540000533685, 0.006484400000772439, 0.03140230001008604, 0.05282189999707043, 0.071779100006097, 0.05146319999767002, 0.057776000001467764, 0.026600299999699928, 0.007126699987566099, 0.04817180000827648, 0.051004199995077215, 0.042461199991521426, 0.040752200002316386, 0.020402699999976903, 0.07550630001060199, 0.03878949998761527, 0.027527899990673177, 0.027436299991677515, 0.04851510000298731, 0.03944150000461377, 0.042680400001700036, 0.049645099992631, 0.0512250000028871, 0.04513820000283886, 0.021904399996856228, 0.07225230000040028, 0.031577400004607625, 0.011814099998446181, 0.03227469998819288, 0.0071779999998398125, 0.05346260000078473, 0.03387810000276659, 0.0859263999882387, 0.008054999998421408, 0.021608900002320297, 0.028037600000970997, 0.04339089999848511, 0.060884999998961575, 0.056872900007874705, 0.05198299999756273, 0.03687910000735428, 0.05837170001177583, 0.027842299998155795, 0.04014509999251459, 0.030470400000922382, 0.028515999991213903, 0.05430020000494551, 0.05357750000257511, 0.06831650000822265, 0.047043200000189245)","(4, 4, 4, 6, 8, 4, 8, 4, 4, 8, 6, 4, 4, 4, 7, 4, 4, 5, 4, 4, 6, 4, 7, 4, 4, 7, 6, 4, 8, 4, 4, 4, 8, 4, 4, 4, 4, 4, 4, 6, 7, 8, 4, 4, 4, 4, 4, 6, 5, 4)"
all monomials repair,"[0, 0, 1, 2, 2, 2, 3, 3, 4, 5, 5, 5, 5, 5, 6, 7, 8, 9, 10, 10, 10, 10, 10, 10, 10, 11, 11, 11, 12, 12, 13, 14, 15, 15, 16, 17, 18, 18, 18, 19, 19, 19, 19, 19, 19, 19, 19, 20, 21, 22, 23]",-1,"(0.07551710000552703, 0.0914924999960931, 0.07108639999933075, 0.08037140000669751, 0.1279530000028899, 0.0769670000008773, 0.07022709999000654, 0.07952739999745972, 0.0844912999891676, 0.07033820000651758, 0.07440529999439605, 0.07655559999693651, 0.08091560000320897, 0.4883268000121461, 0.15632569999434054, 0.07842169998912141, 0.08193000000028405, 0.15409100000397302, 0.07439979999617208, 0.07054070000594947, 0.09669940000458155, 0.08367029999499209, 0.07041699999535922, 0.07909360001212917, 0.06905099999858066, 0.16541329999745358, 0.06878630000574049, 0.06991359998937696, 0.07662369999161456, 0.11191550000512507, 0.06920480000553653, 0.09429039999668021, 0.08102250000229105, 0.10076090000802651, 0.08084779999626335, 1.2058871999906842, 0.0699973000009777, 0.08033129999239463, 0.0772039000003133, 0.2285935999971116, 0.1021413999987999, 0.0679495000076713, 0.06819789999281056, 0.07959110000228975, 0.08728789999440778, 0.07681589999992866, 0.18891129999246914, 4.7162157999991905, 0.1778316999989329, 0.07897190000221599)","(0.037524800005485304, 0.0221328000043286, 0.03999209999165032, 0.08121889999893028, 0.12242139999580104, 0.02470930000708904, 0.09862580000481103, 0.06771820000722073, 0.02492530000745319, 0.06280529999639839, 0.05455900001106784, 0.06214039999758825, 0.09198739999555983, 0.16448510000191163, 0.25871059999917634, 0.081814300006954, 0.0408434999990277, 0.19691430000239052, 0.0770529000001261, 0.06109670001023915, 0.0754774999950314, 0.04917679999198299, 0.08993469999404624, 0.052194899995811284, 0.049620199992205016, 0.2729429000028176, 0.04807319999963511, 0.02787410000746604, 0.08516280000912957, 0.1740773000055924, 0.03183760000683833, 0.15831299999263138, 0.121886099994299, 0.08989519999886397, 0.06577079999260604, 0.2184166999941226, 0.0544921999971848, 0.10247159999562427, 0.07460350000474136, 0.3286373000009917, 0.08423949999269098, 0.07107839999662247, 0.03447369999776129, 0.05689550000533927, 0.047239499996067025, 0.038700300006894395, 0.4166352000029292, 0.24955720000434667, 0.13259360000665765, 0.10427519999211654)","(4, 4, 4, 9, 11, 4, 10, 6, 4, 8, 6, 4, 10, 37, 22, 6, 6, 33, 5, 4, 8, 5, 7, 4, 4, 29, 6, 4, 12, 23, 4, 17, 12, 11, 6, 33, 4, 9, 4, 41, 9, 8, 4, 4, 5, 4, 41, 38, 18, 5)"
adaptive repair base,"[0, 0, 1, 2, 2, 3, 4, 4, 4, 5, 6, 6, 7, 7, 8, 9, 10, 11, 11, 11, 11, 11, 11, 12, 12, 12, 12, 12, 13, 13, 14, 14, 14, 14, 15, 15, 15, 15, 15, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 16, 17]",-1,"(0.07158180000260472, 0.07154669999727048, 4.515259400010109, 0.08549979999952484, 0.6033602000097744, 0.07618519999959972, 0.07589340000413358, 0.5008843999967212, 1.7593701999867335, 0.7366897000028985, 0.13896539999404922, 0.0756554999970831, 0.07922030000190716, 0.10327639999741223, 0.11207399998966139, 0.07520199999271426, 0.0795462999958545, 0.07987250000587665, 0.07868070001131855, 0.0777858999936143, 0.07521389999601524, 0.08048189998953603, 0.10061890000361018, 0.07931889999599662, 0.07671189999382477, 0.1058136000065133, 0.07517250000091735, 0.07569070000317879, 0.08249659999273717, 0.07458100000803825, 0.08000419999007136, 0.08308520000719, 0.08178159999079071, 0.0750465000019176, 0.08479710000392515, 0.07432410000183154, 0.08285800000885502, 0.07971330000145826, 0.07839470000180881, 0.07539070000348147, 0.07572099998651538, 0.07838090001314413, 0.07334210000408348, 0.07932760000403505, 0.07792900000640657, 0.08512469999550376, 0.08090159999846946, 0.07670859999780077, 0.08058039999741595, 0.08267489999707323)","(0.030740799993509427, 0.028955599991604686, 5.831987000012305, 0.11444269999628887, 0.4844084000069415, 0.0648800999915693, 0.05616880000161473, 0.24756790000537876, 0.26042120000056457, 5.810113100000308, 0.10582810000050813, 0.11316239999723621, 0.07425519998650998, 0.0990868000080809, 0.17774650000501424, 0.09841049999522511, 0.09022209999966435, 0.03403859998797998, 0.09202969999751076, 0.08520410000346601, 0.040588599993498065, 0.06440240000665653, 0.18560709999292158, 0.07464649999747053, 0.06389649999618996, 0.08495000000402797, 0.035214899995480664, 0.10302670000237413, 0.08713489999354351, 0.08654190000379458, 0.07340350000595208, 0.06981289999384899, 0.10508900000422727, 0.086838400005945, 0.08220810000784695, 0.04751869999745395, 0.07137809999403544, 0.0711581999930786, 0.09015819999331143, 0.04274809999333229, 0.03858200000831857, 0.08619170000019949, 0.05118840000068303, 0.09718539999448694, 0.058438200008822605, 0.047711399995023385, 0.07988730000215583, 0.0515365000028396, 0.07616480000433512, 0.10615300000063144)","(4, 4, 980, 11, 38, 4, 7, 24, 29, 547, 10, 4, 4, 5, 10, 4, 4, 4, 4, 4, 4, 4, 9, 4, 4, 6, 4, 4, 9, 4, 4, 4, 9, 4, 4, 4, 4, 4, 4, 4, 6, 7, 4, 4, 4, 4, 4, 6, 4, 4)"
adaptive repair + support for signature change,"[0, 0, 1, 2, 2, 2, 2, 2, 3, 4, 4, 4, 5, 6, 7, 8, 9, 10, 10, 11, 12, 13, 13, 14, 15, 16, 17, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 26, 27, 28, 29, 30, 30, 31, 32, 33, 34, 35, 36, 37, 38]",12,"(0.07128190000366885, 0.07756639999570325, 4.398755000001984, 0.10357079999812413, 0.07907069999782834, 0.0852349999913713, 0.07193350000306964, 0.09449779998976737, 0.2449622999993153, 0.0888699000061024, 0.47675669999443926, 0.31568120000883937, 0.34995630000776146, 0.08261359999596607, 0.1073748000053456, 0.1497047000011662, 0.09559460000309628, 0.09616950000054203, 0.17962639998586383, 0.09292969999660272, 0.08543809999537189, 0.07366080000065267, 0.11723019999044482, 0.11326360001112334, 0.12582909999764524, 0.10057740000775084, 0.07218030000512954, 0.0789675999985775, 0.08108329999959096, 0.11746929999208078, 0.09574599999177735, 0.12832269999489654, 0.22692350001307204, 0.08006459999887738, 0.09795989999838639, 0.08888379999552853, 0.0773514000029536, 0.1202396000007866, 0.1276262999890605, 0.19688620000670198, 0.09563480000360869, 0.07784140000876505, 0.07686690000991803, 0.10187139999470674, 0.08646939999016467, 0.46378469999763183, 0.09430029999930412, 0.08856380000361241, 0.13108180000563152, 0.1560172000026796)","(0.03658569999970496, 0.0308870000008028, 5.348393599997507, 0.12562350000371225, 0.07599750001099892, 0.060601999997743405, 0.0625541999907, 0.06721439999819268, 0.052269699997850694, 0.05373679999320302, 0.06584170000860468, 0.08192830000189133, 0.28056630000355653, 0.03131720000237692, 0.0958359000069322, 0.0564851999952225, 0.03896690001420211, 0.043930900006671436, 0.07406559999799356, 0.051330299989786, 0.08111909999570344, 0.039153599995188415, 0.10694719999446534, 0.07647280000674073, 0.09682039999461267, 0.08693930000299588, 0.04565390000061598, 0.0189230999967549, 0.061864899995271116, 0.022578900010557845, 0.06653799999912735, 0.07418900000629947, 0.21627380000427365, 0.01837050000904128, 0.049181800000951625, 0.07931559999997262, 0.059883499998250045, 0.08717720001004636, 0.06722250000166241, 0.25816859999031294, 0.07517279998864979, 0.08511960000032559, 0.036941600003046915, 0.054555700000491925, 0.06643039999471512, 0.29828919999999925, 0.10351570000057109, 0.07554719998734072, 0.1115295000054175, 0.06607839999196585)","(4, 4, 980, 17, 8, 4, 8, 4, 4, 5, 8, 4, 25, 4, 9, 4, 4, 5, 7, 4, 8, 4, 9, 7, 18, 9, 6, 4, 10, 4, 4, 9, 18, 4, 6, 14, 4, 7, 4, 28, 12, 8, 5, 4, 11, 41, 6, 9, 8, 4)"
