Label,Score,Learned Model ID,planing time,execute & repair time,Plan Length
oracle,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]",-1,"(0.15078140000696294, 0.16343980000237934, 0.16300020000198856, 0.18951920000836253, 0.17163779999827966, 0.19255919998977333, 0.12443619998521172, 0.30835549999028444, 0.0961849000013899, 0.19083279999904335, 0.20924779999768361, 0.3124854000052437, 0.14040750000276603, 0.1772748999937903, 60.27347469999222, 0.37196799999219365, 0.3122204000246711, 0.17911880000610836, 0.1537110999925062, 0.18644550000317395, 0.23330530000384897, 0.126903600001242, 2.989860600006068, 0.10578330000862479, 0.32084579998627305, 0.2189584999869112, 0.30568379999022, 0.22518390000914223, 0.1384574999974575, 1.4481341000064276, 0.14762740000151098, 0.14595659999758936, 0.1589945000014268, 0.13239680000697263, 0.13347699999576434, 0.16901790001429617, 0.19332309998571873, 0.20507649998762645, 60.23183939998853, 0.16175729999667965, 0.12376760001643561, 0.11421690002316609, 0.1506459999945946, 0.16218019998632371, 0.14386060001561418, 0.22358009999152273, 0.15854959998978302, 0.17452430000412278, 0.14271819998975843, 0.10366530000464991)","(0.017751599982148036, 0.01873190002515912, 0.011025699990568683, 0.03160449999268167, 0.026511400006711483, 0.027443200000561774, 0.015024199994513765, 0.04031880002003163, 0.0009847000183071941, 0.024114200001349673, 0.03952290001325309, 0.07825120000052266, 0.025193700013915077, 0.014892100007273257, 0.38143949999357574, 0.06494019998353906, 0.09543750001466833, 0.040623200009576976, 0.017812999984016642, 0.02806159999454394, 0.03898650000337511, 0.00937720001093112, 0.3543974000203889, 0.0015218000044114888, 0.08707539999159053, 0.0634149000106845, 0.0772622000076808, 0.030331099987961352, 0.021644299995386973, 0.23280800000065938, 0.006835400010459125, 0.019573900004616007, 0.043402799987234175, 0.009736600011819974, 0.013049499975750223, 0.03771380000398494, 0.04080149999936111, 0.06689499999629334, 0.033364800008712336, 0.041987900011008605, 0.001800600002752617, 0.016145700006745756, 0.0100215999991633, 0.02008340001339093, 0.004908399976557121, 0.03494230000069365, 0.02939650000189431, 0.04821730000548996, 0.017333700001472607, 0.0010095000034198165)","(32, 26, 23, 21, 23, 35, 17, 109, 1, 29, 91, 139, 36, 39, 463, 155, 160, 47, 17, 50, 104, 25, 838, 1, 161, 78, 124, 62, 26, 426, 15, 33, 60, 15, 12, 54, 59, 101, 91, 51, 3, 9, 17, 22, 4, 69, 56, 53, 16, 1)"
base domain - no repair,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 5, 5, 6, 6, 6, 6, 6, 7, 7, 8, 8, 8, 9, 10, 10, 10, 10, 10, 10, 11, 12, 13, 14, 14, 15, 16, 16, 16, 17]",-1,"(0.11151789998984896, 0.10989789999439381, 0.1407492000143975, 0.13226660000509582, 0.13438189998851158, 0.12814780001644976, 0.11351019999710843, 0.1432388999965042, 0.09916559999692254, 0.12771129998145625, 0.1565180000034161, 0.11947390000568703, 0.11730670000542887, 0.10720170001150109, 0.1747987000271678, 0.19323330000042915, 0.13530349999200553, 0.15520000000833534, 0.13670600001933053, 0.1251580000098329, 0.1600414999993518, 0.14720249999663793, 0.1689464999944903, 0.11225919998832978, 0.18907529997522943, 0.13693520001834258, 0.2004525999946054, 0.13335340001503937, 0.12133280001580715, 0.12695089998305775, 0.12446759999147616, 0.17980569999781437, 0.20675489999121055, 0.10676170000806451, 0.1357477999990806, 0.18012269999599084, 0.17340880000847392, 0.16635260000475682, 0.12152690000948496, 0.12306159999570809, 0.12953619999461807, 0.1264761000056751, 0.14405389997409657, 0.11589499999536201, 0.1302927000215277, 0.13526619999902323, 0.13386510001146235, 0.14611359999980778, 0.13541439999244176, 0.11566509999101982)","(0.01630349998595193, 0.008886099996743724, 0.024162599991541356, 0.027428200002759695, 0.010691600007703528, 0.011253799981204793, 0.021077599987620488, 0.02466860000276938, 0.001086699980078265, 0.010155700001632795, 0.030684699973789975, 0.043038600008003414, 0.018748999980743974, 0.01660709999850951, 0.05276610000873916, 0.03292749999673106, 0.06797249999362975, 0.03978549997555092, 0.006660999992163852, 0.0425217000010889, 0.04568060001474805, 0.02872070000739768, 0.050499899982241914, 0.0012286000128369778, 0.05841789999976754, 0.027709199988748878, 0.05321750001166947, 0.005054399982327595, 0.02041970001300797, 0.01607680000597611, 0.011666200007312, 0.03951440000673756, 0.04374719999032095, 0.022311999986413866, 0.016781799989985302, 0.04481369999120943, 0.04436499997973442, 0.03231229999801144, 0.007558799989055842, 0.03809069999260828, 0.0035245000035502017, 0.00782440000330098, 0.011372600012691692, 0.01833469999837689, 0.0036069000198040158, 0.03094319999217987, 0.022534599993377924, 0.02176490001147613, 0.011864200001582503, 0.0014475999923888594)","(31, 22, 33, 36, 28, 17, 25, 31, 1, 9, 47, 57, 42, 13, 103, 87, 96, 64, 20, 58, 52, 31, 52, 1, 77, 31, 43, 8, 29, 34, 16, 45, 103, 22, 18, 81, 58, 96, 19, 39, 4, 10, 25, 23, 2, 75, 58, 44, 12, 1)"
all monomials repair,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",26,"(0.14927649998571724, 0.11956630001077428, 0.1495868999918457, 5.830432200018549, 0.1760169000190217, 0.10614580000401475, 0.1424447000026703, 0.1877606000052765, 0.11461970000527799, 0.1876631999912206, 0.12501129999873228, 0.1252256000007037, 0.1575097999884747, 0.12952330001280643, 0.19578730000648648, 0.12422299999161623, 0.1866990000125952, 0.1298495999944862, 0.11707979999482632, 0.20400669999071397, 0.2712061000056565, 0.20999200001824647, 0.15587749998667277, 0.1510822999989614, 0.3760389999952167, 0.14990509999915957, 0.29341870002099313, 0.22085169999627396, 0.1441789000236895, 1.317784999992, 0.12290019998908974, 0.1608678999764379, 0.1495889000070747, 0.13494049999280833, 0.13269830000353977, 0.1710451999970246, 0.16778570000315085, 0.2569783999933861, 0.14097949999268167, 0.12580049998359755, 0.12761300001875497, 0.13160409999545664, 0.11243509998894297, 0.12623360002180561, 0.12487180001335219, 0.1704297999967821, 0.19007050001528114, 0.16153169999597594, 0.11192769999615848, 0.10318480001296848)","(0.15010030000121333, 0.09482090000528842, 0.14603030000580475, 0.25568360000033863, 0.03070170001592487, 0.01306029999977909, 0.061838299996452406, 0.11206380001385696, 0.009996600012527779, 0.06478970000171103, 0.08036799999536015, 0.03281579999020323, 0.041796800011070445, 0.015604100015480071, 0.20310489999246784, 0.01633450001827441, 0.7005952000035904, 0.07126279998919927, 0.09086880000540987, 0.2513559999933932, 0.3583282000035979, 0.26295430000755005, 0.05057459999807179, 0.011683299992000684, 0.8744325999869034, 0.1692110000003595, 0.27382590001798235, 0.25065219998941757, 0.1092103999981191, 1.0624681999906898, 0.03313949998118915, 0.08146050001960248, 0.20238570001674816, 0.06396290002157912, 0.04184059999533929, 0.21039700001711026, 0.12281490000896156, 0.2639707000053022, 0.22585049999179319, 0.19404060000670142, 0.007612099987454712, 0.03552780000609346, 0.058335800014901906, 0.08319140001549385, 0.015582599997287616, 0.19915749999927357, 0.19592769999871962, 0.17058790000737645, 0.032132499996805564, 0.007222899992484599)","(31, 22, 26, 24, 9, 2, 6, 24, 1, 23, 11, 4, 9, 2, 38, 2, 96, 13, 17, 48, 95, 48, 7, 1, 111, 32, 124, 62, 26, 426, 15, 33, 60, 15, 12, 54, 59, 101, 19, 51, 3, 9, 17, 22, 4, 69, 56, 53, 16, 1)"
adaptive repair base,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 3, 4, 5, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",12,"(0.12461470000562258, 0.12154789999476634, 0.17815059999702498, 0.1518084999988787, 0.18348830001195893, 0.19503719999920577, 0.16018830001121387, 0.15310490000410937, 0.1237496999965515, 0.1377650999929756, 0.22819759999401867, 0.22510070001590066, 0.16457429999718443, 0.16760830002021976, 0.2056266000145115, 0.2543532999989111, 0.39081799998530187, 0.13718240000889637, 0.12406020000344142, 0.1861417000181973, 0.23475659999530762, 0.1446977000159677, 3.125494800013257, 0.12660809999215417, 0.2676272999960929, 0.18640610002330504, 0.2590714999823831, 0.22619879999547265, 0.11918740000692196, 1.3966433000168763, 0.14640910000889562, 0.147148299991386, 0.2476019999885466, 0.15794229999301024, 0.14506640000035986, 0.2395447000162676, 0.17839710001135245, 0.2125116000242997, 0.13131549998070113, 0.1819868000166025, 0.1450702000001911, 0.13094010000349954, 0.1118099000013899, 0.18125399999553338, 0.11321139999199659, 0.1824538000219036, 0.16426790002151392, 0.16672359997755848, 0.14099260000512004, 0.11412499999278225)","(0.2126974999846425, 0.21243119999417104, 0.3693055000039749, 0.18550769999274053, 0.26984260001336224, 0.11338010002509691, 0.08018140000058338, 0.18040869999094866, 0.010997000004863366, 0.12395320000359789, 0.24042260000715032, 0.4354884000204038, 0.13382529999944381, 0.07532690002699383, 1.2964763000200037, 0.44147249998059124, 0.5478748000168707, 0.13903630001004785, 0.035276099981274456, 0.16890430002240464, 0.32701649999944493, 0.09949409999535419, 2.1749314999906346, 0.0057668999943416566, 0.4610926999885123, 0.1795109000231605, 0.43320390000008047, 0.1509144000010565, 0.07275829999707639, 1.0647449000098277, 0.04784220000146888, 0.18148860000655986, 0.17904300001100637, 0.04098740001791157, 0.06240830000024289, 0.19733860000269488, 0.16971650000778027, 0.27610110002569854, 0.3172597000084352, 0.15404660001513548, 0.017971300025237724, 0.035039299982599914, 0.06682209999416955, 0.04810930002713576, 0.014109000010648742, 0.2387589999998454, 0.19445890001952648, 0.16359040001407266, 0.08166160000837408, 0.003957199980504811)","(31, 22, 34, 23, 34, 26, 17, 21, 1, 29, 91, 116, 36, 39, 103, 155, 160, 47, 17, 50, 104, 25, 838, 1, 161, 78, 124, 62, 26, 426, 15, 33, 60, 15, 12, 54, 59, 101, 19, 51, 3, 9, 17, 22, 4, 69, 56, 53, 16, 1)"
adaptive repair + support for signature change,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 3, 4, 5, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",12,"(0.13484430001699366, 0.12613899999996647, 0.1534115000104066, 0.1238768000039272, 0.14621449998230673, 0.15826409999863245, 0.14234410002245568, 0.14834530002553947, 0.10037260001990944, 0.17368619999615476, 0.19877489999635145, 0.22528120002243668, 0.14452089997939765, 0.17924830000265501, 0.1473876000090968, 0.2970146000152454, 0.27107629997772165, 0.17465679999440908, 0.11787769998773001, 0.1573754999844823, 0.20702309999614954, 0.12134690000675619, 3.061361100000795, 0.09825469998759218, 0.3446821999968961, 0.19717189998482354, 0.288783500000136, 0.26413230001344346, 0.1306787999928929, 1.4489432999980636, 0.16360050000366755, 0.16228570000384934, 0.18141359998844564, 0.1216980000026524, 0.12239149998640642, 0.15685470000607893, 0.1806718000152614, 0.21248069999273866, 0.144386800006032, 0.1431870000087656, 0.09473320000688545, 0.12152779998723418, 0.12463090001256205, 0.13601429999107495, 0.12499889999162406, 0.2184144000057131, 0.15579129999969155, 0.1438567000150215, 0.12299430000712164, 0.09447069998714142)","(0.28286349997506477, 0.18725429999176413, 0.3106419000250753, 0.12036010000156239, 0.30380560000776313, 0.12332839998998679, 0.07884570001624525, 0.22867160002351739, 0.005239499994786456, 0.0818104000063613, 0.29517979998490773, 0.5030507000046782, 0.06393659999594092, 0.13817089999793097, 1.5058502999891061, 0.4381981999904383, 0.46183270000619814, 0.16473330001463182, 0.08166279998840764, 0.17518190000555478, 0.2712589000002481, 0.045983699994394556, 2.122335899999598, 0.003715700004249811, 0.4355605999880936, 0.193080099998042, 0.2926387000188697, 0.21676459998707287, 0.058589099993696436, 1.2908602000097744, 0.05524139999761246, 0.11279700000886805, 0.18690570001490414, 0.05716759999631904, 0.053068799985339865, 0.20549510000273585, 0.16794510002364404, 0.2867633000132628, 0.2699922999890987, 0.12504270000499673, 0.01788749999832362, 0.04249580000760034, 0.05208399999537505, 0.0768711999990046, 0.028665299993008375, 0.14934689999790862, 0.17239969997899607, 0.12390219999360852, 0.04613530001370236, 0.006489899998996407)","(31, 22, 34, 23, 34, 26, 17, 21, 1, 29, 91, 116, 36, 39, 103, 155, 160, 47, 17, 50, 104, 25, 838, 1, 161, 78, 124, 62, 26, 426, 15, 33, 60, 15, 12, 54, 59, 101, 19, 51, 3, 9, 17, 22, 4, 69, 56, 53, 16, 1)"
