Label,Score,Learned Model ID,planing time,execute & repair time,Plan Length
oracle,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",-1,"(0.14757870000903495, 0.12059269999735989, 0.12298340001143515, 0.11852429999271408, 0.11766530000022613, 0.10587929998291656, 0.12946910000755452, 0.1410279999836348, 0.11698479999904521, 0.1366037999978289, 0.11398429999826476, 0.1699951000045985, 0.1310531000199262, 0.11364389999653213, 0.12246450001839548, 0.11225509998621419, 0.1217395999992732, 0.10916849999921396, 0.13919839999289252, 0.10986269998829812, 1.551047600019956, 60.31569839999429, 0.14122230000793934, 60.32961410001735, 0.13809049999690615, 60.29210570000578, 0.13557069998933002, 0.11716600001091138, 60.37452350000967, 0.11299520000466146, 0.11668009997811168, 0.12697660000412725, 0.1651385000150185, 0.15192440000828356, 3.3475638999952935, 0.16301650000968948, 0.14406579997739755, 1.7023612999764737, 0.11028580000856891, 0.13350809999974445, 0.12023410000256263, 0.13916009999229573, 60.30722099999548, 0.10362979999626987, 0.12189459998626262, 0.13224710000213236, 0.12894530000630766, 0.1378882999997586, 0.12474050000309944, 0.12216970001463778)","(0.06916199999977835, 0.07341689997701906, 0.03603660000953823, 0.02047430002130568, 0.059010099997976795, 0.038925600005313754, 0.03747870001825504, 0.02499780000653118, 0.04035150000709109, 0.03982100001303479, 0.036563900008331984, 0.17772949999198318, 0.05226899997796863, 0.02316179999615997, 0.017515199986519292, 0.0410676000174135, 0.03733540000393987, 0.04059200000483543, 0.04442689998541027, 0.03146939998259768, 2.7529133999778423, 4.841918899997836, 0.06322879999061115, 3.3093223000178114, 0.0580418000172358, 5.338219400000526, 0.06275470001855865, 0.057924000022467226, 3.2516349999932572, 0.010032699996372685, 0.051685000013094395, 0.06186340001295321, 0.11389670000062324, 0.02103740000165999, 2.1753614000044763, 0.03061149999848567, 0.05816640000557527, 2.8004924000124447, 0.0924409999861382, 0.0586741000006441, 0.027611700003035367, 0.026090300001669675, 4.873047800007043, 0.04662269999971613, 0.08028990001184866, 0.052440700004808605, 0.022076499997638166, 0.06020370000624098, 0.012511599983554333, 0.040996700001414865)","(12, 17, 6, 4, 11, 4, 4, 4, 4, 4, 5, 24, 13, 4, 4, 8, 8, 6, 8, 5, 571, 983, 11, 967, 11, 965, 10, 8, 989, 4, 4, 12, 15, 4, 450, 4, 11, 533, 11, 7, 5, 4, 985, 10, 12, 7, 4, 12, 4, 8)"
base domain - no repair,"[0, 0, 0, 0, 1, 1, 2, 3, 4, 5, 6, 6, 6, 6, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 9, 9, 9, 10, 11, 11, 11, 12, 12, 13, 13, 13, 13, 13, 13, 14, 14, 14, 14, 14, 15, 15, 16, 16]",-1,"(0.11557220001122914, 0.11793350000516511, 0.11915660000522621, 0.12290330001269467, 0.1419428999943193, 0.1181712000106927, 0.12110359998769127, 0.12867320000077598, 0.13829339999938384, 0.13078770000720397, 0.15278430000762455, 0.15095450001535937, 0.10576969999237917, 0.10438190001877956, 0.14680400001816452, 0.1191230000113137, 0.1326353000185918, 0.14901500000269152, 0.11166330002015457, 0.14079899998614565, 0.13225300001795404, 0.11725340000703, 0.1472885999828577, 0.11628390001715161, 0.1216794999781996, 0.1150408000103198, 0.1288052999880165, 0.10761029997956939, 0.1421734000032302, 0.11124609998660162, 0.13017120002768934, 0.13856180000584573, 0.12722079997183755, 0.13471869999193586, 0.14592159999301657, 0.13132840002072044, 0.12077720000525005, 0.13334209998720326, 0.1655365000187885, 0.12438059999840334, 0.12702250000438653, 0.12693440000293776, 0.13035900000249967, 0.1195268000010401, 0.12075519998325035, 0.11690640001324937, 0.1271022000000812, 0.10534639999968931, 0.10630210000090301, 0.136144999996759)","(0.043549499998334795, 0.03704570000991225, 0.038279499975033104, 0.03226879998692311, 0.040941800019936636, 0.03475560000515543, 0.04564860000391491, 0.05995739999343641, 0.02749879998737015, 0.029726599983405322, 0.051485000003594905, 0.05462919999263249, 0.037551999994320795, 0.030585200001951307, 0.0345796000037808, 0.05183589999796823, 0.05367550000664778, 0.04358830000273883, 0.06397330001345836, 0.045358400006080046, 0.027143899991642684, 0.055611300020245835, 0.05285189999267459, 0.0621707999962382, 0.04785000000265427, 0.02405529998941347, 0.03891249999287538, 0.026859200006583706, 0.055021600011968985, 0.022199200000613928, 0.04490999999688938, 0.10375599999679253, 0.059051699994597584, 0.028924399986863136, 0.024365699995541945, 0.047323300008429214, 0.08479280001483858, 0.06898899999214336, 0.06547169998520985, 0.0463787000044249, 0.035276300011901185, 0.04854779999004677, 0.02486409997800365, 0.07686390000162646, 0.03724350000265986, 0.02560490000178106, 0.008836900000460446, 0.07657519998610951, 0.012136899982579052, 0.05024730000877753)","(4, 8, 4, 4, 8, 4, 4, 4, 4, 4, 4, 4, 8, 4, 4, 5, 4, 4, 6, 4, 4, 6, 7, 4, 4, 4, 4, 4, 4, 4, 4, 8, 8, 4, 4, 4, 7, 5, 8, 4, 4, 4, 4, 6, 5, 4, 4, 7, 4, 5)"
all monomials repair,"[0, 0, 0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 18, 19, 19, 20, 20, 21, 22, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 35, 36, 37, 38, 39, 40, 41, 42]",-1,"(0.1285206000029575, 0.13009439999586903, 0.10252779998700134, 0.1612913999997545, 0.241546399978688, 0.1473153999831993, 0.14784719998715445, 0.13029040000401437, 0.13888489999226294, 0.12818020000122488, 0.14110400000936352, 0.13361750001786277, 0.16424370001186617, 0.12341400000150315, 0.15603640000335872, 0.12935010000364855, 0.11357169999973848, 0.10963839999749325, 0.14275199998519383, 0.11675190000096336, 2.2155480999790598, 0.09959430000162683, 0.15601429998059757, 0.1319276999856811, 0.13793540000915527, 0.14530080000986345, 0.16471610000007786, 0.10864680001395755, 0.1390811000019312, 0.15077620002557524, 0.13868999999249354, 0.12826700002187863, 0.1520957000029739, 0.13779239999712445, 3.18305349998991, 0.10816360000171699, 0.14218049999908544, 1.5622208999993745, 0.19176869999500923, 0.12925019999966025, 0.2388879999925848, 0.13186880000284873, 0.13258989999303594, 0.15422779999789782, 0.1280051000067033, 0.1224250000086613, 0.14221630000974983, 0.12954950000857934, 0.1515885000117123, 0.14745530000072904)","(0.0555774999957066, 0.05003399998531677, 0.03813400000217371, 0.05064420000417158, 1.7799633000104222, 0.08902340001077391, 0.06396550001227297, 0.06618710001930594, 0.06010470000910573, 0.05226470000343397, 0.06109519998426549, 0.24835159999202006, 0.12975809999625199, 0.03855999998631887, 0.04590110000572167, 0.1027147000131663, 0.06269770002108999, 0.10444520000601187, 0.08382739999797195, 0.08053839998319745, 4.764270699990448, 0.04596529999980703, 0.16319769999245182, 0.07871390000218526, 0.0981690000044182, 0.08326559999841265, 0.15118149999761954, 0.08677530000568368, 0.07689680001931265, 0.058110700018005446, 0.0798376000020653, 0.12794999999459833, 0.19301809999160469, 0.04063699999824166, 4.267644400009885, 0.06170039999415167, 0.1394975000002887, 5.119872599985683, 0.23201760000665672, 0.11552710001706146, 0.07307000001310371, 0.07898089999798685, 0.06030119999195449, 0.1464198000030592, 0.130206800007727, 0.1351159000187181, 0.05111800000304356, 0.10818369998014532, 0.03890880002290942, 0.10765289998380467)","(4, 5, 4, 4, 110, 4, 4, 4, 4, 4, 5, 24, 13, 4, 4, 8, 8, 6, 8, 5, 571, 6, 11, 4, 11, 4, 10, 8, 4, 4, 4, 12, 15, 4, 450, 4, 11, 533, 11, 7, 5, 4, 4, 10, 12, 7, 4, 12, 4, 8)"
adaptive repair base,"[0, 0, 0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 18, 19, 19, 20, 20, 21, 22, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 35, 36, 37, 38, 39, 40, 41, 42]",-1,"(0.13679420002154075, 0.14287949999561533, 0.1303292000084184, 0.11285060000955127, 0.5942836999893188, 0.11275010000099428, 0.1357385000155773, 0.12681750001502223, 0.14569489998393692, 0.13315979999606498, 0.1336427000060212, 0.19049430001177825, 0.15942089998861775, 0.13265070001943968, 0.10271870001452044, 0.129853299993556, 0.1329048000043258, 0.14211979997344315, 0.12564499999280088, 0.10970259999157861, 1.6847164999926463, 0.122300399991218, 0.1590890999941621, 0.11122590000741184, 0.13424240000313148, 0.13033340001129545, 0.12548249997780658, 0.11698029999388382, 0.11801420000847429, 0.129647699999623, 0.13637419999577105, 0.16324539997731335, 0.10855129998526536, 0.1279618999978993, 3.479937099997187, 0.1233749000239186, 0.14268999997875653, 1.5509368000202812, 0.11418820000835694, 0.10561359999701381, 0.1387743999948725, 0.14005429999087937, 0.13380410001263954, 0.13545829997747205, 0.14767149998806417, 0.1283529000065755, 0.13903340001706965, 0.12827909999759868, 0.12284749999525957, 0.11075229998095892)","(0.05769650000729598, 0.06320429997867905, 0.035825900005875155, 0.08510609998484142, 7.5131859999964945, 0.12609030000749044, 0.055255700019188225, 0.06147910002619028, 0.049144099990371615, 0.0762098999985028, 0.0731140999996569, 0.3085504999908153, 0.18422569998074323, 0.032795799983432516, 0.04560250000213273, 0.10283819999312982, 0.06062750000273809, 0.12283330000354908, 0.1211411000113003, 0.06069820001721382, 5.0753634000138845, 0.062251800001831725, 0.11933889999636449, 0.06617370000458322, 0.11855790001573041, 0.06595830002333969, 0.11201770001207478, 0.12392380001256242, 0.060147800017148256, 0.04523899999912828, 0.0707768999855034, 0.11416709999321029, 0.14267550001386553, 0.025310700002592057, 3.896061399980681, 0.05132749999756925, 0.18838219999452122, 4.383349600015208, 0.1298464999999851, 0.0781927999923937, 0.050584000011440367, 0.03043779998552054, 0.06510210002306849, 0.10116419999394566, 0.09009420001530088, 0.07404760000645183, 0.03274049999890849, 0.15069750000839122, 0.03746940000564791, 0.07275220000883564)","(4, 8, 4, 4, 528, 4, 4, 4, 4, 4, 5, 24, 13, 4, 4, 8, 8, 6, 8, 5, 571, 6, 11, 4, 11, 4, 10, 8, 4, 4, 4, 12, 15, 4, 450, 4, 11, 533, 11, 7, 5, 4, 4, 10, 12, 7, 4, 12, 4, 8)"
adaptive repair + support for signature change,"[0, 0, 0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 18, 19, 19, 20, 20, 21, 22, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 35, 36, 37, 38, 39, 40, 41, 42]",-1,"(0.12260319999768399, 0.13813370000571012, 0.1453882999776397, 0.12392179999733344, 0.48740680000628345, 0.12360399999306537, 0.11808370001381263, 0.1496227000025101, 0.138431799976388, 0.12725970000610687, 0.12599439997575246, 0.1367618000076618, 0.11583049999899231, 0.10864199997740798, 0.11547289998270571, 0.10924279998289421, 0.13571800000499934, 0.14447280002059415, 0.1452038999996148, 0.11812470000586472, 1.5945725000055972, 0.13409979999414645, 0.12081659998511896, 0.15365120000205934, 0.1486315999936778, 0.1258100000268314, 0.15730180000537075, 0.11837890002061613, 0.11460810000426136, 0.11743549999664538, 0.15104309999151155, 0.13032779999775812, 0.1586245000071358, 0.11509919998934492, 2.959521800017683, 0.11056079997797497, 0.17677370001911186, 1.7230395000078715, 0.1432591000047978, 0.12341600001673214, 0.11333560000639409, 0.11680600000545382, 0.15599930001189932, 0.143429699994158, 0.12808230001246557, 0.1290119000186678, 0.16754570000921376, 0.1812738000007812, 0.13941830000840127, 0.13234659997397102)","(0.05186700000194833, 0.09847319999244064, 0.062262399995233864, 0.07926450000377372, 7.146455199981574, 0.12824650001130067, 0.044336499995552, 0.04160519997822121, 0.05297210000571795, 0.07666239998070523, 0.0474953000084497, 0.17199949998757802, 0.13811400000122376, 0.049680600001011044, 0.03931459999876097, 0.08782750001410022, 0.06493810002575628, 0.059216199995717034, 0.1307657999859657, 0.04946489998837933, 5.194894100015517, 0.09565979999024421, 0.10277679999126121, 0.09388669999316335, 0.16293469999800436, 0.0739426999934949, 0.11776669998653233, 0.0807158000243362, 0.09327049998682924, 0.05379989999346435, 0.07609359998605214, 0.1419033000129275, 0.1553458000125829, 0.03817240000353195, 3.6410396000137553, 0.051619900012155995, 0.1589181000017561, 4.459677000006195, 0.17226590000791475, 0.11131029998068698, 0.053977100003976375, 0.04776970000239089, 0.07247310000821017, 0.13358880000305362, 0.15821999998297542, 0.07888260000618175, 0.04267319999053143, 0.12381819999427535, 0.03566649998538196, 0.08062670001527295)","(4, 8, 4, 4, 528, 4, 4, 4, 4, 4, 5, 24, 13, 4, 4, 8, 8, 6, 8, 5, 571, 6, 11, 4, 11, 4, 10, 8, 4, 4, 4, 12, 15, 4, 450, 4, 11, 533, 11, 7, 5, 4, 4, 10, 12, 7, 4, 12, 4, 8)"
