Label,Score,Learned Model ID,planing time,execute & repair time,Plan Length
oracle,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",-1,"(0.13077940000221133, 0.13519610001822002, 0.1460611000075005, 0.12327359998016618, 0.12912739999592304, 0.11314820000552572, 0.11662420001812279, 0.12353690000600182, 0.10971109999809414, 0.124104200018337, 0.11755579998134635, 0.10777689999667928, 0.1277023000002373, 0.10458359998301603, 0.15028679999522865, 0.1257816000143066, 0.1532191000005696, 0.11672320001525804, 0.118828200007556, 0.1373442000185605, 0.11725229999865405, 0.13509729999350384, 0.12465889999293722, 0.11418509998475201, 0.140961699973559, 0.14656189997913316, 0.1185674000007566, 0.1282346000079997, 0.10624449999886565, 0.16301339998608455, 0.11574850001488812, 0.13793369999621063, 0.14192880000337027, 0.15387800001190044, 0.16041839998797514, 0.10851049999473616, 0.1553018999984488, 0.12684299997636117, 0.1125303000153508, 0.12222109999856912, 0.13294690000475384, 0.17109650000929832, 0.12323160000960343, 0.13045319999218918, 0.1617678999900818, 0.11380540000391193, 0.1263846000074409, 0.1487634000077378, 0.12034990001120605, 0.1541819999984)","(0.06412310001906008, 0.04095860000234097, 0.04006010000011884, 0.08401890000095591, 0.037172699987422675, 0.08750290001626126, 0.02639630000339821, 0.04267140000592917, 0.039261800004169345, 0.07455089999712072, 0.027013700018869713, 0.040863400005036965, 0.03153189999284223, 0.06218050001189113, 0.054514899995410815, 0.053467299992917106, 0.04429809999419376, 0.04606580000836402, 0.067486399988411, 0.07412040000781417, 0.060765599977457896, 0.041279600001871586, 0.03265740000642836, 0.048616699990816414, 0.05485389998648316, 0.0747315000044182, 0.051142899988917634, 0.06431019998854026, 0.04891490002046339, 0.06673730001784861, 0.04956670000683516, 0.059469300002092496, 0.1202241999853868, 0.04148350001196377, 0.03151820000493899, 0.04530589998466894, 0.01839429998653941, 0.049766500014811754, 0.07557130002533086, 0.056907599995611235, 0.09487519998219796, 0.07990359998075292, 0.027512999979080632, 0.08718169998610392, 0.031281900010071695, 0.060254400013946, 0.043755499995313585, 0.06765579999773763, 0.04466449999017641, 0.08631860002060421)","(11, 4, 5, 10, 4, 8, 7, 5, 9, 10, 8, 6, 6, 11, 9, 9, 12, 10, 7, 12, 11, 10, 9, 5, 7, 9, 6, 9, 7, 12, 7, 10, 13, 4, 4, 9, 5, 7, 11, 10, 10, 7, 4, 10, 7, 11, 9, 7, 5, 12)"
base domain - no repair,"[0, 0, 1, 1, 1, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7]",-1,"(0.12749349998193793, 0.11701180000090972, 0.1414263999904506, 0.09578189998865128, 0.13666089999605902, 0.13608289998956025, 0.10904469998786226, 0.1295140000001993, 0.11750110000139102, 0.17631389998132363, 0.1483050999813713, 0.1314526000060141, 0.1405537000100594, 0.27005130000179633, 0.15717079999740236, 0.13567609997699037, 0.11539020002237521, 0.10449890000745654, 0.1283116999838967, 0.1306701999856159, 0.0992415000218898, 0.1441229000047315, 0.10598160000517964, 0.14882820000639185, 0.13181130000157282, 0.13980800000717863, 0.11088739999104291, 0.11558610000065528, 0.09650340001098812, 0.12784060000558384, 0.11893559998134151, 0.12187420000554994, 0.10537289999774657, 0.10961970000062138, 0.10827989998506382, 0.1407628999731969, 0.1025484999991022, 0.11145510000642389, 0.11061490001156926, 0.10987859999295324, 0.11472859999048524, 0.11247690001619048, 0.1349696999823209, 0.13570359998266213, 0.1400904000038281, 0.13025950000155717, 0.09430389999761246, 0.11093760002404451, 0.10244000001694076, 0.12043869998888113)","(0.07202240001061, 0.04605139998602681, 0.05186219999450259, 0.04899469998781569, 0.045102100004442036, 0.02305089999572374, 0.056207100016763434, 0.02503479999722913, 0.0438127999950666, 0.0505053999950178, 0.05543420001049526, 0.060688900004606694, 0.06713690000469796, 0.09847450000233948, 0.034610900009283796, 0.04367900002398528, 0.04584370000520721, 0.05055079999146983, 0.03159329999471083, 0.058414700004504994, 0.07588310001301579, 0.05584880002425052, 0.04930220000096597, 0.038769699982367456, 0.06322189999627881, 0.038894800003618, 0.024915300018619746, 0.026706899981945753, 0.02233199999318458, 0.06451160000870004, 0.043940900010056794, 0.044244399992749095, 0.046008799981791526, 0.023849000019254163, 0.051828600000590086, 0.04076960001839325, 0.026880299992626533, 0.03833209999720566, 0.04935250000562519, 0.05817390000447631, 0.04403349998756312, 0.05388539997511543, 0.040646999987075105, 0.05888920000870712, 0.05138489999808371, 0.06563089997507632, 0.07036569999763742, 0.05548010001075454, 0.04069809999782592, 0.05647260000114329)","(7, 4, 4, 8, 4, 4, 4, 4, 7, 5, 5, 4, 4, 8, 4, 5, 7, 8, 4, 8, 6, 6, 5, 4, 4, 4, 4, 5, 4, 6, 4, 8, 8, 4, 4, 6, 4, 4, 5, 8, 5, 4, 4, 6, 4, 8, 7, 4, 4, 8)"
all monomials repair,"[0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",3,"(0.13886220002314076, 0.11672389999148436, 7.8505717999942135, 0.14984030000050552, 0.13472449997789226, 0.14148890000069514, 0.158321299997624, 0.15368740001576953, 0.1278320999990683, 0.1993895000196062, 0.13477330000023358, 0.1488592000096105, 0.18958020000718534, 0.1434527999954298, 0.12644960000761785, 0.1058125999988988, 0.13522239998565055, 0.14336579997325316, 0.13672090001637116, 0.12286930001573637, 0.1582277000125032, 0.10999549998086877, 0.1375967999920249, 0.11967069999082014, 0.12188829999649897, 0.1436884000140708, 0.11994999999296851, 0.112682799983304, 0.10487949999514967, 0.18943830000353046, 0.16776779998326674, 0.14134760000160895, 0.136710699996911, 0.14777650000178255, 0.10602800000924617, 0.11955099998158403, 0.16762680001556873, 0.1281027999939397, 0.15411530001438223, 0.1190455999749247, 0.1285922999959439, 0.13365189998876303, 0.12625080000725575, 0.12040169999818318, 0.11125760001596063, 0.1417203999881167, 0.0987015999853611, 0.14310580000164919, 0.12191099999472499, 0.1324697000090964)","(0.048689500021282583, 0.05931320000672713, 2.21788480001851, 0.1364727999898605, 0.05191070001455955, 0.15915920000406913, 0.10410270001739264, 0.0864422999729868, 0.18619690000195988, 0.21223920001648366, 0.13221469998825341, 0.0747564000193961, 0.08125529999961145, 0.11625560000538826, 0.05959489999804646, 0.07760809999308549, 0.14839889999711886, 0.1148086000175681, 0.06951669999398291, 0.10638819998712279, 0.11883099999977276, 0.16475319999153726, 0.08931429998483509, 0.052531099994666874, 0.07632429999648593, 0.0837650999892503, 0.05700480000814423, 0.10731250001117587, 0.09348380001029, 0.12196389999007806, 0.1241720000107307, 0.09369420001166873, 0.14452420000452548, 0.06031859997892752, 0.0696303999866359, 0.11169360001804307, 0.07394549998571165, 0.05207289999816567, 0.09674920001998544, 0.11719980000634678, 0.07768419999047183, 0.07618400000501424, 0.04710729999351315, 0.07608020000043325, 0.07410519997938536, 0.12657629998284392, 0.07456660000025295, 0.06454339998890646, 0.08657129999483004, 0.12044420000165701)","(7, 4, 200, 10, 4, 8, 7, 5, 9, 10, 8, 6, 6, 11, 9, 9, 12, 10, 7, 12, 11, 10, 9, 5, 7, 9, 6, 9, 7, 12, 7, 10, 13, 4, 4, 9, 5, 7, 11, 10, 10, 7, 4, 10, 7, 11, 9, 7, 5, 12)"
adaptive repair base,"[0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",2,"(0.11723720000009052, 0.11826749998726882, 0.12329529999988154, 0.14944790001027286, 0.14861579998978414, 0.12738839999656193, 0.09898139999131672, 0.13291339998249896, 0.12147380001260899, 0.15527509999810718, 0.15062200001557358, 0.12902650001342408, 0.14918829998350702, 0.11858310000388883, 0.1367962000076659, 0.18550359999062493, 0.1302500999881886, 0.12089900000137277, 0.1267418999923393, 0.12627559999236837, 0.1293479000160005, 0.11976790000335313, 0.11604049999732524, 0.11925229997723363, 0.12542389999725856, 0.12010150001151487, 0.13906499999575317, 0.14719970000442117, 0.10620129999006167, 0.1525433999777306, 0.09496029998990707, 0.12610009999480098, 0.12873600001330487, 0.1397988999960944, 0.1565882999857422, 0.11144290000083856, 0.15407479999703355, 0.13155449999612756, 0.11130640000919811, 0.11696890002349392, 0.1219221000210382, 0.1466047999856528, 0.1130078999849502, 0.14407130001927726, 0.12797460000729188, 0.13180750000174157, 0.1228525000042282, 0.12186890002340078, 0.13732740000705235, 0.14494769999873824)","(0.06896029997733422, 0.07586469998932444, 0.06736620000447147, 0.17274179999367334, 0.07511549998889677, 0.10728229998494498, 0.09398710000095889, 0.09579990000929683, 0.08692339999834076, 0.14297960000112653, 0.10848429999896325, 0.05783460001111962, 0.08448190000490285, 0.10095540000475012, 0.10718500000075437, 0.08848420000867918, 0.10647440000320785, 0.12302460000501014, 0.10679759999038652, 0.12843989999964833, 0.12241060001542792, 0.10438360000262037, 0.10310060001211241, 0.07184769999003038, 0.08811209999839775, 0.07226549999904819, 0.06364300000132062, 0.14588739999453537, 0.11493929999414831, 0.14429880000534467, 0.04391959999338724, 0.10589929998968728, 0.15714609998394735, 0.10477710000122897, 0.08789999998407438, 0.058797999983653426, 0.06901149998884648, 0.05240479999338277, 0.08784249998279847, 0.09104580001439899, 0.08216960000572726, 0.09600710001541302, 0.06984030001331121, 0.13968379999278113, 0.05156170000554994, 0.09049509998294525, 0.07820070002344437, 0.05430710001382977, 0.03376550000393763, 0.17341200000373647)","(7, 4, 5, 10, 4, 8, 7, 5, 9, 10, 8, 6, 6, 11, 9, 9, 12, 10, 7, 12, 11, 10, 9, 5, 7, 9, 6, 9, 7, 12, 7, 10, 13, 4, 4, 9, 5, 7, 11, 10, 10, 7, 4, 10, 7, 11, 9, 7, 5, 12)"
adaptive repair + support for signature change,"[0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",2,"(0.14350400000694208, 0.13157379999756813, 0.11760440000216477, 0.14343889997689985, 0.11725459998706356, 0.12973319998127408, 0.11430380001547746, 0.14984659999026917, 0.13484590000007302, 0.1255966000026092, 0.1330543999793008, 0.17891519999830052, 0.155330799985677, 0.12073189998045564, 0.1196213000221178, 0.1325310999818612, 0.13440120001905598, 0.16083790000993758, 0.11515769999823533, 0.1497281999909319, 0.1904985999863129, 0.15798279998125508, 0.10938350000651553, 0.12853020001784898, 0.12323850000393577, 0.15956440000445582, 0.12834339999244548, 0.14893960001063533, 0.11641250000684522, 0.155980500014266, 0.12157660000957549, 0.13045229998533614, 0.13404249999439344, 0.1362146000028588, 0.1090117999992799, 0.1345646999834571, 0.15803049999522045, 0.1528577000135556, 0.1419414000120014, 0.1441451999999117, 0.11878010001964867, 0.11562270001741126, 0.13181620000978, 0.13068609999027103, 0.12394019999192096, 0.12978540000040084, 0.11794949998147786, 0.13294460001634434, 0.11686979999649338, 0.12175550000392832)","(0.11528100000577979, 0.11576129999593832, 0.061882899986812845, 0.143293300003279, 0.07242759998189285, 0.10121150000486523, 0.07396009998046793, 0.07148760001291521, 0.10451579999062233, 0.16433440000400878, 0.12620369999785908, 0.08966090000467375, 0.0820127000042703, 0.11855449998984113, 0.07163970000692643, 0.07157170001300983, 0.13895720001892187, 0.15042819999507628, 0.1364105999819003, 0.10645650001242757, 0.13717120001092553, 0.10847949999151751, 0.13792940002167597, 0.034382699988782406, 0.05489669999224134, 0.10886609999579377, 0.06682020000880584, 0.0921045999857597, 0.06095809998805635, 0.14297449999139644, 0.09285809998982586, 0.07779010001104325, 0.08664330001920462, 0.04903329999069683, 0.03681809999397956, 0.10719260000041686, 0.09127519998583011, 0.0604151000152342, 0.09367859998019412, 0.09015060000820085, 0.10719880001852289, 0.047170599980745465, 0.05572129998472519, 0.08093840000219643, 0.07474450001609512, 0.12557960001868196, 0.09026930000982247, 0.07060319997253828, 0.04396529999212362, 0.10568460001377389)","(7, 4, 5, 10, 4, 8, 7, 5, 9, 10, 8, 6, 6, 11, 9, 9, 12, 10, 7, 12, 11, 10, 9, 5, 7, 9, 6, 9, 7, 12, 7, 10, 13, 4, 4, 9, 5, 7, 11, 10, 10, 7, 4, 10, 7, 11, 9, 7, 5, 12)"
