Label,Score,Learned Model ID,planing time,execute & repair time,Plan Length
oracle,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",-1,"(0.30028199998196214, 0.10247389998403378, 0.16599909999058582, 0.25194529999862425, 0.19330750001245178, 0.15900499999406748, 0.10372509999433532, 0.21819650000543334, 0.15673529999912716, 0.27276290001464076, 0.26133759997901507, 0.17158070000004955, 0.21094650001032278, 0.14360790001228452, 0.17818529999931343, 0.14379880001069978, 0.2138140999886673, 0.2039119999972172, 0.14784510000026785, 0.17117009998764843, 0.19493820000207052, 0.15772309998283163, 0.17153629998210818, 0.1733955999952741, 0.2816651000175625, 0.27130120000219904, 0.15579419999266975, 0.18707939999876544, 0.2243488999956753, 0.10830140000325628, 0.13454209998599254, 0.23505029999068938, 0.1810610000102315, 0.10772920001181774, 0.12131180000142194, 0.2337180000031367, 0.2355622000177391, 0.20694899998488836, 0.191258500010008, 0.14820789999794215, 0.13932709998334758, 0.18947149999439716, 0.23238299999502487, 0.16535960001056083, 0.1669230000115931, 0.20152270002290606, 0.1802237999800127, 0.2647708999866154, 0.21129029997973703, 0.2836834999907296)","(0.04505509999580681, 0.002928700007032603, 0.013834299985319376, 0.02326879999600351, 0.03603579997434281, 0.004962500010151416, 0.00564039999153465, 0.054271900007734075, 0.02403319999575615, 0.055578700004843995, 0.044745399995008484, 0.01906530000269413, 0.04949309999938123, 0.02012749999994412, 0.05238669997197576, 0.009468100004596636, 0.028164799994556233, 0.04312829999253154, 0.004059899976709858, 0.026543399988440797, 0.014473499992163852, 0.022403999988455325, 0.02181520001613535, 0.02493549999780953, 0.05568310001399368, 0.06271360002574511, 0.013306900014868006, 0.042868199991062284, 0.036339900019811466, 0.001191799994558096, 0.012779700016835704, 0.03588999999919906, 0.013316299999132752, 0.0012974999845027924, 0.007382999989204109, 0.05672590000904165, 0.038125399994896725, 0.026512400014325976, 0.0440482999838423, 0.027346699993358925, 0.009571800008416176, 0.04116049999720417, 0.03751840000040829, 0.01777039997978136, 0.03786380001110956, 0.0216906999994535, 0.011546900001121685, 0.05467300000600517, 0.03202980000060052, 0.050179600017145276)","(49, 1, 56, 10, 52, 17, 11, 98, 43, 56, 97, 48, 83, 16, 87, 13, 27, 56, 5, 43, 50, 24, 29, 23, 77, 86, 20, 41, 71, 1, 16, 44, 31, 2, 11, 93, 90, 62, 65, 25, 21, 53, 55, 28, 82, 40, 17, 77, 54, 91)"
base domain - no repair,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",-1,"(0.2009230999974534, 0.13539999999920838, 0.34258180001052096, 0.17548579999129288, 0.2827650999824982, 0.22987480001756921, 0.20352129999082536, 0.47169629999552853, 0.2003186999936588, 0.15360549997421913, 0.22395959999994375, 0.1814242000109516, 0.20112559999688528, 0.13836630000150762, 0.29025029999320395, 0.24786460000905208, 0.25354970002081245, 0.28283720000763424, 0.15411029997630976, 0.15250300001935102, 0.2379223999741953, 0.13194130000192672, 0.13541129999794066, 0.1290304999856744, 0.16909250000026077, 0.18399330001557246, 0.1338130999938585, 0.17808190002688207, 0.25481119999312796, 0.12853409998933785, 0.12111029998050071, 0.1485644000058528, 0.13053179997950792, 0.09736159999738447, 0.17783309999504127, 0.2607105000060983, 0.2618603000009898, 0.23814900001161732, 0.25496920000296086, 0.15211170000839047, 0.1724605000053998, 0.20076760000665672, 0.23045199998887256, 0.18896099997800775, 0.31100240000523627, 0.21337120002135634, 0.1507240999781061, 0.1835655000177212, 0.20207859997753985, 0.1968631999916397)","(0.022490400006063282, 0.00293210000381805, 0.040694600000279024, 0.008555799984605983, 0.057151999993948266, 0.021624899993184954, 0.015570899995509535, 0.12609250002424233, 0.021928799978923053, 0.0306884000019636, 0.04917139999452047, 0.02019889999064617, 0.0667605999915395, 0.008589600009145215, 0.06880939999246038, 0.013084599981084466, 0.024672399973496795, 0.03457930000149645, 0.002056299999821931, 0.022399900015443563, 0.025582400005077943, 0.012897599983261898, 0.011773300007916987, 0.010646000009728596, 0.02864109998336062, 0.040719799988437444, 0.009112600004300475, 0.02829720001318492, 0.058698999986518174, 0.0021757999784313142, 0.00602269999217242, 0.01596419999259524, 0.013319100020453334, 0.0038198999827727675, 0.00663009998970665, 0.05504269999801181, 0.06114700000034645, 0.05221579998033121, 0.05667699998593889, 0.024281500023789704, 0.016652299993438646, 0.033236300019780174, 0.04687160000321455, 0.0200800999882631, 0.05443569997441955, 0.02504820001195185, 0.010939100000541657, 0.06869559999904595, 0.046238500013714656, 0.04508789998362772)","(49, 1, 56, 10, 53, 18, 11, 98, 43, 56, 97, 48, 83, 16, 87, 13, 27, 56, 5, 43, 50, 24, 29, 24, 77, 86, 20, 41, 71, 1, 17, 44, 31, 2, 11, 93, 90, 62, 65, 25, 21, 53, 55, 28, 82, 40, 17, 77, 54, 91)"
all monomials repair,"[0, 0, 1, 1, 2, 3, 3, 3, 3, 4, 5, 5, 5, 5, 6, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 16, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39]",-1,"(0.13829879998229444, 0.12445199998910539, 0.15130249998765066, 0.16541779998806305, 0.210312499984866, 0.1619623999868054, 0.15045360001386143, 0.21349140000529587, 0.18963389997952618, 0.2046291000151541, 0.17519939999328926, 0.22370959998806939, 0.24877920001745224, 0.17407630002708174, 0.2422509000170976, 0.14270669998950325, 0.17365179999615066, 0.15025440001045354, 0.1415320999803953, 0.19934160000411794, 0.1469527000153903, 0.11953799999901094, 0.12224910000804812, 0.18655330000910908, 0.25665809999918565, 0.3574785999953747, 0.14835339999990538, 0.1417228999780491, 0.17363470001146197, 0.12218140001641586, 0.12168500002007931, 0.1825570999935735, 0.17706650000764057, 0.11810079999850132, 0.12387400001171045, 0.16778260000864975, 0.20470380000188015, 0.18160710000665858, 0.2101697000034619, 0.1620233999856282, 0.12818390000029467, 0.21942559999297373, 0.14360159999341704, 0.19259849999798462, 0.2376108999887947, 0.16818740000599064, 0.14449090001289733, 0.22889229998691007, 0.17435879999538884, 0.18432080000638962)","(0.3236054000153672, 0.00669090001611039, 0.3087750000122469, 0.054089799989014864, 0.23600659999647178, 0.07037279999349266, 0.02329529999406077, 0.045140800008084625, 0.19649179998668842, 0.2827853999915533, 0.09116199999698438, 0.3183185000088997, 0.3209868000121787, 0.06971310000517406, 0.3268716000020504, 0.08087580002029426, 0.13173779999488033, 0.12266429999726824, 0.025471300003118813, 0.18117279998841695, 0.17670250000082888, 0.06077380001079291, 0.11932009999873117, 0.07658779999474064, 0.45449900001403876, 0.2625236999883782, 0.08212289999937639, 0.20490440001594834, 0.32746030000271276, 0.0033170999959111214, 0.0391898000088986, 0.2050740999984555, 0.09392189999925904, 0.010798999981489033, 0.030059599986998364, 0.22379999997792765, 0.4028407000005245, 0.18843149999156594, 0.21250490000238642, 0.061238299997057766, 0.0516563999990467, 0.1841098000004422, 0.11378280000644736, 0.1380353999848012, 0.2538330999959726, 0.1068317000172101, 0.09716970002045855, 0.2467369999794755, 0.17674669998814352, 0.22968170000240207)","(49, 1, 56, 13, 69, 15, 2, 13, 55, 74, 23, 53, 111, 24, 123, 16, 27, 56, 5, 63, 50, 24, 29, 23, 112, 126, 15, 41, 71, 1, 16, 44, 31, 2, 11, 93, 90, 62, 65, 25, 21, 53, 55, 28, 82, 40, 17, 77, 54, 91)"
adaptive repair base,"[0, 0, 1, 1, 2, 3, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]",-1,"(0.17765090000466444, 0.1223073999863118, 0.19481109999469481, 0.13730040000518784, 0.22470359998987988, 0.1467664999945555, 0.11474650001036935, 0.2572634000098333, 0.16226800001459196, 0.18224210001062602, 0.15528609999455512, 0.1666957999987062, 0.17279849998885766, 0.14640070000314154, 0.2135015999956522, 0.12073090000194497, 0.15523790000588633, 0.16373630001908168, 0.10382749998825602, 0.12972230001469143, 0.149882500001695, 0.17380650000995956, 0.14195370001834817, 0.13787279999814928, 0.24799599999096245, 0.189471500023501, 0.14123840001411736, 0.20993620000081137, 0.2341862999892328, 0.11129050000454299, 0.11316429998259991, 0.1369249999988824, 0.1260109000140801, 0.1462160000228323, 0.13888079999014735, 0.29677009998704307, 0.2314114999899175, 0.20343010002397932, 0.17983269999967888, 0.15172090000123717, 0.1510781999968458, 0.17029960002400912, 0.21615680001559667, 0.18669199998839758, 0.2774075999914203, 0.17891869999584742, 0.13667479998548515, 0.1803234999824781, 0.19572159997187555, 0.187278299999889)","(0.598286399996141, 0.007372599997324869, 0.6098961999814492, 0.04568370000924915, 0.17832459998317063, 0.12082509999163449, 0.04683039998053573, 0.3810251999821048, 0.15268559998366982, 0.1610981000121683, 0.26922620000550523, 0.10578900002292357, 0.24076779998722486, 0.08147089998237789, 0.29193099998519756, 0.041349600011017174, 0.09653989999787882, 0.12696629998390563, 0.013193200022215024, 0.09703009997610934, 0.13602609999361448, 0.08918310000444762, 0.09007159998873249, 0.11100550001719967, 0.31738120000227354, 0.31951510001090355, 0.11390760002541356, 0.19951999999466352, 0.18177150000701658, 0.004415599978528917, 0.03680010000243783, 0.1004112999944482, 0.0942526999861002, 0.005537300021387637, 0.05306219999329187, 0.25371990000712685, 0.3262615999847185, 0.15138460000162013, 0.2553001000196673, 0.1342000000004191, 0.060112499981187284, 0.22262220000266097, 0.19945720001123846, 0.10582530000829138, 0.3891064999916125, 0.1252403999969829, 0.08472630000323988, 0.23896529999910854, 0.18355529999826103, 0.2164473999873735)","(49, 1, 56, 10, 69, 15, 11, 98, 43, 56, 97, 48, 83, 16, 87, 13, 27, 56, 5, 43, 50, 24, 29, 23, 77, 86, 20, 41, 71, 1, 16, 44, 31, 2, 11, 93, 90, 62, 65, 25, 21, 53, 55, 28, 82, 40, 17, 77, 54, 91)"
adaptive repair + support for signature change,"[0, 0, 1, 1, 2, 3, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]",-1,"(0.1334461999940686, 0.11104920000070706, 0.23070559999905527, 0.13123590001487173, 0.2519033999997191, 0.11998649997985922, 0.12247180001577362, 0.1662609000049997, 0.15911269999924116, 0.15964259998872876, 0.26910659999703057, 0.1542436999734491, 0.23107359997811727, 0.13830449999659322, 0.20085850000032224, 0.12791849998757243, 0.13766720000421628, 0.15037759998813272, 0.1241161999932956, 0.13892300002044067, 0.15011020001838915, 0.15881789999548346, 0.17770780000137165, 0.13293019999400713, 0.1874268000246957, 0.18310359999304637, 0.12324439999065362, 0.15760979999322444, 0.1462677999807056, 0.12488119999761693, 0.1301493999781087, 0.2025145999796223, 0.19508969999151304, 0.12290289998054504, 0.13366719998884946, 0.2250777999870479, 0.19673699999111705, 0.17961140000261366, 0.1698910999984946, 0.15688529997714795, 0.12922099998104386, 0.19689540000399575, 0.18562329999986105, 0.13203700000303797, 0.15545669998391531, 0.11528620001627132, 0.11126469998271205, 0.18268570001237094, 0.13130770000861958, 0.15158539998810738)","(0.6764549000072293, 0.007000799989327788, 0.739871800004039, 0.041457299987087026, 0.16805370000656694, 0.17590120001113974, 0.047567600006004795, 0.23858050000853837, 0.20593910000752658, 0.2346696000022348, 0.45647989999270067, 0.152590700017754, 0.32598110000253655, 0.05676210002275184, 0.240893700014567, 0.045592500013299286, 0.09579410002334043, 0.24463760000071488, 0.01848589998553507, 0.15439800001331605, 0.14924350002547726, 0.0681314000103157, 0.0870967999799177, 0.09182689999579452, 0.22632089999387972, 0.23467939998954535, 0.06356930002220906, 0.12200459997984581, 0.1529752000060398, 0.010176199983106926, 0.04815379998763092, 0.1736836000054609, 0.1672164000046905, 0.013843499997165054, 0.06725200000801124, 0.32138780000968836, 0.24635390000184998, 0.20264260002295487, 0.18254889998934232, 0.05713639999157749, 0.07739469999796711, 0.20864600001368672, 0.11518530000466853, 0.09031420000246726, 0.21707670000614598, 0.1161701999953948, 0.032135400018887594, 0.2531503999780398, 0.1688846999895759, 0.2497129999974277)","(49, 1, 56, 10, 69, 15, 11, 98, 43, 56, 97, 48, 83, 16, 87, 13, 27, 56, 5, 43, 50, 24, 29, 23, 77, 86, 20, 41, 71, 1, 16, 44, 31, 2, 11, 93, 90, 62, 65, 25, 21, 53, 55, 28, 82, 40, 17, 77, 54, 91)"
