Label,Score,Learned Model ID,planing time,execute & repair time,Plan Length
oracle,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",-1,"(19.468150999979116, 0.23931129998527467, 3.269706799997948, 0.8099535000510514, 19.663604600005783, 9.463350799982436, 0.7694071000441909, 4.905190300021786, 10.72180010000011, 10.219831799971871, 29.999326599994674, 7.069060800014995, 0.6503560999990441, 0.6603560000075959, 1.8068183999857865, 8.335883099993225, 0.19004830002086237, 0.21359749999828637, 10.016084700007923, 0.21176449995255098, 4.9524198999861255, 10.10802710003918, 12.858688900014386, 3.2648999000084586, 0.49792599998181686, 6.920879999990575, 0.3285121999797411, 1.121032800001558, 2.159381499979645, 0.7136764000169933, 24.169513100001495, 0.6297016000025906, 0.42920529999537393, 0.6028498000232503, 0.27055750001454726, 13.978914099978283, 3.594976200023666, 2.3235269999713637, 12.582354499958456, 2.4681197999743745, 11.638349800021388, 0.3067570000421256, 0.24666280002566054, 3.875967199972365, 9.937466400035191, 0.21482409996679053, 7.352233499987051, 1.050374299986288, 4.787815299991053, 8.209800400014501)","(0.011781100009102374, 0.015114199952222407, 0.015956300019752234, 0.015289700007997453, 0.01775419997284189, 0.018258499971125275, 0.014906099997460842, 0.015298399957828224, 0.014400399988517165, 0.011561900028027594, 0.012932499987073243, 0.010012099985033274, 0.01508430001558736, 0.011291999951936305, 0.013274399971123785, 0.01310929999453947, 0.014674700039904565, 0.016315000015310943, 0.01187789998948574, 0.012954000034369528, 0.016692299977876246, 0.014502800011541694, 0.015951299981679767, 0.014231199980713427, 0.012165599968284369, 0.013575099990703166, 0.02219620003597811, 0.016707000031601638, 0.01516880001872778, 0.01263519999338314, 0.016033400024753064, 0.013910300040151924, 0.029885700030718, 0.014179699996020645, 0.015573600016068667, 0.013066800020169467, 0.01330920000327751, 0.015227199997752905, 0.015606100030709058, 0.014511900022625923, 0.011812599957920611, 0.019870199961587787, 0.010347199975512922, 0.014010799990501255, 0.013886199973057956, 0.014487500011455268, 0.014234799949917942, 0.018439800012856722, 0.021038099948782474, 0.012786399980541319)","(16, 17, 14, 15, 16, 14, 15, 17, 14, 14, 18, 14, 15, 15, 14, 15, 15, 17, 14, 14, 17, 14, 16, 15, 14, 14, 21, 18, 15, 14, 17, 14, 29, 14, 17, 15, 15, 15, 15, 14, 14, 20, 14, 15, 14, 15, 14, 18, 28, 14)"
base domain - no repair,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1,"(1.2078448999673128, 0.14562090003164485, 0.15486390003934503, 0.13618390000192448, 0.14980529999593273, 0.142438700015191, 0.15388160001020879, 0.147363799973391, 0.14708019996760413, 0.15732749999733642, 0.14774270000634715, 0.607135099999141, 0.17068969999672845, 0.16333399998256937, 0.18998520000604913, 0.14933849999215454, 0.4740010999958031, 0.22493510000640526, 0.16029359999811277, 0.15504869999131188, 0.15543679997790605, 0.14040510001359507, 0.1382599000353366, 0.1696613000240177, 0.1606327000190504, 0.16273789998376742, 0.15790229995036498, 0.16991920000873506, 0.16964500001631677, 0.15805849997559562, 0.1531546000041999, 0.20994119998067617, 0.14111649995902553, 0.17603300005430356, 0.16940140002407134, 0.15855439996812493, 0.15061680000508204, 0.16353399999206886, 0.16193830000702292, 0.14547439996385947, 0.16156759997829795, 0.1554755999823101, 0.17588430002797395, 0.17144659999758005, 0.21619740000460297, 0.1596758000086993, 0.1698995999759063, 0.1531976999831386, 0.14499320002505556, 0.159817399980966)","(0.008438599994406104, 0.008438499993644655, 0.010930899996310472, 0.010014900006353855, 0.011191199999302626, 0.011645800026599318, 0.011192199948709458, 0.009524499997496605, 0.011825800000224262, 0.010638400039169937, 0.010209100029896945, 0.018748899979982525, 0.009997399989515543, 0.01182469999184832, 0.01124540000455454, 0.011766500014346093, 0.012288999976590276, 0.008767399995122105, 0.009271499991882592, 0.00975029997061938, 0.011200400011148304, 0.008344800036866218, 0.010475899965967983, 0.011622900026850402, 0.010336900013498962, 0.012446200009435415, 0.010553100029937923, 0.010732900002039969, 0.009079099982045591, 0.007997000007890165, 0.011192600009962916, 0.009114100015722215, 0.009706499986350536, 0.010109900031238794, 0.008591100049670786, 0.010898100037593395, 0.01071060000685975, 0.009610600012820214, 0.00777399999788031, 0.011316000018268824, 0.010981399973388761, 0.009154000028502196, 0.010306299955118448, 0.014346200041472912, 0.012419399979989976, 0.009412000013981014, 0.01034600002458319, 0.009307799977250397, 0.0085073999944143, 0.009335300012025982)","(11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11)"
all monomials repair,"[0, 0, 0, 1, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 5, 6, 6, 6, 6, 7, 8, 8, 8, 9, 10, 10, 11, 11, 11, 11, 12, 12, 12, 12, 13, 14, 15, 15, 15, 16, 16, 17, 18, 19, 20, 21, 22, 23, 23, 23, 23]",-1,"(0.21002810000209138, 0.2744867999572307, 0.573589899984654, 0.5684798000147566, 0.16835890000220388, 16.376258000032976, 11.154575099993963, 7.5876962000038475, 5.397147800016683, 0.1426725999917835, 1.3102272999822162, 2.583863800042309, 3.1647892999462783, 2.360729900014121, 2.6609402000322007, 2.0054882999975234, 0.27774370001861826, 4.996360899996944, 2.1801659000338987, 2.9831633000285365, 4.083670700027142, 2.514639000000898, 2.630419900000561, 2.4386587999761105, 2.4023250000318512, 0.7112008999683894, 2.46579779998865, 1.6303174000349827, 3.1455525000346825, 1.5114855999709107, 5.13819309999235, 1.362034899997525, 1.0859265999752097, 4.387760300014634, 3.4050300999660976, 1.8296054999809712, 1.3651242000050843, 2.220857700041961, 2.2729174999985844, 3.1532040999736637, 4.157088199979626, 1.9872016999870539, 4.441816199978348, 2.258970200025942, 2.5745286000310443, 5.615602699981537, 4.22500829998171, 3.339579900028184, 3.7582171999965794, 5.958307199995033)","(0.038427599996794015, 0.020363499992527068, 0.16057040001032874, 0.3061932999989949, 0.05466849997173995, 0.28671439999016, 0.3047417000052519, 0.303834900027141, 0.4057867999654263, 0.11272480001207441, 0.18123190000187606, 0.32646050001494586, 0.28936290001729503, 0.48899109999183565, 0.30670670000836253, 0.405831300013233, 0.21905580000020564, 0.8118645999929868, 0.4223262999439612, 0.630405800009612, 0.5008347000111826, 0.4630439000320621, 0.7173051999998279, 0.7959516000119038, 0.46827810001559556, 0.5130355000146665, 0.5633808999555185, 1.157825900008902, 0.8515485999523662, 0.6984673999832012, 0.9717548000044189, 1.008284400042612, 0.5861881999881007, 0.8635588999604806, 0.9809811000013724, 0.9948475999990478, 0.6625788999954239, 1.157747199991718, 1.0365414000116289, 0.9235067000263371, 1.2310370999621227, 1.1572985000093468, 1.1761279000202194, 1.2376116000232287, 1.22016770002665, 1.2621005999972112, 1.5967896999791265, 1.4370664999587461, 1.0929065000382252, 1.1415293000172824)","(11, 9, 21, 30, 11, 23, 21, 20, 23, 11, 14, 20, 16, 21, 16, 18, 13, 23, 17, 21, 18, 17, 21, 22, 16, 16, 17, 19, 21, 17, 20, 15, 16, 19, 20, 20, 16, 20, 20, 19, 21, 20, 20, 20, 20, 20, 18, 20, 18, 19)"
adaptive repair base,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 3, 3, 3, 3, 3, 4, 4, 5, 5, 5, 6, 6, 7, 7, 8, 9, 10, 10, 11, 11, 12, 13, 13, 13, 14, 15, 16, 17, 17, 18, 18, 19, 19, 20, 21, 22, 22, 22, 22, 22, 23]",-1,"(0.20636039995588362, 0.2535029000137001, 0.6071159999701194, 0.13311669998802245, 2.0583638999960385, 2.1123933999915607, 1.479119899973739, 1.2663780999719165, 23.643264700018335, 0.4307171999826096, 1.3095355000114068, 3.6199697999982163, 2.441926200001035, 1.9691657000221312, 2.086978600011207, 1.4494538000435568, 1.3579786999616772, 2.6196459000348113, 2.0831837999867275, 2.1906491999980062, 5.065811600012239, 4.284798700013198, 3.62458920001518, 4.132766199996695, 3.9681887999759056, 1.9757740999921225, 2.0067249999847263, 3.6694369000033475, 1.9178284999798052, 2.3120630999910645, 4.7590404999791645, 3.516932599944994, 3.158257399976719, 3.304314000008162, 4.3462157000321895, 2.9982557999901474, 1.8371564999688417, 3.109098399989307, 3.290832699974999, 2.7980841000098735, 2.6313310000114143, 1.9518734999583103, 1.5703486000420526, 2.1552442999673076, 2.376923000032548, 1.8927020999835804, 1.7825599000207148, 2.753947800025344, 2.7004992999718525, 3.7371071000234224)","(0.04510200000368059, 0.02770129998680204, 0.29001729999436066, 0.08311060001142323, 0.1981427999562584, 0.213057899964042, 0.15373770002042875, 0.26710260001709685, 0.6583420000388287, 0.29891830001724884, 0.49650549999205396, 0.31439459999091923, 0.4974447999848053, 0.3854907000204548, 0.21324460004689172, 0.18798230000538751, 0.5066237000282854, 0.5748867000220343, 1.0524052999680862, 0.6324142999947071, 0.7326145999832079, 0.7800920999725349, 0.728103099972941, 0.8288784000324085, 0.8026885999715887, 0.8013729000231251, 0.7087467000237666, 0.9766699000028893, 0.9240411999635398, 1.4609792999690399, 0.9908417999977246, 0.8649495000136085, 1.0105821999604814, 1.0512153999879956, 1.0962755999644287, 1.1603259000112303, 1.1053112000226974, 1.459621500049252, 1.293623099976685, 1.125929499976337, 1.2585074999951757, 1.2848215000121854, 1.2049543000175618, 1.365734799997881, 1.4258362000109628, 1.2654054999584332, 1.1712383999838494, 1.4459400000050664, 1.8499079000321217, 1.4887938000028953)","(11, 9, 22, 11, 15, 16, 13, 16, 28, 15, 18, 16, 19, 17, 20, 19, 18, 18, 18, 19, 20, 20, 19, 20, 19, 18, 17, 20, 19, 19, 19, 18, 18, 18, 19, 20, 18, 20, 20, 18, 19, 19, 18, 19, 19, 18, 17, 19, 18, 19)"
adaptive repair + support for signature change,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 5, 6, 7, 8, 9, 10, 11, 12]",42,"(0.20299140003044158, 0.2507231999770738, 0.5430459000053816, 0.14706220000516623, 0.39177699998253956, 0.4482719000079669, 4.783225700026378, 0.14465629996266216, 0.3018305999576114, 0.1455839999835007, 0.19796259998111054, 0.2199842000263743, 0.17738310003187507, 0.19661199999973178, 7.576556400046684, 0.18418979999842122, 0.5452077999943867, 0.2661936999647878, 0.16801980003947392, 0.13819100003456697, 0.18651679996401072, 0.18334660003893077, 0.1959603000432253, 0.19453949999297038, 0.16196340002352372, 0.17728860001079738, 0.41578059998573735, 0.8567609000019729, 0.20260130002861843, 0.18386319995624945, 0.12603970000054687, 0.129611800017301, 0.12426539999432862, 0.12384189997101203, 0.14382060000207275, 0.1164503000327386, 0.13866429997142404, 0.12858820002293214, 0.09019469999475405, 0.0885936000267975, 0.4032951999688521, 0.5033508000196889, 0.11994840000988916, 2.2389250999549404, 6.896920399973169, 0.15332240000134334, 4.533109300013166, 0.7639980000094511, 1.964449999970384, 4.727328699955251)","(0.054590399959124625, 0.03396550001343712, 0.19961750000948086, 0.07791469997027889, 0.16091019997838885, 0.21557579998625442, 0.15135619998909533, 0.33753650001017377, 1.2020881000207737, 0.12112419999903068, 0.10468819999368861, 0.169479499978479, 0.14092579996213317, 0.1576886000111699, 0.059609999996609986, 0.0856037000194192, 0.6049672999652103, 0.16196400002809241, 0.14309999998658895, 0.1163364999811165, 0.118981099978555, 0.14811619999818504, 0.13389690004987642, 0.15654639998683706, 0.05233490001410246, 0.07753999996930361, 0.043891900044400245, 0.2642384000355378, 0.09818699996685609, 0.10916669998550788, 0.05246079998323694, 0.06318190001184121, 0.07693929999368265, 0.06847850000485778, 0.09384549997048452, 0.08215660002315417, 0.08073700004024431, 0.0674033000250347, 0.04993480001576245, 0.022663699986878783, 0.29312009998830035, 0.06209199997829273, 0.02957579999929294, 0.05371870001545176, 0.05650080001214519, 0.023670600028708577, 0.03992359997937456, 0.07394050003495067, 0.06163950002519414, 0.03393600002164021)","(11, 9, 17, 11, 15, 16, 17, 11, 59, 11, 11, 11, 11, 11, 12, 11, 29, 11, 11, 11, 11, 11, 11, 11, 11, 11, 9, 17, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 33, 13, 14, 15, 14, 15, 14, 18, 28, 14)"
adaptive repair + support for signature change with milp,"[0, 0, 0, 1, 2, 2, 2, 3, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]",8,"(0.11845180002273992, 0.16564959997776896, 0.4464173000305891, 6.5338339000009, 1.3347569999750704, 0.10334020003210753, 0.2956433999934234, 0.36719039996387437, 5.746195999963675, 6.337136499991175, 17.175622699956875, 4.367275500029791, 0.3960520999971777, 0.3627015000092797, 1.1173677999759093, 6.002335299970582, 0.15884809999261051, 0.14768029999686405, 6.967812600021716, 0.16977209999458864, 2.8718235000269488, 5.302711499971338, 6.13326179998694, 2.2634611999965273, 0.3029180000303313, 4.529526999976952, 0.20898459997260943, 0.8470456000068225, 1.6433108000201173, 0.5320055999909528, 15.615548199974, 0.5923579999944195, 0.34474089997820556, 0.5138318999670446, 0.2480636999825947, 11.184281499998178, 5.314764200011268, 1.7182419000309892, 9.432123400038108, 1.6217798999859951, 6.766811000008602, 0.22618779999902472, 0.2020032000145875, 2.382072100008372, 6.543371700041462, 0.14945039997110143, 5.066154500003904, 0.8015618000063114, 4.303320500010159, 4.706000200007111)","(0.02432629995746538, 0.01780729996971786, 0.20111580000957474, 0.2758806000347249, 240.80697580002015, 0.014893799962010235, 0.15371300000697374, 0.1088793000089936, 0.043705100018996745, 0.03415869997115806, 0.0632200000109151, 0.026526000001467764, 0.03477899997960776, 0.02790909999748692, 0.0435431000078097, 0.06748369999695569, 0.052919300040230155, 0.034488099976442754, 0.06075910001527518, 0.049523300025612116, 0.04023919999599457, 0.04604500002460554, 0.03804600000148639, 0.03431960003217682, 0.041223599982913584, 0.04013929999200627, 0.04998329997761175, 0.053720599971711636, 0.04955919994972646, 0.031803600024431944, 0.055146200000308454, 0.060999799985438585, 0.06525879999389872, 0.05347569996956736, 0.058541200007312, 0.03861350001534447, 0.030118499998934567, 0.04785989999072626, 0.052246499981265515, 0.041099200025200844, 0.04325410001911223, 0.044134499970823526, 0.03954149998025969, 0.0278499000123702, 0.05441329994937405, 0.0341611000476405, 0.028748100041411817, 0.05526860000099987, 0.05484720005188137, 0.02936220000265166)","(11, 9, 22, 26, 15, 11, 20, 17, 14, 14, 18, 14, 15, 15, 14, 15, 15, 17, 14, 14, 17, 14, 16, 15, 14, 14, 21, 18, 15, 14, 17, 14, 29, 14, 17, 15, 15, 15, 15, 14, 14, 20, 14, 15, 14, 15, 14, 18, 28, 14)"
