Label,Score,Learned Model ID,planing time,execute & repair time,Plan Length
oracle,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",-1,"(0.13260489999083802, 0.17339650000212714, 0.13331549998838454, 0.1320313000032911, 0.12137789999542292, 0.13992090000829194, 0.15480740000202786, 0.12883120001060888, 0.13005330000305548, 0.13888329999463167, 0.13323829999717418, 0.13778430000820663, 0.14172249998955522, 0.13631279999390244, 0.12499120000575203, 0.12512329999299254, 0.13233939999190625, 0.12379250000230968, 0.1339942000049632, 0.13360529999772552, 0.12330520000250544, 0.11967790000198875, 0.12692270000115968, 0.15379589999793097, 0.1380741000029957, 0.13949239999055862, 0.12888619999284856, 0.1281913999991957, 0.13789030000043567, 0.13907930000277702, 0.13491380000778008, 0.14448339999944437, 0.12896979998913594, 0.1254690999921877, 0.14030970000021625, 0.14210249998723157, 0.13530310000351164, 0.1318619000085164, 0.13817460001155268, 0.1444947999989381, 0.11755799999809824, 0.1449109000095632, 0.13734699999622535, 0.12662929999351036, 0.13333170000987593, 0.13524750000215136, 0.13144399999873713, 0.14236680000612978, 0.141057600005297, 0.15593079999962356)","(0.003594199995859526, 0.00471819999802392, 0.004586299997754395, 0.004100499994819984, 0.004018699997686781, 0.00382920000993181, 0.003579399999580346, 0.0035105999995721504, 0.0033353999897371978, 0.003971800004364923, 0.0036472999927354977, 0.005235399992670864, 0.005056599999079481, 0.004917899990687147, 0.004420699988259003, 0.003465000001597218, 0.003625800003646873, 0.003219400008674711, 0.007637199989403598, 0.003245599989895709, 0.003296700000646524, 0.004085200009285472, 0.006443599995691329, 0.004195699992123991, 0.004880899999989197, 0.003299799995147623, 0.007163400005083531, 0.004067100002430379, 0.0037582999939331785, 0.004031400007079355, 0.004242599999997765, 0.004296900006011128, 0.00379290001001209, 0.003814099996816367, 0.006443199992645532, 0.00409590000344906, 0.005092299994430505, 0.0035740999883273616, 0.003616300004068762, 0.004183400000329129, 0.0041637000103946775, 0.0035456000041449443, 0.0037974000006215647, 0.003382800001418218, 0.004394900010083802, 0.0035279000003356487, 0.004778999995323829, 0.004535699990810826, 0.00472930000978522, 0.005920099996728823)","(12, 12, 12, 12, 12, 13, 12, 12, 11, 11, 11, 14, 13, 11, 12, 11, 12, 11, 14, 11, 11, 14, 14, 14, 13, 11, 13, 11, 13, 13, 12, 13, 12, 12, 13, 13, 13, 12, 12, 13, 12, 12, 13, 11, 13, 11, 14, 13, 13, 12)"
base domain - no repair,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",-1,"(0.07239479999407195, 0.07195739999588113, 0.07670819999475498, 0.07747229999222327, 0.07012780000513885, 0.07233049999922514, 0.07212740000977647, 0.07367500000691507, 0.07373669999651611, 0.07122870000603143, 0.0705759999982547, 0.06973119999747723, 0.0723061000026064, 0.06954460000270046, 0.07072730000072625, 0.0732278000068618, 0.07019449998915661, 0.07188059999316465, 0.07323129998985678, 0.06876350000675302, 0.0721551000024192, 0.07222440000623465, 0.06902700000500772, 0.07240319999982603, 0.07127929999842308, 0.07322369999019429, 0.07083529999363236, 0.07170639999094419, 0.07189780000771862, 0.07307569999829866, 0.07092339999508113, 0.07012630000826903, 0.07236749998992309, 0.07301169999118429, 0.06976030000078026, 0.07149040000513196, 0.07361829999717884, 0.06862659999751486, 0.07267719999072142, 0.07168639999872539, 0.06809729999804404, 0.07260630000382662, 0.07389840000541881, 0.06844080000882968, 0.07254559999273624, 0.07162070000777021, 0.07044120000500698, 0.07059630000730976, 0.07214430000749417, 0.06894890000694431)","(0.0031553000007988885, 0.002930900009232573, 0.0033161000028485432, 0.0032211999932769686, 0.0031608999997843057, 0.0046233999892137945, 0.0028744000010192394, 0.00370180000027176, 0.003264400002080947, 0.0029177999967942014, 0.0026574999938020483, 0.003882699995301664, 0.0033096999977715313, 0.005322099998011254, 0.0034066999942297116, 0.0026664999895729125, 0.003416000006836839, 0.0035711999953491613, 0.003332699998281896, 0.003576299990527332, 0.003058899994357489, 0.004044899993459694, 0.0034764000010909513, 0.003668600009405054, 0.00317949999589473, 0.002656800003023818, 0.004263900002115406, 0.0026806999958353117, 0.003682100010337308, 0.004097300014109351, 0.003245600004447624, 0.003369300000485964, 0.0033958999993046746, 0.003143800000543706, 0.007251799994264729, 0.004095500000403263, 0.0032611999922664836, 0.004044200002681464, 0.003205300003173761, 0.0033017999958246946, 0.0038083999970695004, 0.002863800007617101, 0.0031773999944562092, 0.0030359000083990395, 0.0035219999990658835, 0.0034872000105679035, 0.0033189999958267435, 0.004524000003584661, 0.003108399992925115, 0.002669100009370595)","(11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11)"
all monomials repair,"[0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",2,"(0.07367080000403803, 0.137555399996927, 0.131212799999048, 0.12851539999246597, 0.1345790999912424, 0.1464780999958748, 0.14424049999797717, 0.12411679999786429, 0.13498479999543633, 0.12421530000574421, 0.13303280000400264, 0.1434704999992391, 0.14099040000292007, 0.1337465999968117, 0.1296269000013126, 0.13367450000077952, 0.1274353000044357, 0.13307840000197757, 0.1303975999908289, 0.13063660000625532, 0.13134740000532474, 0.13305960000434425, 0.12329999999201391, 0.14872389999800362, 0.14089399999647867, 0.12984739999228623, 0.13960300000326242, 0.13098439999157563, 0.14302600000519305, 0.13236020000476856, 0.14194600000337232, 0.1352887999964878, 0.12538859999040142, 0.1224382000073092, 0.13311439999961294, 0.1411670000088634, 0.1388928000087617, 0.12382559999241494, 0.13206049999280367, 0.13821190000453498, 0.13047600000572857, 0.1330041000037454, 0.1417797000030987, 0.13961579999886453, 0.14552289999846835, 0.13213220000034198, 0.13186920000589453, 0.13436940000974573, 0.14019839999673422, 0.13934529999096412)","(0.018667700001969934, 0.02387809999345336, 0.014299299989943393, 0.015869800001382828, 0.014842799995676614, 0.016962399997282773, 0.016100599998026155, 0.014325900003314018, 0.014535099995555356, 0.014622299990151078, 0.01315370001248084, 0.01870749999943655, 0.015430699990247376, 0.014531100008753128, 0.0150322999979835, 0.01315890000842046, 0.01679409999633208, 0.015071300003910437, 0.016443200001958758, 0.013754899991909042, 0.016096600011223927, 0.019290199998067692, 0.016841799995745532, 0.01675710000563413, 0.016020299997762777, 0.01690299999609124, 0.015127799997571856, 0.013991699990583584, 0.01504870000644587, 0.015027800007374026, 0.01421239999763202, 0.019540799999958836, 0.014186800006427802, 0.013919299992267042, 0.018532400004914962, 0.015781599999172613, 0.01683390000835061, 0.01580639999883715, 0.014008099999045953, 0.016712900003767572, 0.01496950000000652, 0.015276099991751835, 0.015394000001833774, 0.01591629999165889, 0.01501690001168754, 0.014840300005744211, 0.016406099995947443, 0.017897399986395612, 0.016053299987106584, 0.01616890000877902)","(11, 13, 12, 12, 12, 13, 12, 12, 11, 11, 11, 14, 13, 11, 12, 11, 12, 11, 14, 11, 11, 14, 14, 14, 13, 11, 13, 11, 13, 13, 12, 13, 12, 12, 13, 13, 13, 12, 12, 13, 12, 12, 13, 11, 13, 11, 14, 13, 13, 12)"
adaptive repair base,"[0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",1,"(0.07648779998999089, 0.1350280000042403, 0.13738679999369197, 0.12016880000010133, 0.12550689998897724, 0.13274010000168346, 0.14991240001108963, 0.12733390000357758, 0.13097349999588914, 0.12312399999063928, 0.1328118999954313, 0.14686900000378955, 0.1348852000082843, 0.12440410000272095, 0.12608149999869056, 0.12157990000559948, 0.12957089999690652, 0.13495459999830928, 0.13397779999650083, 0.13236610000603832, 0.13188309999532066, 0.13121530000353232, 0.1291681000002427, 0.14436020000721328, 0.14214710000669584, 0.12171499998657964, 0.1351418999984162, 0.12998360001074616, 0.14095330001146067, 0.1417239000002155, 0.1369533999968553, 0.14350689999992028, 0.12622109999938402, 0.1275628000003053, 0.14232270000502467, 0.136296399999992, 0.1328880999935791, 0.12201960000675172, 0.13907420000759885, 0.14097330000367947, 0.12466860000859015, 0.13125230000878219, 0.13355840000440367, 0.12870069999189582, 0.1467255000025034, 0.13487750000786036, 0.12001240000245161, 0.1451317999890307, 0.136805899994215, 0.142568500014022)","(0.020602500007953495, 0.015701500000432134, 0.014180900005158037, 0.014543699988280423, 0.01576789999671746, 0.015202299997326918, 0.013756299988017417, 0.014326599994092248, 0.013780099994619377, 0.014596299995901063, 0.013228400013758801, 0.01615270000183955, 0.01677630000631325, 0.013576299999840558, 0.016024600001401268, 0.01626429999305401, 0.015473899999051355, 0.014104899993981235, 0.016245699996943586, 0.012924199996632524, 0.012743800005409867, 0.017895799988764338, 0.015874700009590015, 0.01671919999353122, 0.014970600008382462, 0.013154000000213273, 0.015625999993062578, 0.018244800012325868, 0.015226800009259023, 0.017321899998933077, 0.01570220000576228, 0.017331900002318434, 0.014468299996224232, 0.015309800000977702, 0.015081400008057244, 0.0168163999915123, 0.017587900001672097, 0.014021499999216758, 0.014785100007429719, 0.015541899992967956, 0.017145400008303113, 0.013897199998609722, 0.016853299996000715, 0.012811000007786788, 0.0174057999975048, 0.012839800008805469, 0.01769679998687934, 0.017144700002972968, 0.015330399997765198, 0.014034100007847883)","(11, 12, 12, 12, 12, 13, 12, 12, 11, 11, 11, 14, 13, 11, 12, 11, 12, 11, 14, 11, 11, 14, 14, 14, 13, 11, 13, 11, 13, 13, 12, 13, 12, 12, 13, 13, 13, 12, 12, 13, 12, 12, 13, 11, 13, 11, 14, 13, 13, 12)"
adaptive repair + support for signature change,"[0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",1,"(0.07902659999672323, 0.14556620000803377, 0.1365354000008665, 0.11989270000776742, 0.13580699999874923, 0.1309649999893736, 0.1447580999956699, 0.15424699999857694, 0.15386389999184757, 0.1566292999923462, 0.13767519999237265, 0.15124330000253394, 0.15344589999585878, 0.13848690000304487, 0.12713480000093114, 0.13394790000165813, 0.12775580000015907, 0.12517460000526626, 0.1273471000022255, 0.12915849999990314, 0.13548330000776332, 0.13275570000405423, 0.12764390000666026, 0.14858359999198, 0.14259239999228157, 0.13253200000326615, 0.14497999999730382, 0.12915989999601152, 0.13662229999317788, 0.1408157999976538, 0.1387121999869123, 0.13690280000446364, 0.13191070000175387, 0.1156399000028614, 0.13969660000293516, 0.13660869999148417, 0.13902869999583345, 0.12788859999272972, 0.14456000000063796, 0.14294879999943078, 0.12317130000155885, 0.13051899999845773, 0.13336929999059066, 0.1356783999945037, 0.14408610000100452, 0.13542669999878854, 0.1244355000089854, 0.14030830000410788, 0.1383540999959223, 0.15151380001043435)","(0.02535919999354519, 0.0140425999998115, 0.014533099994878285, 0.014220100012607872, 0.01466719999734778, 0.01589090000197757, 0.01595489999454003, 0.020075100008398294, 0.027992299990728498, 0.01736220000020694, 0.013994000008096918, 0.020298899995395914, 0.015375099988887087, 0.014835099995252676, 0.015794200007803738, 0.013908999986597337, 0.01436939999985043, 0.015246199996909127, 0.016560899995965883, 0.014116899998043664, 0.014794800008530729, 0.01707999999052845, 0.018933699990157038, 0.018996099999640137, 0.018376599997282028, 0.015321599988965318, 0.01685630000429228, 0.014304399999673478, 0.01536409999243915, 0.015505299990763888, 0.01463740000326652, 0.015576699996017851, 0.014158600009977818, 0.013876099998014979, 0.0160364000039408, 0.016915600004722364, 0.018500899997889064, 0.015984600002411753, 0.013650099994265474, 0.015025399989099242, 0.01754600000276696, 0.0138440000009723, 0.015454299995326437, 0.01421459999983199, 0.015060199992149137, 0.013248599992948584, 0.016361300004064105, 0.01787339999282267, 0.016775099997175857, 0.01431000001321081)","(11, 12, 12, 12, 12, 13, 12, 12, 11, 11, 11, 14, 13, 11, 12, 11, 12, 11, 14, 11, 11, 14, 14, 14, 13, 11, 13, 11, 13, 13, 12, 13, 12, 12, 13, 13, 13, 12, 12, 13, 12, 12, 13, 11, 13, 11, 14, 13, 13, 12)"
