Label,Score,Learned Model ID,planing time,execute & repair time,Plan Length
oracle,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",-1,"(0.12255949999962468, 0.12534890000824817, 0.12718909999239258, 0.12804320000577718, 0.13268490000336897, 0.1308061000017915, 0.12718260000110604, 0.12493269999686163, 0.13419909999356605, 0.148373600008199, 0.12762290000682697, 0.12732369999866933, 0.13417629999457859, 0.13839410000946373, 0.12234870000975206, 0.12549060001038015, 0.13127750001149252, 0.1299767000018619, 0.12170990000595339, 0.1264244000049075, 0.13156080000044312, 0.13596110000798944, 0.1300580999959493, 0.13520850001077633, 0.1267874000041047, 0.12965829999302514, 0.1284927999950014, 0.12670069999876432, 0.13193430000683293, 0.12719719999586232, 0.13145179999992251, 0.13450790000206325, 0.12274029999389313, 0.12430640000093263, 0.11993349999829661, 0.12710510000761133, 0.13198209999245591, 0.13276330000371672, 0.1250990999978967, 0.12883429999055807, 0.1356902999978047, 0.13607999999658205, 0.12561160000041127, 0.12939210000331514, 0.12648960000660736, 0.12404830000014044, 0.13311869998869952, 0.1265962000034051, 0.12155930000881199, 0.12969410000368953)","(0.0032282999891322106, 0.0035367000091355294, 0.003309599997010082, 0.0033140000014100224, 0.003218899990315549, 0.00315950000367593, 0.0031104999943636358, 0.003114899998763576, 0.003334799999720417, 0.003365899989148602, 0.0030454999941866845, 0.003612000000430271, 0.0037768000038340688, 0.003272000001743436, 0.0033009999897331, 0.003245900006731972, 0.005909200001042336, 0.0030731000006198883, 0.003251799993449822, 0.0031168999994406477, 0.003074500011280179, 0.003163799992762506, 0.0037456999998539686, 0.003154500009259209, 0.004611199998180382, 0.003109900004346855, 0.0035998999956063926, 0.0036552999954437837, 0.003186800007824786, 0.003125000002910383, 0.00407439999980852, 0.004194099994492717, 0.0032097999937832355, 0.003999200009275228, 0.00334840000141412, 0.0033022999996319413, 0.0034188999998150393, 0.007210399999166839, 0.003068699996219948, 0.0035717999999178573, 0.00375220000569243, 0.003451099997619167, 0.006152200003270991, 0.003352300002006814, 0.0030484000017168, 0.0034574000019347295, 0.0032759000023361295, 0.0031214000046020374, 0.0030563000036636367, 0.003423699992708862)","(11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11)"
base domain - no repair,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1,"(0.06860320000851061, 0.06710790000215638, 0.06807119998848066, 0.07486700000299606, 0.07289619999937713, 0.07043349999003112, 0.06980709999334067, 0.06533329999365378, 0.06855219999852125, 0.07181810001202393, 0.06530879999627359, 0.06840650000958703, 0.07172459999856073, 0.06521990000328515, 0.06551590000162832, 0.07220260000030976, 0.0666001000063261, 0.06837629999790806, 0.07146710000233725, 0.06584450000082143, 0.06541109998943284, 0.07097240000439342, 0.06803419999778271, 0.06654709999565966, 0.07147439999971539, 0.06473019999975804, 0.07354249998752493, 0.07980119998683222, 0.06892469999729656, 0.07095000000845175, 0.0705073999997694, 0.06727590000082273, 0.06918279999808874, 0.07163330000184942, 0.0657982999982778, 0.06755110000085551, 0.09148600000480656, 0.07313109999813605, 0.07913559999724384, 0.07305360000464134, 0.07109470000432339, 0.07313689999864437, 0.07228520000353456, 0.07006690000707749, 0.07600330001150724, 0.07581339999160264, 0.06763540000247303, 0.0715961999958381, 0.06928609999886248, 0.06759069999679923)","(0.005760499989264645, 0.002660199999809265, 0.0030300000071292743, 0.0026076000067405403, 0.0034318000107305124, 0.0029805000085616484, 0.002589700001408346, 0.003012400004081428, 0.002627199995913543, 0.002554600010626018, 0.0025236999936169013, 0.003884200006723404, 0.002529499994125217, 0.002526299998862669, 0.004284499998902902, 0.0027178999880561605, 0.0028812000091420487, 0.0038837999891256914, 0.0026089000020874664, 0.0025338999985251576, 0.002745300007518381, 0.0030522000015480444, 0.0026662000018404797, 0.0027847000019392, 0.0026648999919416383, 0.0025427000073250383, 0.0030879000114509836, 0.0030608999950345606, 0.002563599991844967, 0.003192999996826984, 0.0029319000022951514, 0.002693100002943538, 0.0028049999964423478, 0.0026485999987926334, 0.0025313999940408394, 0.0026122999988729134, 0.0028737999964505434, 0.002833099992130883, 0.0041419000044697896, 0.003147199997329153, 0.0061478999996325, 0.003576699993573129, 0.0026066999998874962, 0.0029910000012023374, 0.002860799999325536, 0.002682399994228035, 0.00624130001233425, 0.003828500004601665, 0.002529699995648116, 0.002567200004705228)","(11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11)"
all monomials repair,"[0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",2,"(0.07200400000147056, 0.1432788999954937, 0.13519020000239834, 0.13027940000756644, 0.13100750000739936, 0.1341750999999931, 0.1336927999946056, 0.14505980000831187, 0.13464699999894947, 0.13423250000050757, 0.12033450001035817, 0.12601630001154263, 0.12600079999538139, 0.12709809999796562, 0.1209248000086518, 0.12532020000799093, 0.1231329000002006, 0.12725419999333099, 0.12248100001306739, 0.12529389999690466, 0.12065779999829829, 0.12728640000568703, 0.12843910000810865, 0.1259003000013763, 0.12157370000204537, 0.12690550000115763, 0.11987200001021847, 0.13304230000358075, 0.13255530000606086, 0.12569720001192763, 0.1232464000058826, 0.12742160000198055, 0.12243450000823941, 0.13820280000800267, 0.13174729999445844, 0.13892420000047423, 0.1225947999919299, 0.1262177999888081, 0.122085099996184, 0.1260310999932699, 0.12771169999905396, 0.12426140000752639, 0.13185930000327062, 0.12307040000450797, 0.12294490000931546, 0.1254348999937065, 0.12653450001380406, 0.13701969999237917, 0.12092149999807589, 0.12480619999405462)","(0.014353400008985773, 0.02064260000770446, 0.012682999993558042, 0.013359899996430613, 0.01494269999966491, 0.016218000004300848, 0.012857800000347197, 0.017394900001818314, 0.014736600001924671, 0.015720800001872703, 0.012787300001946278, 0.012552500003948808, 0.012701100000413135, 0.012623899994650856, 0.01267139999254141, 0.014763099999981932, 0.012843999997130595, 0.012873100000433624, 0.012544500001240522, 0.014809100001002662, 0.01446109999960754, 0.01286400000390131, 0.012877699991804548, 0.012860500006354414, 0.012673100005486049, 0.013748099998338148, 0.017037799989338964, 0.014314700005343184, 0.012767199994414113, 0.01291210000636056, 0.012885499992989935, 0.012731599999824539, 0.015192300008493476, 0.013230200012912974, 0.014001000003190711, 0.012670500000240281, 0.01254690000496339, 0.014540300006046891, 0.012597399996593595, 0.014271000007283874, 0.014407599999685772, 0.012701200001174584, 0.01341439998941496, 0.012566000004881062, 0.012643800000660121, 0.014077700005145743, 0.015345000007073395, 0.014081699991947971, 0.014812199995503761, 0.013027699998929165)","(11, 13, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11)"
adaptive repair base,"[0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",1,"(0.07017769999220036, 0.1364125999971293, 0.13433610000356566, 0.13495870000042487, 0.1233939000085229, 0.12481860000116285, 0.12151700000686105, 0.13611730000411626, 0.13292340000043623, 0.135294799998519, 0.12561790000472683, 0.13859180000144988, 0.12443960001110099, 0.1354464000032749, 0.12406190000183415, 0.1380600999982562, 0.12408649999997579, 0.12673459999496117, 0.134168899996439, 0.1250140000047395, 0.12234170000010636, 0.12610470000072382, 0.1326093999959994, 0.12478559999726713, 0.12214430001040455, 0.12796919999527745, 0.1302622000075644, 0.12693480000598356, 0.12263840000377968, 0.1324875999998767, 0.12034229999699164, 0.1298864999989746, 0.12408809999760706, 0.13505850000365172, 0.12057040000217967, 0.12513200000103097, 0.13701669999863952, 0.1277845000004163, 0.12896730001375545, 0.1407232999918051, 0.13077969998994377, 0.13234290000400506, 0.12780930000008084, 0.13255920000665355, 0.12094660000002477, 0.12511059999815188, 0.12255610000283923, 0.1296409000060521, 0.13139789999695495, 0.12472750000597443)","(0.014439599995967, 0.015060699995956384, 0.013228499999968335, 0.014418500009924173, 0.01537100000132341, 0.014267500009736978, 0.012444400010281242, 0.012486399995395914, 0.01232549999258481, 0.012752399998134933, 0.015800699999090284, 0.012841499992646277, 0.014956099999835715, 0.012721199993393384, 0.01312189998861868, 0.012847199992393143, 0.012936099999933504, 0.013309499991009943, 0.013049100001808256, 0.013581599996541627, 0.012914999999338761, 0.013157699999283068, 0.012855699998908676, 0.012738999997964129, 0.012735099997371435, 0.014353999999002554, 0.014202299993485212, 0.014049899997189641, 0.013143999996827915, 0.012977199992747046, 0.01366109999071341, 0.015452600011485629, 0.013156599990907125, 0.015204399998765439, 0.014448499990976416, 0.012451799993868917, 0.013068500004010275, 0.01268030000210274, 0.01657980000891257, 0.01420269999653101, 0.012718300000415184, 0.01252409999142401, 0.012850099999923259, 0.014088999989326112, 0.01479230000404641, 0.012913400001707487, 0.0133337000006577, 0.01292759999341797, 0.013860200007911772, 0.014831700013019145)","(11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11)"
adaptive repair + support for signature change,"[0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",1,"(0.06749879999551922, 0.13611569999193307, 0.13266860001021996, 0.13277690000541043, 0.1210785000002943, 0.1290230999875348, 0.12929599999915808, 0.1233520999958273, 0.12103179999394342, 0.12510170000314247, 0.12509400000271853, 0.1249009000021033, 0.13280739999026991, 0.12564019999990705, 0.13343760000134353, 0.13574300000618678, 0.1322982999990927, 0.13478009999380447, 0.12349410000024363, 0.12726619999739341, 0.12136839999584481, 0.1385710000031395, 0.12218269999721088, 0.12939960000221618, 0.12211060000117868, 0.13531430000148248, 0.12026250000053551, 0.1276646000042092, 0.12167849999968894, 0.12679619999835268, 0.12173759999859612, 0.13140549999661744, 0.13287770000169985, 0.13166839999030344, 0.1342980999907013, 0.13835609999659937, 0.1322643000021344, 0.1287986999959685, 0.1332989000075031, 0.12579659999755677, 0.12583140000060666, 0.13457420001213904, 0.12118099999497645, 0.128284899998107, 0.13140469999052584, 0.12833159998990595, 0.11946200000238605, 0.12917020000168122, 0.1269614999910118, 0.13604359999590088)","(0.014482300000963733, 0.017835199992987327, 0.012823699988075532, 0.012618900000234134, 0.016612800012808293, 0.014687700007925741, 0.012670500000240281, 0.012638200001674704, 0.012887799995951355, 0.01397509999515023, 0.016327799996361136, 0.013795599996228702, 0.012587599994731136, 0.01489160000346601, 0.013532500001019798, 0.015274399993359111, 0.014297799993073568, 0.013715399996726774, 0.01386409999395255, 0.014362799993250519, 0.01267889999144245, 0.014149599999655038, 0.013007999994442798, 0.01278559998900164, 0.013878800004022196, 0.013454899992211722, 0.020003099998575635, 0.014707999987876974, 0.012826399994082749, 0.012759499993990175, 0.018355899999733083, 0.01323900000716094, 0.01595679999445565, 0.014381500004674308, 0.012724700005492195, 0.013993000000482425, 0.013105100006214343, 0.014700100000482053, 0.01275819999864325, 0.012730500006000511, 0.014156999997794628, 0.014043500006664544, 0.012869799989857711, 0.012687199996435083, 0.01570930000161752, 0.013150200000382029, 0.013583200008724816, 0.01510730000154581, 0.013397000002441928, 0.01292920000560116)","(11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11)"
