Label,Score,Learned Model ID,planing time,execute & repair time,Plan Length
oracle,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",-1,"(0.1836258999974234, 0.17965089999779593, 3.4537134999991395, 0.1951106000051368, 0.1958108000108041, 0.17095050000352785, 1.0175925999938045, 0.25843370000075083, 0.25010659999679774, 0.18715009999868926, 0.2310074999986682, 0.19461210000736173, 0.1856339000078151, 0.29006449998996686, 0.2918375000008382, 0.3598861000064062, 0.1699792999861529, 0.22918660000141244, 0.19931779999751598, 0.22486400000343565, 0.2594542000006186, 0.3207814000052167, 0.23717570000735577, 2.040748599989456, 0.2006284999952186, 0.2120683000102872, 0.3207255000015721, 0.33214320000843145, 11.137785099999746, 0.15952269999252167, 0.1282513000041945, 60.278333599999314, 0.18604570000024978, 4.141944399991189, 0.3004472999891732, 0.2582393999909982, 0.2604457999987062, 0.2361568000051193, 0.16775350000534672, 0.25833029999921564, 0.2594242000050144, 0.45367149999947287, 0.14145019999705255, 0.23137059999862686, 8.361104399999022, 0.22992869999143295, 16.160512399990694, 12.923353199992562, 0.282387800005381, 0.3145191000076011)","(0.07210920000215992, 0.07494740000402089, 5.304649099998642, 0.12721180000517052, 0.09528570000838954, 0.061773099994752556, 0.6869888999935938, 0.1371013000025414, 0.148095700002159, 0.10564629999862518, 0.14729169999191072, 0.08133689999522176, 0.08589800000481773, 0.1817536000016844, 0.22268740000436082, 0.18156230000022333, 0.08322339999722317, 0.015047599998069927, 0.06030270000337623, 0.08557199999631848, 0.14471239999693353, 0.12344619999930728, 0.0886878000019351, 1.2355686999944737, 0.090057399997022, 0.14032799999404233, 0.08198190000257455, 0.12862129999848548, 6.441098800001782, 0.039460300002247095, 0.03245430000242777, 0.1995387000060873, 0.0727414000139106, 8.511352199988323, 0.496881700004451, 0.16808689999743365, 0.0983222999930149, 0.11345929998788051, 0.06527839999762364, 0.2212629999994533, 0.14614750001055654, 0.3272956000000704, 0.049031400005333126, 0.17079040000680834, 7.022760899999412, 0.10261189998709597, 5.241740799989202, 7.1921640999935335, 0.01874510000925511, 0.36469199998828117)","(5, 8, 688, 7, 7, 5, 91, 12, 8, 4, 8, 4, 8, 7, 8, 14, 7, 4, 4, 5, 10, 6, 4, 165, 5, 10, 7, 7, 948, 5, 4, 7, 7, 967, 58, 8, 5, 4, 5, 25, 9, 34, 4, 10, 989, 6, 906, 996, 4, 61)"
base domain - no repair,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 7, 7, 8, 8]",-1,"(0.24099420000857208, 0.1580388000002131, 0.239847999997437, 0.15348700000322424, 0.16132670000661165, 0.16441730000951793, 0.15141249999578577, 0.15269090000947472, 0.15730839999741875, 0.15612610000243876, 0.16717259999131784, 0.16431500000180677, 0.15969410000252537, 0.1490672999934759, 0.1678847000002861, 0.16371710000385065, 0.1504988999950001, 0.17248349999135826, 0.16426569999021012, 0.1749541000026511, 0.16032880000420846, 0.17156509999767877, 0.17317300000286195, 0.16102640000462998, 0.16236339999886695, 0.14911030000075698, 0.14556929998798296, 0.19059569999808446, 0.15338580000388902, 0.1543870000023162, 0.15095219999784604, 0.147498699996504, 0.14821699999447446, 0.14292589999968186, 0.13839560000633355, 0.15169250000326429, 0.16181669999787118, 0.1498258000065107, 0.14643890000297688, 0.1500194999971427, 0.14484800001082476, 0.14978639999753796, 0.15865529999427963, 0.2563732999988133, 0.2379817000037292, 0.16414080001413822, 0.1411965000006603, 0.151437900000019, 0.16165310000360478, 0.16071919999376405)","(0.055620400002226233, 0.10151319998840336, 0.08586520000244491, 0.12172740000823978, 0.11951659999613184, 0.04307600000174716, 0.14105409999319818, 0.15522470000723843, 0.12418240000260994, 0.09931720000167843, 0.12031199999910314, 0.09352929999295156, 0.09399809999740683, 0.15928959999291692, 0.18159550000564195, 0.08888450000085868, 0.06409349999739788, 0.09337740000046324, 0.061714600000414066, 0.08006279999972321, 0.1416832999966573, 0.15108779999718536, 0.07950279999931809, 0.0843699000106426, 0.08629229999496602, 0.19938639999600127, 0.06826679999358021, 0.15406450000591576, 0.04495009999664035, 0.13692200000514276, 0.11656290000246372, 0.18163019999337848, 0.08880049998697359, 0.07222759998694528, 0.06139310001162812, 0.15830219999770634, 0.0813170000037644, 0.1292400000093039, 0.05543449999822769, 0.09439879999263212, 0.1680488999991212, 0.07233970001107082, 0.05728509998880327, 0.17097259999718517, 0.04476710000017192, 0.10396639999817125, 0.09223239999846555, 0.06473580001329537, 0.0769259999942733, 0.05181419999280479)","(4, 7, 7, 6, 5, 4, 4, 8, 6, 4, 5, 4, 6, 4, 6, 4, 5, 4, 4, 4, 8, 4, 4, 6, 4, 8, 6, 5, 4, 4, 4, 7, 4, 4, 5, 7, 4, 4, 4, 8, 7, 4, 4, 7, 4, 4, 8, 4, 4, 4)"
all monomials repair,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 4, 5, 5, 6, 6, 7, 7, 7, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 9, 10, 11, 12, 13, 14, 14, 14, 14, 14, 14, 14, 14, 14]",-1,"(0.14946939999936149, 0.16618709999602288, 0.18036169999686535, 0.14593320000858512, 0.15525750000961125, 0.21900989999994636, 0.16596769999887329, 0.1947708999941824, 0.16870720000588335, 0.16762500000186265, 0.16989010000543203, 0.35964990001230035, 0.3039728000003379, 0.3116890999954194, 0.32195599999977276, 1.3998938000004273, 0.6095290000084788, 0.36561839999922086, 0.3214709000021685, 0.26855690000229515, 0.44559299999673385, 0.3039547000080347, 1.8970861000125296, 0.44595229999686126, 0.2878665999887744, 22.76809179999691, 0.2819482000049902, 0.2949439999938477, 0.26700439999694936, 0.3001588999904925, 0.29404719999001827, 0.301512999998522, 0.38442400000349153, 0.46166549999907147, 0.26773680000042077, 0.25538859999505803, 0.28683519999322016, 0.25460410000232514, 0.3000317999976687, 0.3808881000004476, 0.34661429999687243, 0.4857212999922922, 0.314219799998682, 0.3130386999982875, 0.2932096000004094, 0.3730020999937551, 0.315717700010282, 0.2829322999896249, 0.27247080000233836, 0.38122419999854174)","(0.14141110000491608, 0.16015630000038072, 0.1317196000018157, 0.13481210000463761, 0.13793350000923965, 0.0658493999944767, 0.1672203000052832, 0.21835540000756737, 0.19161899999016896, 0.12901280001096893, 0.12977119999413844, 0.13251219999801833, 0.1471694999927422, 0.21179650000703987, 0.4252260999928694, 0.8058970999991288, 0.3031730999937281, 0.1713506999949459, 0.12009899999247864, 0.36905869998736307, 0.43524960000650026, 0.2689894000068307, 0.9156234999973094, 0.2497062000038568, 0.13269709999440238, 0.5335217999963788, 0.11476340000808705, 0.18161280000640545, 0.11248390001128428, 0.20268149999901652, 0.21936560000176542, 0.29959900000540074, 0.7050373000092804, 0.1529286000004504, 0.10851389999152161, 0.2714694000023883, 0.2165244000061648, 0.1656242999888491, 0.1925514999893494, 0.9518435000063619, 0.4827043999976013, 0.6509400999930222, 0.16665119999379385, 0.2292823000025237, 0.11455930001102388, 0.22813550000137184, 0.30036480000126176, 0.09383539999544155, 0.18334609999146778, 0.09493260001181625)","(4, 8, 7, 6, 5, 4, 4, 8, 5, 4, 5, 4, 6, 4, 6, 19, 8, 7, 5, 8, 12, 6, 30, 11, 4, 16, 6, 5, 5, 5, 5, 7, 36, 5, 5, 7, 6, 7, 8, 49, 24, 23, 5, 7, 4, 5, 11, 4, 4, 4)"
adaptive repair base,"[0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 4, 5, 5, 5, 6, 7, 8, 8, 8, 9, 9, 10, 10, 11, 12, 12, 12, 13, 13, 14, 14, 14, 14, 15, 16, 17, 18, 19, 19, 20, 21, 21, 22, 22, 22, 23, 24]",-1,"(0.25933509999595117, 0.24272359999304172, 0.24511569998867344, 0.2519698999967659, 0.40705439999874216, 0.2844433999998728, 0.29350309999426827, 0.2558313000045018, 0.1954046000028029, 0.21488379999937024, 0.2248064000013983, 0.2174040999962017, 0.20249559999501798, 0.21171960000356194, 0.21833419999165926, 0.18747970000549685, 0.20673320000059903, 0.13982470000337344, 0.09439429998747073, 0.11161959999299143, 0.08247280000068713, 0.07508969999616966, 0.23088909999933094, 0.09475590000511147, 0.09733560000313446, 0.07853590000013355, 0.08338120000553317, 0.08876630000304431, 0.07022839999990538, 0.08256589999655262, 0.1007240000035381, 0.10593589999189135, 0.08550489999470301, 0.07499470000038855, 0.06992779999563936, 0.08126720000291243, 0.07579180000175256, 0.09062989999074489, 0.08079079999879468, 0.22206260000530165, 0.3344478000071831, 0.7120408000046154, 0.43382420000853017, 3.180745100005879, 0.5989750000007916, 0.1251680999994278, 0.07139850000385195, 0.3235067999921739, 0.48950919999333564, 1.42015080001147)","(0.11664019999443553, 0.2634754000027897, 0.18035570000938606, 0.18561790000239853, 0.210548100003507, 0.22066679999988992, 0.37426260000211187, 0.29089679999742657, 0.11957759999495465, 0.08090020000236109, 0.20946600000024773, 0.08970520000730176, 0.14301780000096187, 0.17589040000166278, 0.144491700004437, 0.09222180000506341, 0.10698229999979958, 0.08835569999064319, 0.03754800000751857, 0.054860000003827736, 0.09478869999293238, 0.05333059999975376, 0.2394990000029793, 0.05868019998888485, 0.1521562999987509, 0.09102649999840651, 0.048129400005564094, 0.14316709998820443, 0.027153299990459345, 0.04759149999881629, 0.15142480000213254, 0.134213199999067, 0.1644596999976784, 0.034099299999070354, 0.02391139999963343, 0.059713300011935644, 0.06593820000125561, 0.06565530000079889, 0.10504589999618474, 1.7246183000097517, 4.528766000003088, 6.701888700001291, 6.2031076999992365, 8.797200999993947, 4.270182699998259, 0.18319950001023244, 0.11198520001198631, 1.6367347999912454, 5.269382800004678, 2.608674700008123)","(4, 9, 7, 6, 7, 12, 8, 8, 6, 4, 17, 4, 8, 8, 11, 4, 5, 4, 4, 6, 11, 4, 43, 11, 27, 10, 7, 26, 5, 4, 21, 19, 25, 4, 5, 7, 6, 5, 21, 382, 454, 997, 995, 870, 887, 17, 17, 412, 551, 285)"
adaptive repair + support for signature change,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 5, 6, 7, 8, 8, 8, 8, 8, 8, 8, 8, 9, 10]",49,"(0.07574809998914134, 0.07954970000719186, 0.06788800000504125, 0.07554609999351669, 0.06372459999693092, 0.06500560000131372, 0.0729159000038635, 0.07422789999691304, 0.07147600001189858, 0.08259109999926295, 0.08032100000127684, 0.0882934999972349, 0.11673049999808427, 0.10944290000770707, 0.08885420000297017, 0.1779411000024993, 0.07274160000088159, 0.9416962999966927, 0.10153770000033546, 0.12548829999286681, 0.09250379999866709, 0.07727290000184439, 0.11396750000130851, 0.09591659999568947, 0.0774539999983972, 0.06628410000121221, 0.06437389999337029, 0.06642350000038277, 0.07252829999197274, 0.07768149999901652, 0.06701980000070762, 0.07352230000833515, 0.08362499999930151, 0.08101389999501407, 0.06663460000709165, 0.10585639999771956, 0.0763678999937838, 0.07382100001268554, 0.08940939999592956, 0.08860259999346454, 0.2513363999896683, 0.6658792999951402, 0.0731833000027109, 0.06912319999537431, 0.07473609999578912, 0.06940000000759028, 3.6113643999997294, 0.06536379999306519, 0.0706934000045294, 0.09555929999623913)","(0.02750769999693148, 0.04769879998639226, 0.029595700005302206, 0.04272589999891352, 0.03782119999232236, 0.019422700002905913, 0.03939949999039527, 0.05150679999496788, 0.06744320000871085, 0.04438359999039676, 0.04203569999663159, 0.03735679999226704, 0.03180229999998119, 0.0562359000032302, 0.08040470001287758, 0.040072799994959496, 0.026879700002609752, 0.043140599998878315, 0.04198490000271704, 0.032847900001797825, 0.04484639999282081, 0.04531910001242068, 0.05029709999507759, 0.10701529998914339, 0.027135999989695847, 0.05615829999442212, 0.01725750000332482, 0.042235999993863516, 0.029195399998570792, 0.05423589999554679, 0.03421739999612328, 0.06855680000444409, 0.17832249999628402, 0.02652739999757614, 0.0212286000023596, 0.30762540000432637, 0.030490099990856834, 0.05650869999954011, 0.032233999998425134, 0.059707199994591065, 0.10706850000133272, 0.03912669999408536, 0.028100499999709427, 0.04667630000039935, 0.018365299998549744, 0.03122099999745842, 1.9646725999919, 0.019383799997740425, 0.026028600012068637, 0.20629859999462496)","(4, 9, 7, 6, 5, 4, 4, 8, 8, 4, 5, 4, 4, 4, 6, 4, 5, 7, 4, 4, 5, 4, 4, 46, 4, 8, 4, 5, 6, 8, 4, 7, 20, 4, 5, 70, 4, 8, 5, 13, 19, 6, 4, 7, 4, 4, 738, 4, 4, 61)"
adaptive repair + support for signature change with milp,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]",-1,"(0.06604999999399297, 0.06610260000161361, 0.08017869999457616, 0.07508759999473114, 0.10935329999483656, 0.1042161999939708, 0.07343089999631047, 0.08372609999787528, 0.0836161000042921, 0.06692310000653379, 0.06675290000566747, 0.44319000000541564, 0.0636238000006415, 0.09284679999109358, 0.10164660000009462, 0.10547249999945052, 0.07220500000403263, 0.07770880000316538, 0.06995640000968706, 0.08270050000282936, 0.08736340000177734, 0.10545199998887256, 0.07660510001005605, 0.46213499999430496, 0.0748911999980919, 0.07520920000388287, 0.06613589999324176, 0.0853969000017969, 2.3187604999984615, 0.0822591000032844, 0.09398499999952037, 0.07265230000484735, 0.07292590000724886, 0.9065906000032555, 0.09855889999016654, 0.08504419999371748, 0.09210239999811165, 0.08498450000479352, 0.0715689999924507, 0.08816339999611955, 0.093452500004787, 0.13928810000652447, 0.06771679999656044, 0.07874430000083521, 1.976989600007073, 0.07911039999453351, 3.599248300000909, 2.926199199995608, 0.08972370000265073, 0.09758329999749549)","(0.02076390000001993, 0.042208700004266575, 0.026928199993562885, 0.03723909999825992, 0.082800700009102, 0.05194659999688156, 0.05223600000317674, 0.06017969999811612, 0.08618290000595152, 0.03574379999190569, 0.03745770000386983, 0.06722009999793954, 91.41524760000175, 0.05031940000480972, 0.05862369999522343, 0.05337439999857452, 0.030722900002729148, 0.01374270000087563, 0.02067440000246279, 0.029446600005030632, 0.07997349998913705, 0.045310300003620796, 0.02725250000366941, 0.48994120000861585, 0.02862299999105744, 0.06111049999890383, 0.02531670000462327, 0.05185229999187868, 3.118978900005459, 0.04032030000234954, 0.03253749999566935, 0.05457369999203365, 0.041945899996790104, 4.768361299997196, 0.17626419999578502, 0.05231699999421835, 0.03419049999502022, 0.03681599999254104, 0.021381600003223866, 0.09299520000058692, 0.06050379999214783, 0.16510230000130832, 0.02367910000612028, 0.056423000001814216, 3.0431887000013376, 0.035821700002998114, 2.5219639999995707, 3.4662948999903165, 0.013092900000629015, 0.1855725000059465)","(4, 8, 6, 6, 13, 16, 6, 10, 12, 4, 5, 12, 6, 7, 8, 14, 7, 4, 4, 5, 10, 6, 4, 165, 5, 10, 7, 7, 948, 5, 4, 7, 7, 967, 58, 8, 5, 4, 5, 25, 9, 34, 4, 10, 989, 6, 906, 996, 4, 61)"
