Label,Score,Learned Model ID,planing time,execute & repair time,Plan Length
oracle,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]",-1,"(8.33399690000806, 0.14695579999533948, 0.18134039999858942, 0.21863399998983368, 0.19954700001107994, 0.2513092000008328, 0.15633410000009462, 0.19171420000202488, 0.31078650000563357, 0.14571280000382103, 60.25718159999815, 0.19575250000343658, 40.64191269999719, 0.17558999999891967, 0.20451920000778046, 0.2574883999914164, 0.18964450000203215, 48.48758899999666, 0.4418904000049224, 0.16550050000660121, 0.18731609999667853, 31.778381900003296, 0.23813800000061747, 0.2439957000024151, 0.2234292000066489, 0.2256556000065757, 2.3566720000089845, 0.17561619999469258, 0.16122880000330042, 0.28617800000938587, 0.16094499999599066, 0.4330842999916058, 0.47239920000720304, 0.13434419999248348, 0.20493230001011398, 0.4487687999935588, 60.22164720000001, 0.2381046999944374, 0.2569260000018403, 8.724101800005883, 0.14449880000029225, 9.486357500005397, 0.15115950000472367, 0.2821396000072127, 1.0364465000020573, 1.7411235999898054, 0.15341559999797028, 0.18657740000344347, 0.27221239999926183, 0.2524603999918327)","(0.5350734000094235, 0.01655669999308884, 0.09969770000316203, 0.1483723999990616, 0.09935289999702945, 0.10669610000331886, 0.1132344999932684, 0.062196500002755783, 0.011880599995492958, 0.10355800000252202, 0.06449859999702312, 0.14496869999857154, 0.44426360000215936, 0.04460860000108369, 0.14022260000638198, 0.09338539998861961, 0.09417020001274068, 1.2625243999937084, 0.13959790000808425, 0.08062380000774283, 0.1465297999966424, 0.7514988000039011, 0.19922150000638794, 0.1044160000019474, 0.11748549999902025, 0.09939189998840448, 0.18803910000133328, 0.016064499999629334, 0.12519840001186822, 0.013249700001324527, 0.12308760000451002, 0.10920920000353362, 0.27313929999945685, 0.017072999995434657, 0.06702020000375342, 0.18138379999436438, 0.12522729999909643, 0.13101800000004005, 0.12018290000560228, 0.25621989999490324, 0.08352850000665057, 0.8301925000123447, 0.08950600000389386, 0.16096109998761676, 0.15269760000228416, 0.313916800005245, 0.10236319999967236, 0.1234355000051437, 0.20108350001100916, 0.10482049999700394)","(94, 4, 4, 10, 11, 4, 15, 6, 4, 10, 7, 4, 44, 4, 9, 4, 4, 178, 7, 4, 13, 74, 9, 7, 18, 9, 43, 4, 10, 4, 4, 15, 18, 4, 6, 26, 4, 7, 4, 36, 12, 57, 5, 9, 23, 57, 6, 10, 8, 4)"
base domain - no repair,"[0, 0, 1, 2, 2, 2, 3, 3, 3, 4, 4, 4, 4, 4, 5, 5, 6, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8, 8]",-1,"(0.13326370000140741, 0.1631688000052236, 0.13861740000720602, 0.12678249999589752, 0.12112179999530781, 0.13413080001191702, 0.09990889999608044, 0.14628929999889806, 0.08952179999323562, 0.12218350000330247, 0.11436029999458697, 0.15591790000326, 0.12203230000159238, 0.1527252999949269, 0.11511470000550617, 0.14138259999162983, 0.13554030000523198, 0.13367580001067836, 0.12326689998735674, 0.1321967000112636, 0.11374040000373498, 0.11158969999814872, 0.109052799991332, 0.14083849999587983, 0.12988239999685902, 0.12225159999798052, 0.11898450000444427, 0.1246575999975903, 0.1280752000020584, 0.13582719999249093, 0.18006070000410546, 0.14241600000241306, 0.12320899999758694, 0.19283609998819884, 0.1351449999929173, 0.10676029999740422, 0.11353070000768639, 0.10002559999702498, 0.1013676000002306, 0.1370116999896709, 0.13088660000357777, 0.10116239999479149, 0.11263429999235086, 0.1051688000006834, 0.10337189999700058, 0.1378339000075357, 0.11293950000253972, 0.1165093000017805, 0.11257340000884142, 0.1341548999916995)","(0.09647239999321755, 0.02800260001095012, 0.018921399998362176, 0.1457959999970626, 0.2516352999955416, 0.14420850000169594, 0.14275009999983013, 0.13590639999893028, 0.028916200011735782, 0.12155679998977575, 0.08013560000108555, 0.11942930000077467, 0.14865129999816418, 0.07150609999371227, 0.2218635000026552, 0.019518200002494268, 0.01841920000151731, 0.07664980000117794, 0.15190169999550562, 0.12906310000107624, 0.12821660000190604, 0.14630189999297727, 0.2018506000022171, 0.13069040000846144, 0.07960080000339076, 0.21677539999654982, 0.10825299999851268, 0.018881099997088313, 0.10678589998860843, 0.17169960000319406, 0.2652761999925133, 0.08978460000071209, 0.44407689999206923, 0.08729150000726804, 0.1048943999921903, 0.057669100002385676, 0.10970660000748467, 0.1464653000002727, 0.16379029999370687, 0.1271409000037238, 0.10768250000546686, 0.19115009999950416, 0.042770100000780076, 0.10051469999598339, 0.08517539998865686, 0.09088430000701919, 0.11897470000258181, 0.13034530000004452, 0.16520389998913743, 0.17646539999987)","(4, 4, 4, 6, 8, 4, 8, 4, 4, 8, 6, 4, 4, 4, 7, 4, 4, 5, 4, 4, 6, 4, 7, 4, 4, 7, 6, 4, 8, 4, 4, 4, 8, 4, 4, 4, 4, 4, 4, 6, 7, 8, 4, 4, 4, 4, 4, 6, 5, 4)"
all monomials repair,"[0, 0, 1, 2, 2, 3, 3, 3, 3, 4, 5, 5, 6, 6, 6, 6, 7, 8, 8, 8, 8, 8, 8, 9, 9, 9, 10, 10, 11, 12, 12, 13, 14, 15, 16, 16, 17, 17, 17, 17, 17, 17, 17, 17, 17, 18, 18, 18, 18, 18, 18]",-1,"(0.10954119999951217, 0.16657240000495221, 0.11930010000651237, 0.13940480000746902, 0.364946499990765, 0.12142969999695197, 0.12767100000928622, 0.21510040000430308, 0.12395599999581464, 0.3765060000005178, 0.20070610000402667, 0.14803059998666868, 0.11262079999141861, 1.1313407999987248, 0.13168649999715853, 37.08856869999727, 0.1467586999933701, 0.2964193000079831, 0.14483049999398645, 0.14021060000231955, 0.12790579999273177, 0.18119239999214187, 0.18061999999918044, 0.11993879999499768, 0.10988979999092408, 0.1311930000083521, 0.12881340000603814, 0.13592650000646245, 0.16900009999517351, 0.12098170000535902, 0.13961810000182595, 0.5343295000056969, 1.917092000003322, 5.428517899999861, 0.12510740000288934, 0.13421930000185966, 0.10960129999148194, 0.1786120999895502, 0.127873899997212, 0.1861477000056766, 0.24163319999934174, 0.11755549999361392, 0.11068900000827853, 0.11304119999113027, 0.48065699999278877, 0.9837982999888482, 0.13057019999541808, 0.16433470000629313, 0.19372840000141878, 0.15689549999660812)","(0.12477429999853484, 0.08020209999813233, 0.10107740000239573, 0.15974700001243036, 0.4070080999954371, 0.17537700000684708, 0.2232302000047639, 0.15191289999347646, 0.08764319999318104, 0.7601311999897007, 0.34644209999532904, 0.22113740000349935, 0.0976951999909943, 0.8581965000048513, 0.20035680000728462, 0.6896768000005977, 0.13248190000012983, 0.6211767000058899, 0.20846720000554342, 0.18761879998783115, 0.15972739999415353, 0.30089050000242423, 0.28599439999379683, 0.11974420001206454, 0.10442730000067968, 0.3051368000014918, 0.1799585999979172, 0.1635017000080552, 0.2289778000122169, 0.14067890000296757, 0.0967199000006076, 0.7963826999912271, 1.208773399994243, 0.837907000008272, 0.1149578000040492, 0.1484892000007676, 0.1234818999946583, 0.18790829999488778, 0.21546230000967626, 0.15295050000713672, 0.18722780000825878, 0.184170799999265, 0.08975650000502355, 0.12515880000137258, 0.5396257999964291, 1.5498929000023054, 0.14952269999776036, 0.1956244000029983, 0.26724979998834897, 0.19528070000524167)","(4, 4, 4, 9, 22, 4, 9, 5, 4, 65, 15, 5, 4, 88, 7, 60, 7, 35, 4, 4, 7, 12, 11, 4, 4, 10, 9, 4, 13, 4, 4, 57, 85, 85, 4, 4, 4, 7, 4, 6, 10, 8, 4, 4, 48, 80, 4, 7, 6, 4)"
adaptive repair base,"[0, 0, 1, 2, 2, 2, 3, 4, 5, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 8, 8, 9, 9, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 10, 11]",-1,"(0.12849540000024717, 0.1415634000004502, 0.12859069999831263, 0.11252239999885205, 0.14608569999109022, 8.389116200007265, 0.15048640000168234, 2.910037999987253, 1.7720274000021163, 0.2099127999972552, 0.1224522000120487, 0.14483750000363216, 0.7458645000006072, 1.1044579000008525, 43.703335199999856, 0.21520549998967908, 0.12584069999866188, 0.11922000000777189, 0.13130939999246038, 0.12764530000276864, 0.11404749999928754, 0.1264631000085501, 0.12866719999874476, 0.169326799994451, 0.14090689999284223, 0.13422449999779928, 0.13361340000119526, 0.1171667000016896, 0.19420300000638235, 0.13857689998985734, 0.1422271999908844, 0.15847279998706654, 0.16237410000758246, 0.13280140000279061, 0.11276340000040364, 0.13908599999558646, 0.16446990000258666, 0.10553120000986382, 0.1438966999994591, 0.1680826999945566, 0.14378479999140836, 0.1340965999988839, 0.12424919998738915, 0.13544610000099055, 0.11282290000235662, 0.10727639999822713, 0.11456180000095628, 0.1139236000017263, 0.1319826999970246, 0.07124219999241177)","(0.09795429999940097, 0.07795779999287333, 0.09742210000695195, 0.15202890000364278, 0.2566794000013033, 0.6998296000092523, 0.4545522999978857, 0.9136768000025768, 0.6721075999957975, 0.30397560000710655, 0.17222979999496602, 0.1665402000071481, 3.2740646000020206, 7.264604600000894, 12.240606999999727, 0.15234719999716617, 0.1604659000004176, 0.0858456000132719, 0.13247789999877568, 0.27885089999472257, 0.12527789999148808, 0.13583539999672212, 0.2886595000018133, 0.18134389999613632, 0.1342707000003429, 0.25253120000706986, 0.151909499996691, 0.1631342000036966, 0.2271657000092091, 0.18030229999567382, 0.2394373999995878, 0.11109820001001935, 0.24437220000254456, 0.1629222000046866, 0.18091150000691414, 0.13769330001377966, 0.21480560000054538, 0.12581060000229627, 0.22568660000979435, 0.1203698000026634, 0.1640522000088822, 0.26726439999765716, 0.17613750000600703, 0.11961850000079721, 0.08967649999249261, 0.08634159999201074, 0.19541230000322685, 0.18470019999949727, 0.2223089000035543, 0.07445169999846257)","(4, 4, 4, 8, 11, 29, 19, 71, 31, 15, 6, 4, 203, 450, 997, 6, 4, 5, 4, 4, 5, 4, 8, 5, 4, 7, 6, 4, 10, 4, 4, 4, 9, 4, 4, 4, 4, 4, 4, 6, 8, 8, 4, 4, 4, 4, 4, 6, 5, 4)"
adaptive repair + support for signature change,"[0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]",5,"(0.0690257000096608, 0.07201139999961015, 0.10937969999213237, 0.12174070000764914, 0.1555475000059232, 0.1349420999904396, 0.09037229999375995, 0.10564389999490231, 0.135487200008356, 0.08797510000295006, 0.11355429999821354, 0.1823045000055572, 25.04128459999629, 0.08235090000380296, 0.10687599999073427, 0.141940200002864, 0.0976397999911569, 42.819522600009805, 0.2620788000058383, 0.15700390000711195, 0.15404720000515226, 30.769436200003838, 0.22081389999948442, 0.2330705000058515, 0.19449259999964852, 0.21623629999521654, 2.7784385999984806, 0.11378440000407863, 0.13482150000345428, 0.20692169999529142, 0.1830926999973599, 0.5559161999990465, 0.36369589999958407, 0.1322556000086479, 0.15592029999243096, 0.39968569998745807, 0.12402859999565408, 0.2349069000047166, 0.27003960000001825, 6.707744800005457, 0.19904359999054577, 8.680139200005215, 0.1218972000060603, 0.2474060999957146, 1.1384238000027835, 1.6408931000041775, 0.26255010000022594, 0.3678665999905206, 0.28583290000096895, 0.20377279999956954)","(0.03145770000992343, 0.02972530000261031, 0.06830860000627581, 0.12603179999860004, 0.18183200000203215, 0.06414319999748841, 0.10852120000345167, 0.056312300002900884, 0.02950099999725353, 0.08389799999713432, 0.19077549999929033, 0.11982020000868943, 0.43308810000598896, 0.03528349999396596, 0.11453439999604598, 0.07860209999489598, 0.044021599998814054, 2.3248905000073137, 0.1997107000061078, 0.11551420000614598, 0.1922638999967603, 1.313158899996779, 0.2769750000006752, 0.16890660001081415, 0.2239661000057822, 0.26545639999676496, 0.49586789999739267, 0.056203300002380274, 0.17300670000258833, 0.09405529999639839, 0.18729699999676086, 0.21753850000095554, 0.312652499997057, 0.06610350000846665, 0.108021899999585, 0.4323574000009103, 0.11663940000289585, 0.1788444999983767, 0.13983499999449123, 0.805220600013854, 0.24723490000178572, 0.8952224999957252, 0.12083790000178851, 0.1652540999930352, 0.2666237999947043, 0.9827871000015875, 0.2557807999983197, 0.24591149999469053, 0.26648459999705665, 0.18015590000140946)","(4, 4, 4, 11, 11, 4, 15, 6, 4, 10, 6, 4, 44, 4, 9, 4, 4, 178, 7, 4, 13, 74, 9, 7, 18, 9, 43, 4, 10, 4, 4, 15, 18, 4, 6, 26, 4, 7, 4, 36, 12, 57, 5, 9, 23, 57, 6, 10, 8, 4)"
