Label,Score,Learned Model ID,planing time,execute & repair time,Plan Length
oracle,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",-1,"(0.19336810000095284, 0.12835590000031516, 0.13573819999874104, 0.08271919999970123, 0.0947805999967386, 0.34811959999933606, 60.24835300000268, 0.1099711999995634, 0.07719939999515191, 0.09917979999590898, 0.12788610000279732, 0.21638659999734955, 0.15934939999715425, 0.12488329999905545, 0.3297056999945198, 60.26990249999653, 0.14271020000160206, 0.07376719999592751, 0.24143159999948693, 0.12366669999755686, 0.3042617999963113, 0.07028600000194274, 60.26888170000166, 0.16589019999810262, 0.11687520000123186, 0.8775699000034365, 0.13791689999925438, 0.09681290000298759, 0.25430880000203615, 1.5368398999999044, 0.07595399999991059, 0.09494080000149552, 0.12375859999883687, 0.08876429999509128, 0.303789700003108, 0.1353709000031813, 0.09638479999557603, 17.692910399993707, 0.2907009999980801, 0.30524960000184365, 0.08409319999918807, 0.07309190000523813, 0.08502389999921434, 2.416578700001992, 0.0808071000064956, 0.11542080000072019, 0.1658300999988569, 2.391334399995685, 0.09893749999901047, 1.4519972999987658)","(0.019382999998924788, 0.026080400006321725, 0.014837499998975545, 0.013052200003585313, 0.018132699995476287, 0.010783099998661783, 0.011835299999802373, 0.02084869999816874, 0.017304799999692477, 0.01169829999707872, 0.014910099998814985, 0.010595899999316316, 0.014045399999304209, 0.021505200005776715, 0.01912360000278568, 0.014685900001495611, 0.022444099995482247, 0.009455999999772757, 0.010148800000024494, 0.02006670000264421, 0.014562099997419864, 0.0070323000036296435, 0.014360300003318116, 0.020186999994621146, 0.014541300006385427, 0.011478800006443635, 0.011815899997600354, 0.013792100005957764, 0.023987699998542666, 0.025136900003417395, 0.011730999998690095, 0.017962600002647378, 0.016381499997805804, 0.01984719999745721, 0.01514129999850411, 0.006528900004923344, 0.02200029999949038, 0.016010899998946115, 0.019833400001516566, 0.00919889999931911, 0.011484099995868746, 0.01368229999934556, 0.007182500005001202, 0.013847899994289037, 0.013140499999281019, 0.016484500003571156, 0.02193229999829782, 0.014158199999656063, 0.022228399997402448, 0.01679359999980079)","(25, 37, 25, 24, 25, 21, 25, 36, 25, 24, 26, 19, 27, 37, 37, 25, 32, 14, 21, 26, 29, 14, 25, 35, 27, 22, 24, 24, 40, 42, 24, 30, 27, 30, 29, 14, 31, 26, 37, 19, 24, 25, 14, 25, 25, 29, 37, 27, 37, 26)"
base domain - no repair,"[0, 0, 0, 0, 1, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 5, 5, 5, 6, 7, 8, 8, 8, 9, 9, 10, 10, 10, 10, 11, 11, 11, 12, 13, 13, 14, 14, 14, 14, 15, 16, 16, 16, 16, 16, 17, 17, 18]",-1,"(0.08299720000650268, 0.09054610000021057, 0.10090700000000652, 0.07646160000149393, 0.08070920000318438, 0.07954139999492327, 0.10294749999593478, 0.08594580000499263, 0.10472300000401447, 0.08989009999640984, 0.08006449999811593, 0.07271149999724003, 0.08472189999883994, 0.09924129999853903, 0.07559860000037588, 0.08735440000600647, 0.08223430000361986, 0.07441709999693558, 0.0756626000002143, 0.07409590000315802, 0.09177189999900293, 0.07640369999717223, 0.09157299999787938, 0.09089950000634417, 0.08848930000385735, 0.07934940000268398, 0.08848199999920325, 0.09214100000099279, 0.09190429999580374, 0.08587170000100741, 0.08257540000340668, 0.0806455999991158, 0.07438710000133142, 0.07984099999885075, 0.10146139999415027, 0.07194879999588011, 0.08638680000149179, 0.09369380000134697, 0.0768023999989964, 0.0749772999988636, 0.08528630000364501, 0.08348530000512255, 0.07193860000552377, 0.0952564999970491, 0.08434280000074068, 0.07648820000031264, 0.08023179999872809, 0.08546190000197385, 0.08965460000035819, 0.08885849999933271)","(0.012367000002996065, 0.03690949999872828, 0.018633899999258574, 0.01641109999764012, 0.013818899999023415, 0.014342000002216082, 0.0128162999972119, 0.03281450000213226, 0.02800779999961378, 0.02164789999369532, 0.015178400004515424, 0.011518299994349945, 0.022604899997531902, 0.03320710000116378, 0.021464400000695605, 0.014472900002147071, 0.01606720000563655, 0.007102899995516054, 0.010216399998171255, 0.014981799999077339, 0.013981299998704344, 0.006998099997872487, 0.01273129999754019, 0.03371580000384711, 0.023790100000042003, 0.012910900004499126, 0.017235799998161383, 0.017588199996680487, 0.032482900001923554, 0.03507949999766424, 0.02395770000293851, 0.017902800005686004, 0.013941899997007567, 0.028043300000717863, 0.014039100002264604, 0.006134900002507493, 0.028846000001067296, 0.013074799993773922, 0.02225719999842113, 0.007904999998572748, 0.019264800001110416, 0.01325850000284845, 0.007310200002393685, 0.019034800003282726, 0.014349500001117121, 0.018031899999186862, 0.034050999995088205, 0.02103200000419747, 0.030412199994316325, 0.01667499999894062)","(19, 35, 24, 24, 25, 18, 27, 35, 31, 24, 23, 14, 26, 35, 25, 26, 25, 14, 13, 23, 27, 14, 27, 35, 26, 22, 24, 24, 35, 34, 26, 30, 24, 32, 27, 14, 32, 23, 25, 13, 24, 25, 14, 25, 24, 24, 34, 26, 35, 26)"
all monomials repair,"[0, 0, 1, 1, 2, 3, 3, 3, 4, 5, 6, 6, 7, 8, 9, 9, 10, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43]",-1,"(0.07888980000279844, 0.10734310000407277, 0.08927579999726731, 0.08898350000526989, 0.07744549999915762, 0.07942449999973178, 0.08534769999823766, 0.3621791000041412, 0.11685840000427561, 0.08564910000131931, 0.09546499999851221, 0.6304375999970944, 0.1487970999951358, 0.11280619999888586, 0.14470649999566376, 0.08759160000045085, 0.1350529000046663, 0.077922700002091, 0.30986080000002403, 0.15941729999758536, 0.28839520000474295, 0.07689309999841498, 0.09240220000356203, 0.1432459999996354, 0.10057830000005197, 0.8758021000030567, 0.12777649999770802, 0.07636970000021392, 0.23716029999923194, 1.8183822999999393, 0.07902119999926072, 0.08044539999536937, 0.11680739999428624, 0.07804270000633551, 0.31307319999905303, 0.13693720000446774, 0.07930889999988722, 21.288591599994106, 0.34250739999697544, 0.33482399999775225, 0.0871534000034444, 0.07640639999590348, 0.08020899999974063, 3.001526300002297, 0.08512409999821102, 0.11024249999900348, 0.155413899999985, 2.572379600002023, 0.10457440000027418, 1.5059477999966475)","(0.04139269999723183, 0.13611690000107046, 0.05024299999786308, 0.10530819999985397, 0.09871969999949215, 0.04471460000058869, 0.0823485000000801, 0.1862390000023879, 0.13818519999767886, 0.13455960000283085, 0.1208866000015405, 0.10952759999781847, 0.15563409999595024, 0.21431269999447977, 0.19593929999973625, 0.13881870000477647, 0.2150374999982887, 0.08634909999818774, 0.130425399998785, 0.1752651999995578, 0.1868257000023732, 0.07886999999755062, 0.161096700001508, 0.2630639000053634, 0.1908118999999715, 0.15393200000107754, 0.1788592000011704, 0.18744989999686368, 0.32815280000068014, 0.3711974999969243, 0.20416129999648547, 0.25063999999838416, 0.2389712000003783, 0.2686537000045064, 0.2741967999972985, 0.12197000000014668, 0.28365349999512546, 0.2587106999999378, 0.3719760000021779, 0.18727779999608174, 0.24007880000135629, 0.24587240000255406, 0.13096260000020266, 0.2549832000004244, 0.2536562000022968, 0.33142490000318503, 0.430669500005024, 0.30081170000630664, 0.4434069000053569, 0.29328569999779575)","(19, 35, 24, 24, 25, 18, 17, 38, 25, 24, 23, 19, 27, 37, 32, 26, 32, 14, 21, 26, 29, 14, 27, 35, 27, 22, 24, 24, 40, 42, 24, 30, 27, 30, 29, 14, 31, 26, 37, 19, 24, 25, 14, 25, 25, 29, 37, 27, 37, 26)"
adaptive repair base,"[0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]",11,"(0.08256619999883696, 0.10966890000418061, 0.10398390000045765, 0.09376109999720939, 0.09177249999629566, 0.39883710000140127, 0.10354180000285851, 0.10500639999372652, 0.09374709999974584, 0.09089859999949113, 0.08874089999881107, 0.24149680000118678, 0.18032999999559252, 0.11255639999581035, 0.3654196999996202, 0.10649899999407353, 0.13985980000143172, 0.08789019999676384, 0.28836969999974826, 0.1379903999986709, 0.3700546000036411, 0.0831596999996691, 0.10440090000338387, 0.17580110000562854, 0.10774010000022827, 0.92205770000146, 0.12235009999858448, 0.08226139999896986, 0.25344480000057956, 1.6513808999952744, 0.08682949999638367, 0.08794270000362303, 0.1318057999960729, 0.08442279999871971, 0.3645445000001928, 0.13584489999630023, 0.08567179999954533, 18.811891400000604, 0.33227590000024065, 0.3684581999987131, 0.09217480000370415, 0.08411009999690577, 0.08491009999852395, 2.601261899995734, 0.09368650000396883, 0.11860310000338359, 0.17761269999755314, 2.507227599999169, 0.11470849999750499, 1.5994071999957669)","(0.044454100003349595, 0.14020439999876544, 0.10878860000229906, 0.07810610000160523, 0.08541610000247601, 0.08449069999915082, 0.14986299999873154, 0.13885509999818169, 0.09906860000046436, 0.09910479999962263, 0.11108950000198092, 0.0454840999955195, 0.08756960000027902, 0.1349430999980541, 0.11114819999784231, 0.17061090000061085, 0.13187509999988833, 0.04335700000228826, 0.05639610000071116, 0.08919420000165701, 0.09777350000513252, 0.04335539999738103, 0.1496545000045444, 0.1394270000018878, 0.08764170000358718, 0.06061770000087563, 0.06778360000316752, 0.07621249999647262, 0.14259540000057314, 0.15795699999580393, 0.07018979999702424, 0.10619199999928242, 0.08065879999776371, 0.10704729999997653, 0.0896716000061133, 0.033107099996414036, 0.10714770000049612, 0.08005560000310652, 0.11654450000060024, 0.04821049999736715, 0.06625029999850085, 0.07937619999574963, 0.03417459999764105, 0.07719210000504972, 0.07760710000002291, 0.0863822999963304, 0.1311070999945514, 0.0811872000049334, 0.14929750000010245, 0.08265399999800138)","(19, 35, 25, 24, 25, 20, 27, 36, 25, 24, 23, 19, 27, 37, 37, 26, 32, 14, 21, 26, 29, 14, 27, 35, 27, 22, 24, 24, 40, 42, 24, 30, 27, 30, 29, 14, 31, 26, 37, 19, 24, 25, 14, 25, 25, 29, 37, 27, 37, 26)"
adaptive repair + support for signature change,"[0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]",11,"(0.0869989999991958, 0.15284460000111721, 0.13161460000264924, 0.09134780000022147, 0.08421440000529401, 0.40030539999861503, 0.1039565999963088, 0.11330840000300668, 0.08035309999831952, 0.09368730000278447, 0.07963339999696473, 0.23846640000556363, 0.17498709999927087, 0.1122551000007661, 0.33204290000139736, 0.10110960000019986, 0.13619029999972554, 0.07864030000200728, 0.26249339999776566, 0.14202970000042114, 0.32051440000213915, 0.07465039999806322, 0.10960830000112765, 0.1709781000026851, 0.11530979999952251, 0.9478407999995397, 0.1097894999984419, 0.09016759999940405, 0.2704697000008309, 1.803742300005979, 0.08737610000389395, 0.09907949999615084, 0.14024529999733204, 0.08371690000058152, 0.3566839000050095, 0.14588930000172695, 0.08486699999775738, 18.468998999996984, 0.3009145999967586, 0.32215439999708906, 0.09040850000019418, 0.09569060000649188, 0.08099659999425057, 2.428822099995159, 0.0874035000015283, 0.109433400000853, 0.1720465000034892, 2.3175903000010294, 0.10307379999721888, 1.4254271000027074)","(0.045422399998642504, 0.17427199999656295, 0.13650220000272384, 0.0815262000032817, 0.09810410000500269, 0.09647250000125496, 0.148693800001638, 0.14231320000544656, 0.09951310000178637, 0.10545049999927869, 0.11397139999462524, 0.05603939999855356, 0.07671969999501016, 0.1295440999965649, 0.12566209999931743, 0.1383845000018482, 0.1033510000052047, 0.035216600001149345, 0.06130880000273464, 0.075138699998206, 0.07682780000322964, 0.03489579999586567, 0.1595896999933757, 0.13281439999991562, 0.10218910000548931, 0.06557339999562828, 0.08530969999992521, 0.08033620000060182, 0.16737309999734862, 0.15876079999725334, 0.07837100000324426, 0.12321459999657236, 0.10572930000489578, 0.11038270000426564, 0.08565909999742871, 0.03598059999785619, 0.10600999999587657, 0.07593479999923147, 0.11400629999843659, 0.043730500001402106, 0.057780499999353196, 0.06852790000266396, 0.034168999998655636, 0.06983039999613538, 0.06414109999604989, 0.07008049999421928, 0.12865310000051977, 0.07596909999847412, 0.12781929999619024, 0.08014530000218656)","(19, 35, 25, 24, 25, 20, 27, 36, 25, 24, 23, 19, 27, 37, 37, 26, 32, 14, 21, 26, 29, 14, 27, 35, 27, 22, 24, 24, 40, 42, 24, 30, 27, 30, 29, 14, 31, 26, 37, 19, 24, 25, 14, 25, 25, 29, 37, 27, 37, 26)"
