Label,Score,Learned Model ID,planing time,execute & repair time,Plan Length
oracle,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 18, 19, 20, 20, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 43, 44, 45, 46]",-1,"(0.06864050000149291, 0.06744860000617336, 0.073243699996965, 0.0737477999937255, 0.06566350000503007, 0.06889159999263939, 0.06934340001316741, 0.06859069998608902, 0.06835560000035912, 0.07207120000384748, 0.07178660000499804, 0.06739329999254551, 0.07411349999892991, 0.0697712999972282, 0.06998680000833701, 0.07259139999223407, 0.06644090000190772, 0.07164399999601301, 0.19419889998971485, 0.0714130000123987, 0.06755780000821687, 0.20679910000762902, 0.20919370000774506, 0.07036779999907594, 0.0675350000092294, 0.07070860000385437, 0.07195349999528844, 0.07063420000486076, 0.06921469999360852, 0.0726003000017954, 0.066866499997559, 0.06799989999854006, 0.07102770000346936, 0.06762630000594072, 0.07351750000088941, 0.07263109998893924, 0.06746749999001622, 0.06671299999288749, 0.07230780000099912, 0.0665543999930378, 0.06791460000385996, 0.07196709999698214, 0.06636450000223704, 0.07331540000450332, 0.07186199999705423, 0.06775889999698848, 0.19350579999445472, 0.07233460000134073, 0.06800840000505559, 0.071675300001516)","(0.0038589000032516196, 0.005858599994098768, 0.004484000004595146, 0.0039084000018192455, 0.0038337000005412847, 0.004296900006011128, 0.004151100001763552, 0.0036962000012863427, 0.004579599990393035, 0.003456299993558787, 0.0034784000017680228, 0.004934299999149516, 0.004358599995612167, 0.005051100000855513, 0.0037874999979976565, 0.003415400002268143, 0.003671600003144704, 0.0037837999989278615, 0.006306800001766533, 0.0034995000023627654, 0.0034488000092096627, 0.00611610000487417, 0.006294200007687323, 0.004584499998600222, 0.004903900000499561, 0.005298499992932193, 0.004335599995101802, 0.0036145999911241233, 0.005996699997922406, 0.004193100001430139, 0.0037447999930009246, 0.004399500001454726, 0.0036848000017926097, 0.00364030001219362, 0.0044867999968118966, 0.004012899997178465, 0.004116199997952208, 0.00449809999554418, 0.0036289999989094213, 0.0047230000054696575, 0.003882699995301664, 0.004051999989314936, 0.0038945000123931095, 0.0037643000105163082, 0.0041151999903377146, 0.0034180000075139105, 0.006067199996323325, 0.004351799987489358, 0.005810799993923865, 0.0038905999972485006)","(13, 13, 13, 13, 13, 15, 12, 13, 12, 12, 12, 16, 15, 12, 13, 12, 13, 12, 20, 12, 12, 20, 20, 16, 15, 12, 15, 12, 14, 14, 13, 14, 13, 13, 15, 14, 15, 13, 13, 15, 13, 13, 14, 12, 14, 12, 20, 14, 14, 12)"
base domain - no repair,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1,"(0.07131519999529701, 0.06869660000666045, 0.07101549999788404, 0.07596499999635853, 0.0674282999971183, 0.07045490000746213, 0.07210160000249743, 0.07043249999696855, 0.07421909998811316, 0.07091609999770299, 0.06969859999662731, 0.0713056999957189, 0.0713536999974167, 0.06593530000827741, 0.07035449999966659, 0.07000530000368599, 0.07177159999264404, 0.07046529999934137, 0.07127690000925213, 0.07051489999867044, 0.07037590000254568, 0.07237900000473019, 0.0687500999920303, 0.07167309999931604, 0.07569919999514241, 0.06858230000943877, 0.06947300001047552, 0.07235289999516681, 0.06930810000631027, 0.07158170000184327, 0.0721423000068171, 0.06892819999484345, 0.06852970000181813, 0.07230379999964498, 0.06678219999594148, 0.06860240000241902, 0.07214400000520982, 0.06901680000009947, 0.06960550000076182, 0.07027650000236463, 0.06600500000058673, 0.07082910000463016, 0.07137900000088848, 0.06788159999996424, 0.0723639999923762, 0.07656079999287613, 0.07331830001203343, 0.07468780000635888, 0.07359919999726117, 0.07155009999405593)","(0.0039056000096024945, 0.003548200009390712, 0.004786899997270666, 0.003431699995417148, 0.003232600007322617, 0.00544639999861829, 0.005286200001137331, 0.003643699994427152, 0.0032781000045360997, 0.0036016999947605655, 0.00306319999799598, 0.004572699996060692, 0.003252700000302866, 0.003106800009845756, 0.003566800005501136, 0.0031393999961437657, 0.0030838999955449253, 0.0034384000027785078, 0.004507299992837943, 0.003231700000469573, 0.003194599994458258, 0.0032836000027600676, 0.0033598000009078532, 0.0034484999923733994, 0.0034115000016754493, 0.0032284999906551093, 0.003757200000109151, 0.004242599999997765, 0.003437899998971261, 0.0039342000090982765, 0.003080700000282377, 0.0033005000004777685, 0.0033657000021776184, 0.0032454999891342595, 0.003461200001765974, 0.004801300005055964, 0.0033448999893153086, 0.0032767999946372584, 0.0034688000014284626, 0.0032078000076580793, 0.003115700004855171, 0.003655099993920885, 0.0034853999968618155, 0.003312400003778748, 0.005639099996187724, 0.003832500005955808, 0.0035873000015271828, 0.0036731000000145286, 0.003720599997905083, 0.0038179999974090606)","(11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11)"
all monomials repair,"[0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 17, 18, 19, 19, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 42, 43, 44, 45]",2,"(0.07582209999964107, 0.14101079999818467, 0.07563369999115821, 0.06741679999686312, 0.07280789999640547, 0.06763240000873338, 0.0675106999988202, 0.07165650000388268, 0.06929700000910088, 0.06603960000211373, 0.07049630000256002, 0.0684363000036683, 0.06774500000756234, 0.07322340000246186, 0.06806830001005437, 0.0685347999969963, 0.07299390000116546, 0.07061009999597445, 0.08286399999633431, 0.06832500000018626, 0.07445139999617822, 0.0739292999933241, 0.07213210000190884, 0.07135849999031052, 0.0732447000045795, 0.07368200000200886, 0.06903839998994954, 0.07411329999740701, 0.0672608000022592, 0.06640490000427235, 0.07186459998774808, 0.07075579999946058, 0.06666319999203552, 0.07158099999651313, 0.06972949999908451, 0.0666233999945689, 0.07488400000147521, 0.068254199999501, 0.06797809999261517, 0.0729049999936251, 0.0668774000077974, 0.06964899999729823, 0.07192229999054689, 0.0680004000023473, 0.07073120000131894, 0.07274960000358988, 0.06970089999958873, 0.06831890001194552, 0.07277639998937957, 0.07142840001324657)","(0.019144100006087683, 0.02551110000058543, 0.016027599995140918, 0.015717099988250993, 0.01828879999811761, 0.01691710000159219, 0.014390600001206622, 0.01621339999837801, 0.014946499999496154, 0.014619800000218675, 0.022003599995514378, 0.017992900000535883, 0.018521799996960908, 0.013797099993098527, 0.017373700000462122, 0.01491090000490658, 0.018391699995845556, 0.015925300001981668, 0.022421499990741722, 0.0137931000062963, 0.016936599990003742, 0.019615900004282594, 0.017898499994771555, 0.01798129999951925, 0.02070619999722112, 0.014271599997300655, 0.018450599993229844, 0.0140568000060739, 0.016460500002722256, 0.016179400001419708, 0.01769870000134688, 0.01646130000881385, 0.01629329999559559, 0.017165099998237565, 0.0169266000011703, 0.016909099998883903, 0.020010899999761023, 0.01742720000038389, 0.015196399996057153, 0.020104399998672307, 0.016782599996076897, 0.014829799998551607, 0.01852830000279937, 0.01640429999679327, 0.016332600003806874, 0.01754229998914525, 0.02097529999446124, 0.01777470001252368, 0.020571700006257743, 0.014115900004981086)","(11, 14, 13, 13, 13, 15, 12, 13, 12, 12, 12, 16, 15, 12, 13, 12, 13, 12, 11, 12, 12, 11, 11, 16, 15, 12, 15, 12, 14, 14, 13, 14, 13, 13, 15, 14, 15, 13, 13, 15, 13, 13, 14, 12, 14, 12, 11, 14, 14, 12)"
adaptive repair base,"[0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 17, 18, 19, 19, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 42, 43, 44, 45]",1,"(0.06938430000445805, 0.07586299999093171, 0.07013030000962317, 0.06761290000576992, 0.07815800000389572, 0.0710181000031298, 0.07203009999648202, 0.0769737999944482, 0.07207199999538716, 0.07002090000605676, 0.07896139999502338, 0.06911260000197217, 0.06974489999993239, 0.08332260001043323, 0.07307759999821428, 0.06976659999054391, 0.07645300000149291, 0.07367789999989327, 0.07046310001169331, 0.07323039999755565, 0.07932789999176748, 0.07479039998725057, 0.07294669999100734, 0.06581949999963399, 0.07421910000266507, 0.0706064999976661, 0.0668396999972174, 0.07170349999796599, 0.06879830000980292, 0.06770210000104271, 0.07218920000013895, 0.06863500000326894, 0.06667919999745209, 0.07173560000956059, 0.06836980000662152, 0.06888330000219867, 0.07418669998878613, 0.06854970000858884, 0.06819540000287816, 0.07202329998835921, 0.07062589999986812, 0.06900279999535996, 0.07455160000245087, 0.06843329999537673, 0.06681000000389758, 0.07304479999584146, 0.07629709999309853, 0.06788550000055693, 0.06887819999246858, 0.07790450000902638)","(0.019090899993898347, 0.017835100006777793, 0.01585989999875892, 0.018442200002027676, 0.019299599996884353, 0.01848160001100041, 0.01611520000733435, 0.01826880000589881, 0.016403000001446344, 0.014762900013010949, 0.016802899990580045, 0.021777700007078238, 0.022991000005276874, 0.016032800005632453, 0.01701640000101179, 0.016333299994585104, 0.017267499992158264, 0.01581189999706112, 0.024076800007605925, 0.0187047000072198, 0.018149700001231395, 0.022425899995141663, 0.02210679999552667, 0.02123879999271594, 0.024220000006607734, 0.014019199996255338, 0.016939900000579655, 0.015607199995429255, 0.01704559999052435, 0.01678859999810811, 0.016262399993138388, 0.016701000000466593, 0.014752899995073676, 0.018285699989064597, 0.01711639999120962, 0.01668079999217298, 0.020140900000114925, 0.017720099989674054, 0.014963099994929507, 0.019721999997273088, 0.015035799995530397, 0.016243099991697818, 0.01617330001317896, 0.014540699994540773, 0.016172699994058348, 0.0166319999989355, 0.026639799994882196, 0.01765749999321997, 0.017623399995500222, 0.017450799990911037)","(11, 13, 13, 13, 13, 15, 12, 13, 12, 12, 12, 16, 15, 12, 13, 12, 13, 12, 11, 12, 12, 11, 11, 16, 15, 12, 15, 12, 14, 14, 13, 14, 13, 13, 15, 14, 15, 13, 13, 15, 13, 13, 14, 12, 14, 12, 11, 14, 14, 12)"
adaptive repair + support for signature change,"[0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 17, 18, 19, 19, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 42, 43, 44, 45]",1,"(0.07162380000227131, 0.068864200002281, 0.07772699999623, 0.07022890000371262, 0.06711439999344293, 0.07407709999824874, 0.07179130001168232, 0.06738150000455789, 0.07881629999610595, 0.06898229999933392, 0.06910699998843484, 0.0721689000056358, 0.07157149999693502, 0.0723291999893263, 0.07238939999660943, 0.06807239999761805, 0.06717560000834055, 0.07154269999591634, 0.07065480000164825, 0.06689260000712238, 0.07481720000214409, 0.07020459999330342, 0.07238969999889378, 0.07321020000381395, 0.08019829999830108, 0.07036180001159664, 0.07257220000610687, 0.06867519998922944, 0.06771329999901354, 0.07570539999869652, 0.07198560000688303, 0.06863410001096781, 0.07128809999267105, 0.06892119999974966, 0.07040300000517163, 0.07207470000139438, 0.06908349999866914, 0.06642400000419002, 0.07452490000287071, 0.06980080000357702, 0.06642679999640677, 0.07273580000037327, 0.0691919999953825, 0.06740639999043196, 0.0743131000053836, 0.07000289999996312, 0.06702990000485443, 0.06944040000962559, 0.07234460000472609, 0.07094770000549033)","(0.018009799998253584, 0.015979699994204566, 0.01858400000492111, 0.016903900002944283, 0.01516500000434462, 0.019985100007033907, 0.013963500008685514, 0.017412300003343262, 0.01504199999908451, 0.01636799999687355, 0.014717500002007, 0.019916000004741363, 0.017101400007959455, 0.015640500001609325, 0.01855059999797959, 0.014093999998294748, 0.017104500002460554, 0.016308000005665235, 0.02298039999732282, 0.02064529999915976, 0.017865499990875833, 0.022860299999592826, 0.030531700002029538, 0.025991299989982508, 0.02153950001229532, 0.014040100009879097, 0.020271500005037524, 0.015881900006206706, 0.017756600005668588, 0.01858800000627525, 0.016523800004506484, 0.015792300007888116, 0.017039600003045052, 0.015400999996927567, 0.0169465999933891, 0.0171565000055125, 0.017675099996267818, 0.014747499997611158, 0.017701700009638444, 0.01703859999543056, 0.015106999999261461, 0.018481199993402697, 0.020900899995467626, 0.013936600007582456, 0.018049900012556463, 0.014175199990859255, 0.02334260000498034, 0.016432599994004704, 0.02174709999235347, 0.017811999990954064)","(11, 13, 13, 13, 13, 15, 12, 13, 12, 12, 12, 16, 15, 12, 13, 12, 13, 12, 11, 12, 12, 11, 11, 16, 15, 12, 15, 12, 14, 14, 13, 14, 13, 13, 15, 14, 15, 13, 13, 15, 13, 13, 14, 12, 14, 12, 11, 14, 14, 12)"
