Label,Score,Learned Model ID,planing time,execute & repair time,Plan Length
oracle,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",-1,"(1.0611475000041537, 1.0387139999947976, 0.7526187000039499, 0.8644895999750588, 1.3898192000051495, 2.451515399996424, 1.2878785000066273, 2.490282200014917, 1.9296052000136115, 0.9899487999791745, 0.6796847000077832, 1.358673299982911, 3.216438900009962, 0.40774349999264814, 1.1894347000052221, 1.0956575000018347, 0.6373958000040147, 0.6310345999954734, 1.350745800009463, 0.6997328999859747, 2.2776356999820564, 0.9121916000149213, 1.980806700012181, 0.605659300024854, 1.1271107999782544, 1.4730952999962028, 0.6204555000003893, 1.0830825000011828, 1.03338390000863, 0.841688200016506, 1.8307567999872845, 1.649261699989438, 5.66338369998266, 2.324332099989988, 1.2926392999943346, 0.9387470999790821, 0.7582476000243332, 1.0874332999810576, 0.6753908999962732, 0.8932083999970928, 0.7885097999824211, 0.7107108999916818, 3.24438290001126, 2.9961108999850694, 1.7726354000042193, 0.7264169999980368, 0.3243452000024263, 5.5722389000002295, 1.8890799000218976, 0.35784650000277907)","(0.004420600016601384, 0.007912000000942498, 0.01196399997570552, 0.008053400000790134, 0.003993600024841726, 0.011583799991058186, 0.004049000010127202, 0.0085356000054162, 0.0025452999980188906, 0.0038191000057850033, 0.004973300005076453, 0.002879800013033673, 0.007512099982704967, 0.00720950000686571, 0.004024900001240894, 0.005112400016514584, 0.010895199986407533, 0.004005299997515976, 0.0016132000018842518, 0.0030546000052709132, 0.007264000014401972, 0.00634719998924993, 0.005289199994876981, 0.006802800024161115, 0.008366199996089563, 0.01145120000001043, 0.006763099983800203, 0.0018841999990399927, 0.002415299997664988, 0.0024847000022418797, 0.0032118000090122223, 0.006906800001161173, 0.006228900019777939, 0.0038157000089995563, 0.002670599991688505, 0.00517680001212284, 0.006516399997053668, 0.007728299999143928, 0.005843799997819588, 0.005570600013015792, 0.0020337000023573637, 0.00569970000651665, 0.004042300017317757, 0.0023428999993484467, 0.005095500004244968, 0.008006299991393462, 0.006632399978116155, 0.0057511999912094325, 0.0029400999774225056, 0.007530900009442121)","(14, 16, 16, 21, 10, 18, 11, 15, 15, 10, 12, 14, 17, 16, 16, 11, 17, 21, 5, 10, 13, 10, 21, 13, 12, 21, 20, 9, 13, 12, 17, 21, 20, 13, 12, 16, 11, 22, 16, 12, 7, 11, 17, 12, 14, 22, 22, 21, 14, 12)"
base domain - no repair,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",-1,"(0.5625403999874834, 0.24037650000536814, 0.34835190000012517, 0.43739050001022406, 0.33629420000943355, 0.3635820000199601, 0.2790330999996513, 0.3981534000195097, 0.3712027000146918, 0.3808742000255734, 0.4874529000080656, 0.6263468000106514, 0.5117802000022493, 0.31498749999445863, 0.4024162999994587, 0.5215498999750707, 0.5712465999822598, 0.6758571999962442, 0.37738019999233074, 0.27592499999445863, 0.6507079999719281, 0.41814379999414086, 0.38131779999821447, 0.3956174000049941, 0.4366925999929663, 0.6882892000139691, 0.6889985000016168, 0.3276443000067957, 0.5901876999996603, 0.528963599994313, 0.652702000021236, 0.6197995999827981, 0.5265813000150956, 0.31005820000427775, 0.47723519999999553, 0.4707431999850087, 0.5023682999890298, 0.6406744999985676, 0.3052128000126686, 0.5501368000113871, 0.35415160001139157, 0.4978752000024542, 0.37375049997353926, 0.7204606999875978, 0.647235999989789, 0.7104849000170361, 0.5318344999977853, 0.47698929999023676, 0.546650399977807, 0.3458225000067614)","(0.01465019999886863, 0.01473309998982586, 0.018387299991445616, 0.021253000013530254, 0.16856360001838766, 0.02250410002307035, 0.0031676999933551997, 0.01568010001210496, 0.03821649999008514, 0.008106100023724139, 0.021593800018308684, 0.04410279999137856, 0.03755420001107268, 0.01747120000072755, 0.02312210001400672, 0.01624600001377985, 0.048044900002423674, 0.04174000001512468, 0.005699600005755201, 0.008621799992397428, 0.0220448000181932, 0.011572299990803003, 0.019369799993000925, 0.013216899998951703, 0.03583310000249185, 0.02692350000143051, 0.05123949999688193, 0.00964380000368692, 0.03162470000097528, 0.026112999999895692, 0.04183929998544045, 0.024302000005263835, 0.03004240000154823, 0.010913099977187812, 0.0050125999841839075, 0.01676749999751337, 0.028708300000289455, 0.04485410000779666, 0.01783110000542365, 0.018095699982950464, 0.007418200024403632, 0.025250100006815046, 0.02636499999789521, 0.0360252000100445, 0.032812499994179234, 0.054275000002235174, 0.043482900015078485, 0.044992499984800816, 0.022851200017612427, 0.00949850000324659)","(91, 48, 69, 100, 42, 74, 19, 73, 88, 28, 64, 88, 72, 64, 53, 42, 93, 101, 6, 11, 56, 27, 43, 43, 61, 111, 136, 23, 54, 62, 92, 71, 83, 38, 21, 53, 55, 93, 65, 43, 12, 49, 55, 61, 70, 126, 111, 85, 49, 24)"
all monomials repair,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-1,"(0.6258840999798849, 0.4041655999899376, 0.2841002000204753, 0.2689417999936268, 0.3327415999956429, 0.3787542999780271, 0.46241100001498125, 0.3486077999987174, 0.3889591000042856, 0.5350964000099339, 0.32594730000710115, 0.5386377999966498, 0.9576128000044264, 0.20915570002398454, 0.7459642000030726, 0.5003327000013087, 8.763440000009723, 0.5783752000133973, 0.5308735000144225, 8.748391400004039, 1.946781300008297, 1.1137744000006933, 0.5234188000031281, 0.858875200006878, 0.9104921000252943, 0.3566569999966305, 1.3904694000084419, 0.5572117000119761, 0.42771609997726046, 0.635387999995146, 0.5055910999944899, 0.9223481999943033, 0.4190576999972109, 2.0850503999972716, 0.44867840001825243, 0.4522712999896612, 1.4963900000147987, 0.9999568000202999, 1.7074467999918852, 0.5034414999827277, 0.48024119998444803, 1.4084082000190392, 0.41348139999900013, 1.803116900002351, 0.4789769999915734, 0.45687110000289977, 0.8747538999887183, 0.4330684000160545, 0.7580817999842111, 0.6786073000112083)","(0.36372180000762455, 0.11114819999784231, 0.027629599993815646, 0.05840619999798946, 0.017499300010968, 0.05092599999625236, 0.021169799991184846, 0.04543609998654574, 0.063160899997456, 0.0720584999944549, 0.056879400013713166, 0.09892290001153015, 0.09706539998296648, 0.25455309997778386, 0.13846260000718758, 0.08124679999309592, 0.22987609999836423, 0.21099730001878925, 0.044557200017152354, 0.13461249999818392, 0.16258739997283556, 0.0906851000036113, 0.13944239998818375, 0.1469496000208892, 0.15428100002463907, 0.1898358000034932, 0.18034359999001026, 0.134818600025028, 0.20165470000938512, 0.12553059999481775, 0.16186469999956898, 0.280001999984961, 0.49380130000645295, 0.07211870001628995, 0.04134440000052564, 0.36243959999410436, 0.2257005000137724, 0.3652667999849655, 0.244849200011231, 0.3739622999855783, 0.03292989998590201, 0.14585889998124912, 0.1990393000014592, 0.2968045999878086, 0.19163789998856373, 0.4092354000022169, 0.3987535999913234, 0.6519571999961045, 0.0985627000045497, 0.12690510001266375)","(91, 43, 11, 15, 5, 12, 5, 14, 12, 19, 12, 19, 29, 64, 43, 26, 32, 32, 12, 31, 34, 24, 26, 27, 34, 36, 40, 19, 34, 12, 23, 36, 83, 12, 7, 53, 35, 50, 23, 43, 4, 32, 20, 35, 20, 46, 46, 85, 14, 12)"
adaptive repair base,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",-1,"(0.6957290999998804, 0.4565625000104774, 0.492741299996851, 0.32095429999753833, 0.5867847000190523, 0.3895139000087511, 0.4454869999899529, 0.6561455999908503, 0.4192474000155926, 1.2231937999895308, 0.3553038999962155, 0.507061899988912, 0.3682897000107914, 0.3192206999810878, 0.5511310999863781, 0.3216707000101451, 0.8349767999898177, 0.3670224999950733, 0.7800002000003587, 0.9942487000080291, 0.4142260999942664, 0.44612869998672977, 0.3005830000038259, 0.44191600001067854, 0.655040799989365, 0.6809082999825478, 0.6628176999802236, 0.8336296000052243, 0.5057722000055946, 0.687594299990451, 0.3175863000215031, 0.8105853000015486, 0.4862079000158701, 0.7178430999920238, 0.8349001999886241, 8.276212700002361, 0.4476386000169441, 1.0228518000221811, 9.739119399979245, 3.3946072999970056, 0.5387926000112202, 0.4808785999775864, 20.63617240000167, 0.772864300000947, 0.6122992000018712, 0.41518020001240075, 0.7458853000134695, 0.47543300001416355, 0.6956675999972504, 1.354835699981777)","(0.6175529999891296, 0.3098745000024792, 0.374389800010249, 0.10750830001779832, 0.04941129998769611, 0.6052459999918938, 0.01678679999895394, 0.1493684999877587, 0.09590710001066327, 0.030764499999349937, 0.03711529998690821, 0.08700810000300407, 0.13477410000632517, 0.5694040000089444, 0.2048750999965705, 0.07805059998645447, 0.18796320000546984, 0.19363900000462309, 0.01838210001005791, 0.06197530002100393, 0.1438878000190016, 0.0674183999944944, 0.08839509999961592, 0.16362119998666458, 0.12347350001800805, 0.22097920000669546, 0.25649140001041815, 0.08014059998095036, 0.27932760000112467, 0.3156079000036698, 0.12834739999379963, 0.3033826000173576, 0.9510962999775074, 0.16853429999900982, 0.08058750000782311, 0.3623252999968827, 0.2223371000145562, 0.5539090000092983, 0.26684409999870695, 0.36372860000119545, 0.04229690000647679, 0.2993893999955617, 0.29962170001817867, 0.3872335999913048, 1.0734595000103582, 0.6392440999916289, 0.5306014999805484, 1.3136915999930352, 0.2026268999907188, 0.17230509998626076)","(91, 46, 69, 14, 12, 74, 5, 18, 15, 7, 8, 14, 15, 64, 32, 10, 20, 27, 4, 10, 21, 11, 13, 19, 19, 28, 29, 10, 28, 18, 15, 33, 83, 12, 8, 34, 19, 41, 24, 27, 6, 26, 24, 24, 70, 41, 36, 85, 14, 13)"
adaptive repair + support for signature change,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1,"(0.5850187999894843, 0.4704552000039257, 0.5305749999824911, 0.6619356000155676, 0.45315379998646677, 1.1005797999969218, 0.5071211000031326, 1.0615897999959998, 0.5113949999795295, 0.41211989999283105, 0.4591741999902297, 1.1738583999976981, 41.72014119999949, 0.37900919999810867, 0.6450592999754008, 0.5134509000054095, 0.5970730000117328, 0.6307917999802157, 1.3968003000190947, 0.799639400007436, 0.574953999981517, 0.5311052000033669, 1.2146700999874156, 0.607814299990423, 2.403627400024561, 0.6019114000082482, 0.8301504999981262, 2.1830788000079338, 7.493231999978889, 2.4644539000000805, 8.971400299982633, 2.392306199995801, 5.155376999988221, 4.451032200013287, 4.171377399994526, 4.339163200027542, 1.6908903000003193, 5.169554599997355, 0.32000130001688376, 2.871671900007641, 1.2682362000050489, 0.9816990999970585, 2.1417071000032593, 3.5277306999778375, 2.600584500003606, 0.3021145999955479, 0.40292990001034923, 0.1898804999946151, 2.503002399986144, 0.16831850001472048)","(0.6314809000177775, 0.22498249998898245, 0.026918799994746223, 0.05808319998322986, 0.2852839000115637, 0.20033710001735017, 0.03657920000841841, 0.009122499992372468, 0.5903222000051755, 0.13426960000651889, 0.528854100004537, 0.10959229999571107, 0.043057699978817254, 0.5825143000110984, 0.12923769999179058, 0.19133120001060888, 0.9176810999924783, 0.9146939000056591, 0.018127200019080192, 0.05734820000361651, 0.031945800001267344, 0.1731856999977026, 0.08514209999702871, 0.27962180000031367, 0.019240399997215718, 0.2701519000111148, 1.3550782999955118, 0.07907239999622107, 0.13081649999367073, 0.048833100008778274, 0.12204450002172962, 0.08479510000324808, 0.05680339998798445, 0.07673549998435192, 0.05161900000530295, 0.1631383000058122, 0.09153479998349212, 0.04413140000542626, 0.8889972000033595, 0.19642329998896457, 0.035522299993317574, 0.4899622999946587, 0.1795958999719005, 0.10445139999501407, 0.0974304000264965, 0.05570550000993535, 0.8897245999833103, 0.42129599998588674, 0.035685000009834766, 0.16273630000068806)","(91, 42, 35, 100, 42, 26, 5, 16, 88, 28, 64, 10, 20, 64, 53, 42, 93, 101, 3, 7, 56, 27, 15, 34, 4, 111, 136, 6, 14, 8, 9, 10, 6, 8, 6, 20, 11, 14, 65, 12, 5, 50, 17, 15, 9, 25, 111, 85, 8, 24)"
adaptive repair + support for signature change with milp,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 3, 4, 5, 5, 6, 6, 7, 8, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-1,"(0.2962602000043262, 0.20448290000786074, 0.3698871999804396, 0.24678210000274703, 2.6833900999918114, 5.456838599988259, 0.7934730999986641, 1.5053761999879498, 1.0476542999967933, 0.7281496000068728, 0.6472778999886941, 0.9460540000000037, 0.5907015999837313, 0.6285753999836743, 1.327626499987673, 0.9354023000050802, 1.080635499994969, 0.8042087999929208, 1.4977222999732476, 2.1330317000101786, 3.2565003000199795, 0.9622758000041358, 1.0977413000073284, 0.7810561999795027, 1.5137696999881882, 1.9580032999801915, 0.8493378999992274, 1.4240139000175986, 1.771130400011316, 1.4087087000079919, 3.1194513000082225, 1.9460858999809716, 7.794555800006492, 3.022391800011974, 1.7538725000049453, 1.4645444999914616, 1.2525032999983523, 1.5316414999833796, 1.1860713999776635, 1.3094773999764584, 1.3432830999954604, 1.1362874000042211, 4.990957300004084, 3.8202425000199582, 2.2132979999878444, 0.9942364000016823, 0.5082736999902409, 7.1916003999940585, 2.5874639000103343, 0.5174101000011433)","(0.2828894999984186, 0.12102759999106638, 117.68345549999503, 60.65235569997458, 0.03687859998899512, 0.07249639998190105, 0.021166800026549026, 0.06720649998169392, 0.06436859999666922, 0.05102799998712726, 0.04392230001394637, 0.05180020001716912, 120.53517190000275, 0.10233990001142956, 0.06834019999951124, 0.04727209999691695, 0.0648982000129763, 0.09815589999197982, 0.009293400013120845, 93.00789869998698, 0.060333100002026185, 0.034477900015190244, 81.64801649999572, 0.0561734999937471, 0.04770960001042113, 0.08415839998633601, 0.07488359999842942, 0.044905299990205094, 0.06653800001367927, 0.05767000000923872, 0.03953989999718033, 0.07217800000216812, 0.08761409998987801, 0.06614040001295507, 0.049229900003410876, 0.0696514000010211, 0.04162869998253882, 0.09803170000668615, 0.0596984000003431, 0.059306499984813854, 0.01821189999463968, 0.039309100015088916, 0.06745420000515878, 0.06040759998722933, 0.06703370000468567, 0.09185160000924952, 0.05892529999255203, 0.08851380000123754, 0.06528949999483302, 0.04137229998013936)","(91, 43, 36, 16, 8, 23, 5, 17, 16, 16, 13, 15, 20, 17, 16, 11, 17, 19, 5, 8, 13, 10, 16, 13, 12, 21, 20, 9, 13, 12, 17, 21, 20, 13, 12, 16, 11, 22, 16, 12, 7, 11, 17, 12, 14, 22, 22, 21, 14, 12)"
