Label,Score,Learned Model ID,planing time,execute & repair time,Plan Length
oracle,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 11, 12, 12, 12, 12, 12, 13, 14, 15, 16, 17, 17, 18, 18, 19, 20, 20, 21, 21, 22, 23, 24, 25, 26, 27, 28, 29, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40]",-1,"(0.4011954999878071, 0.14676890001283027, 0.1825193999975454, 0.1747151000017766, 0.1303077000193298, 0.12579920000280254, 0.1564201999863144, 0.20310699997935444, 0.12464560000807978, 0.156904300005408, 0.19249270000727847, 60.257240500010084, 0.14412480001919903, 60.267260599997826, 60.271429700020235, 60.28408909999416, 60.26915129998815, 0.26370589999714866, 0.12497090001124889, 0.15265900001395494, 0.1573062000097707, 0.14247720001731068, 60.21051579999039, 0.11436069998308085, 60.219132800004445, 0.16043229997740127, 0.13422119998722337, 60.21749640000053, 0.2441586000204552, 60.21864140001708, 0.1259398000256624, 0.17275080000399612, 0.3006755999813322, 0.14587599999504164, 0.15139179999823682, 0.25689809999312274, 0.5880063000076916, 1.1074523999996018, 60.223729899997124, 0.15397079999092966, 0.14128189999610186, 0.17824629999813624, 0.16094490000978112, 0.15244269999675453, 0.11576849999255501, 0.47569320001639426, 0.5213212000089698, 0.16967410000506788, 0.17057180000119843, 0.12218279999797232)","(0.06262549999519251, 0.01374619998387061, 0.023272099992027506, 0.02850919999764301, 0.008717100019566715, 0.016856599977472797, 0.016428500006441027, 0.017616600001929328, 0.0011949999898206443, 0.006516000023111701, 0.021554699982516468, 0.027822700008982792, 0.028694700013147667, 0.0069598999980371445, 0.06406490001245402, 0.050877600006060675, 0.0433558999793604, 0.06323369999881834, 0.009327000007033348, 0.019999299984192476, 0.016568300023209304, 0.017433500004699454, 0.042413000017404556, 0.0017561999848112464, 0.05701029999181628, 0.025341900007333606, 0.01686969998991117, 0.009671400010120124, 0.04665239999303594, 0.021922899992205203, 0.01412850001361221, 0.014914200000930578, 0.08925109999836423, 0.030068200023379177, 0.02330740002798848, 0.07234919999609701, 0.20320000001811422, 0.3015546999813523, 0.013876199984224513, 0.03260999999474734, 0.00592929997947067, 0.021705999999539927, 0.01371369999833405, 0.006740699987858534, 0.0016223999846260995, 0.17405620001954958, 0.10855699999956414, 0.026818100013770163, 0.004241999995429069, 0.0012949999945703894)","(176, 15, 60, 49, 18, 15, 14, 28, 1, 8, 38, 37, 26, 15, 103, 87, 96, 132, 13, 36, 42, 19, 86, 1, 153, 27, 37, 8, 106, 43, 11, 26, 149, 38, 28, 139, 322, 626, 23, 30, 6, 28, 13, 16, 2, 285, 272, 33, 9, 1)"
base domain - no repair,"[0, 0, 1, 1, 1, 1, 2, 2, 3, 4, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 5, 6, 6, 7, 8, 8, 8, 8, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 11, 12]",-1,"(0.1544768000021577, 0.147276800009422, 0.14567089997581206, 0.1530620999983512, 0.19138670002575964, 0.14794960001017898, 0.15765720000490546, 0.14781500000390224, 0.11913130001630634, 0.1214967000123579, 0.1803152000065893, 0.137833499989938, 0.14993819998926483, 0.1200665999785997, 0.20614200001000427, 0.17627689999062568, 0.23846550000598654, 0.16932240000460297, 0.13991120000719093, 0.16673119997722097, 0.18155579999438487, 0.12637069998891093, 0.14269949999288656, 0.10837840000749566, 0.1642328999878373, 0.13230800000019372, 0.130099700007122, 0.12610999998287298, 0.17059389999485575, 0.13251590001164004, 0.12582479999400675, 0.1417492000036873, 0.2343912999785971, 0.14462080001248978, 0.11924369999906048, 0.12781340000219643, 0.15721019997727126, 0.2015211999823805, 0.12146629998460412, 0.14198539999779314, 0.11337360000470653, 0.12550130000454374, 0.14875490000122227, 0.13573629999882542, 0.11219050001818687, 0.1994682000076864, 0.16997990000527352, 0.18136659997981042, 0.13572589997784235, 0.10405240001273341)","(0.020761099993251264, 0.014523099991492927, 0.037633500003721565, 0.013237399980425835, 0.023682600003667176, 0.015272699994966388, 0.027599599998211488, 0.018335899978410453, 0.0009815999947022647, 0.010272300016367808, 0.030476200015982613, 0.04658120000385679, 0.015640700003132224, 0.012085199996363372, 0.063300599984359, 0.08251139998901635, 0.054137300001457334, 0.050179599988041446, 0.01800470001762733, 0.0717313000059221, 0.023626100010005757, 0.02648659999249503, 0.044597100000828505, 0.0006964000058360398, 0.028143400006229058, 0.03074200000264682, 0.030896599986590445, 0.006808800011640415, 0.01694669999415055, 0.0319844999758061, 0.006565599993336946, 0.035313200001837686, 0.09097920000203885, 0.02317240001866594, 0.017130599997472018, 0.0637822000135202, 0.04098250000970438, 0.0761361000186298, 0.01373879998573102, 0.01854809999349527, 0.004522200004430488, 0.007143999973777682, 0.01255210000090301, 0.020461999985855073, 0.0011128999758511782, 0.06724559998838231, 0.04997029999503866, 0.025980900012655184, 0.004488200007472187, 0.0007461999775841832)","(31, 22, 33, 36, 28, 17, 25, 31, 1, 9, 47, 57, 42, 13, 103, 87, 96, 64, 20, 58, 52, 31, 52, 1, 77, 31, 43, 8, 29, 34, 16, 45, 103, 22, 18, 81, 58, 96, 19, 39, 4, 10, 25, 23, 2, 75, 58, 44, 12, 1)"
all monomials repair,"[0, 0, 1, 1, 1, 1, 2, 2, 2, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 6, 7, 8, 8, 9, 9, 10, 11, 11, 12, 12, 13, 14, 15, 16, 17, 18, 19, 20, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",19,"(0.16055689999484457, 0.13612629999988712, 0.16963079999550246, 0.14384639999479987, 0.19967249999172054, 0.12322799998219125, 0.1789695000043139, 0.11560950000421144, 0.13996540001244284, 0.14122690001386218, 0.6885005000222009, 0.16971769998781383, 0.1561951999901794, 0.3488717000000179, 0.14854559997911565, 0.20913969998946413, 0.2316751999896951, 0.247239799995441, 0.1653468000004068, 0.16263199999229982, 0.12670470000011846, 0.12928720001946203, 0.1804806000145618, 0.13770620001014322, 0.21754250000230968, 0.15292650001356378, 0.1626059999980498, 0.13198939998983406, 0.2626964000228327, 0.12717979997978546, 0.14328220000606962, 0.11926459998358041, 0.2348247000190895, 0.16464870001072995, 0.14147589998901822, 0.2607078999863006, 0.6717768000089563, 1.2332656000216957, 0.15030849998584017, 0.1471200000087265, 0.11246279999613762, 0.14146680000703782, 0.12002010000287555, 0.13058900000760332, 0.13038570000207983, 0.5030384999990929, 0.47715160000370815, 0.1436939999985043, 0.11424689998966642, 0.10494569997536018)","(0.19454649998806417, 0.1208508999843616, 0.10180509998463094, 0.03826199998729862, 0.19844489998649806, 0.0894898000115063, 0.1738284999737516, 0.0059264000155963, 0.007089900027494878, 0.033376900013536215, 0.22442380001302809, 0.022500699997181073, 0.11410599999362603, 0.33994810000876896, 0.9504470000101719, 1.1822160000156146, 1.4914869999920484, 0.9348748000047635, 0.06792579998727888, 0.08319919998757541, 0.08100179999019019, 0.0899961999966763, 0.9251272999972571, 0.006919300009030849, 1.5209065999952145, 0.09829729999182746, 0.0916768999886699, 0.220007900003111, 0.43332520002149977, 0.8441822000022512, 0.03308550000656396, 0.05455560001428239, 0.3808091999962926, 0.14387619998888113, 0.09330090001458302, 0.36423169999034144, 0.9001695000042673, 1.5084244999743532, 0.48830480000469834, 0.08596810000017285, 0.024623499979497865, 0.06291799998143688, 0.04482300000381656, 0.04160200001206249, 0.007184099988080561, 0.7142295000085142, 0.7117305000138003, 0.07644090001122095, 0.04185270000016317, 0.004066499997861683)","(31, 22, 16, 4, 22, 15, 25, 2, 1, 9, 39, 3, 26, 54, 103, 87, 96, 81, 11, 36, 42, 19, 52, 1, 77, 27, 37, 8, 106, 34, 11, 26, 149, 38, 28, 139, 322, 626, 19, 30, 6, 28, 13, 16, 2, 285, 272, 33, 9, 1)"
adaptive repair base,"[0, 0, 1, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 6, 6, 6, 7, 8, 9, 10, 11, 11, 12, 12, 13, 14, 14, 15, 15, 16, 17, 18, 19, 20, 21, 22, 23, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",-1,"(0.12254819998634048, 0.1375842000124976, 0.18365560000529513, 0.17278549997718073, 0.1256199000054039, 0.14270649998798035, 0.1395769999944605, 0.15656410000519827, 0.10777510001207702, 0.12564010001369752, 0.15165839999099262, 0.17721990001155064, 0.13334719999693334, 0.1605551000102423, 0.17057389998808503, 0.19636080000782385, 0.3014767999993637, 0.25267560000065714, 0.16554289998020977, 0.11689380000461824, 0.12296609999611974, 0.1471949999977369, 0.18292759999167174, 0.12796090001938865, 0.14452370000071824, 0.17172320000827312, 0.2024626999918837, 0.1370288000034634, 0.2794888000062201, 0.14495610000449233, 0.10873420001007617, 0.1332823999982793, 0.2151268000015989, 0.16209900000831112, 0.1603649000171572, 0.2525465999788139, 0.6886547000030987, 1.3201908000046387, 0.14483110001310706, 0.19140270000207238, 0.10177609999664128, 0.15848220000043511, 0.1448003000114113, 0.1427718999912031, 0.10233309998875484, 0.49200529998051934, 0.5786643999745138, 0.13474049998330884, 0.1259892999951262, 0.1317925000039395)","(0.2731219000124838, 0.18696469999849796, 0.6142696999886539, 0.5714862000022549, 0.19744129999889992, 0.14931649999925867, 0.10396080001373775, 0.12366230000043288, 0.0075516999932006, 0.06341439997777343, 0.11863459998858161, 0.8871417999907862, 0.06473280000500381, 0.22108269997988828, 2.046273400017526, 1.9104757999884896, 2.8151413000014145, 0.34509170000092126, 0.06726250000065193, 0.12813570001162589, 0.1118871999788098, 0.06164639999042265, 1.7282581999897957, 0.005483899993123487, 2.4224136999982875, 0.09779199998592958, 0.07719159999396652, 0.2436067000089679, 0.2867205000075046, 1.2293198999832384, 0.038260200002696365, 0.11224700001184829, 0.4658802000049036, 0.11714439999195747, 0.057644000014988706, 0.37980070000048727, 0.9699502000003122, 1.6567188999906648, 0.6754054999910295, 0.1020532000111416, 0.02715609999722801, 0.09989899999345653, 0.024576299998443574, 0.049699800001690164, 0.005370500002754852, 0.7453603000030853, 0.8471379000111483, 0.10298700002022088, 0.04683760000625625, 0.003712999983690679)","(31, 22, 62, 46, 21, 12, 14, 14, 1, 6, 38, 57, 26, 13, 103, 87, 96, 132, 13, 36, 42, 19, 52, 1, 77, 27, 37, 8, 106, 34, 11, 26, 149, 38, 28, 139, 322, 626, 19, 30, 6, 28, 13, 16, 2, 285, 272, 33, 9, 1)"
adaptive repair + support for signature change,"[0, 0, 1, 1, 1, 2, 2, 3, 3, 4, 4, 5, 5, 6, 6, 6, 6, 6, 7, 8, 9, 10, 11, 11, 12, 12, 13, 14, 14, 15, 15, 16, 17, 18, 19, 20, 21, 22, 23, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",-1,"(0.17816929999389686, 0.16218649997608736, 0.24378150000120513, 0.2453903999994509, 0.14694619999499992, 0.13560350000625476, 0.13337690001935698, 0.14404929999727756, 0.11875700001837686, 0.09998960001394153, 0.11876209999900311, 0.20422499999403954, 0.157609699992463, 0.12240369999199174, 0.21616270000231452, 0.17048659999272786, 0.1800626999756787, 0.22724819998256862, 0.13610139998490922, 0.21365439999499358, 0.13100770002347417, 0.1394350999908056, 0.1636199999775272, 0.14624109998112544, 0.1522891000204254, 0.159715599991614, 0.1307403999962844, 0.10832790000131354, 0.24767050001537427, 0.19912699999986216, 0.11692269999184646, 0.13264369999524206, 0.23814630002016202, 0.15517360001103953, 0.21194000000832602, 0.2704941999982111, 0.9463164000189863, 1.3365346000064164, 0.15354840000509284, 0.18425879999995232, 0.11856430000625551, 0.12773290000041015, 0.1521956000069622, 0.1609016000002157, 0.12354429997503757, 0.4873002999811433, 0.497182499995688, 0.15172460000030696, 0.12078919998020865, 0.12303489999612793)","(0.3205607999989297, 0.27482260001124814, 0.7305767000070773, 0.7177628999925219, 0.2530364000122063, 0.19790440000360832, 0.19061520000104792, 0.13657420000527054, 0.0034226000134367496, 0.06908779998775572, 0.13431809999747202, 0.8838137999991886, 0.07603820000076666, 0.21283659999608062, 2.1665984999854118, 1.85877230000915, 2.715748499991605, 0.4520419000182301, 0.03524460000335239, 0.08623819999047555, 0.1232231000030879, 0.06974219999392517, 1.738705800002208, 0.008575899992138147, 2.476726699998835, 0.07691490001161583, 0.13235709999571554, 0.22203109998372383, 0.24306219999562018, 1.1567618999979459, 0.022518100013257936, 0.09278079998330213, 0.475084900012007, 0.1786601000057999, 0.1294478999916464, 0.32404599999426864, 0.8015150999999605, 1.87931540000136, 0.7781203000049572, 0.09282360001816414, 0.013837099977536127, 0.09747099998639897, 0.04630129999713972, 0.07008009997662157, 0.0047352000256069005, 0.8369611000234727, 0.6358798000146635, 0.09612800000468269, 0.044943799992324784, 0.007140600006096065)","(31, 22, 62, 46, 21, 12, 14, 14, 1, 6, 38, 57, 26, 13, 103, 87, 96, 132, 13, 36, 42, 19, 52, 1, 77, 27, 37, 8, 106, 34, 11, 26, 149, 38, 28, 139, 322, 626, 19, 30, 6, 28, 13, 16, 2, 285, 272, 33, 9, 1)"
