Label,Score,Learned Model ID,planing time,execute & repair time,Plan Length
oracle,"[0, 1, 1, 2, 3, 4, 5, 6, 6, 7, 8, 9, 9, 9, 10, 11, 12, 12, 12, 13, 14, 15, 15, 16, 16, 17, 18, 18, 19, 19, 20, 21, 22, 23, 24, 24, 25, 26, 26, 27, 28, 29, 30, 30, 30, 31, 32, 33, 34, 35, 36]",-1,"(0.08614619999934803, 60.33655290000024, 0.14209850000042934, 0.11288820000117994, 0.14205030000084662, 1.8009670999999798, 0.289074399999663, 60.35217829999965, 0.156167799999821, 0.12878320000163512, 0.11403889999928651, 60.28567599999951, 60.26446719999876, 0.09681460000138031, 0.09768249999979162, 0.1423992999989423, 60.28216600000087, 60.30472500000178, 0.12623879999955534, 0.12035739999919315, 0.09559990000343532, 60.32283330000064, 0.1569510999979684, 60.30593249999947, 0.16568019999976968, 0.1329863999999361, 0.302736300000106, 0.1457668000002741, 0.16225000000122236, 0.137085999998817, 0.13546430000133114, 0.1636246999987634, 0.32355140000072424, 0.1414139000007708, 0.1641592000014498, 0.16887119999955758, 19.036208200002875, 0.11166289999891887, 0.1356407000021136, 0.11618929999895045, 0.13278879999779747, 17.130028800002037, 0.1437167000003683, 0.1234915999993973)","(0.034227699998155, 0.11592340000061085, 0.03839950000110548, 0.011442499999247957, 0.09013850000337698, 0.1729535999984364, 0.07319690000076662, 0.0449704999991809, 0.06346280000070692, 0.0539972000005946, 0.03676839999752701, 0.04932879999978468, 0.09513190000143368, 0.048163200000999495, 0.028742899998178473, 0.06096550000074785, 0.0388042000013229, 0.06037400000059279, 0.042806700002984144, 0.042683200001192745, 0.05701019999833079, 0.0443799000022409, 0.065641000001051, 0.06925659999978961, 0.13990130000092904, 0.05341739999857964, 0.13617909999811673, 0.01225979999799165, 0.06175459999940358, 0.043404000000009546, 0.08466449999832548, 0.029064400001516333, 0.10180050000053598, 0.08489840000038384, 0.11498050000227522, 0.05469490000177757, 0.44111720000000787, 0.03222420000020065, 0.07445130000269273, 0.06471840000085649, 0.021009099997172598, 0.27818480000132695, 0.020410299999639392, 0.0605016000008618)","(12, 8, 5, 4, 11, 50, 14, 4, 5, 10, 4, 4, 8, 4, 4, 6, 4, 4, 7, 4, 6, 6, 12, 4, 20, 4, 20, 4, 4, 13, 9, 4, 16, 19, 10, 7, 96, 4, 6, 7, 4, 59, 4, 6)"
base domain - no repair,"[0, 0, 0, 0, 1, 1, 1, 2, 2, 3, 4, 5, 5, 5, 6, 7, 7, 7, 7, 8, 9, 9, 9, 9, 9, 9, 10, 10, 10, 10, 11, 12, 12, 12, 13, 13, 13, 13, 13, 13, 13, 13, 14, 14, 14, 14, 14, 15, 15, 16, 16]",-1,"(0.12078029999975115, 0.1427086000003328, 0.1318656999974337, 0.14172129999860772, 0.12574970000059693, 0.10404080000080285, 0.12954719999834197, 0.12309630000163452, 0.1457884000010381, 0.09675590000188095, 0.14608949999819743, 0.10849129999769502, 0.13727360000120825, 0.15578929999901447, 0.14595900000131223, 0.1299777999993239, 0.09744750000027125, 0.12220399999932852, 0.08787519999896176, 0.12767410000014934, 0.12799309999900288, 0.141839699997945, 0.09306170000127167, 0.15314819999912288, 0.12984480000159238, 0.10986480000065058, 0.1030899999968824, 0.12010910000026342, 0.14822590000039781, 0.13606090000030235, 0.12426769999729004, 0.12877410000146483, 0.1013609000001452, 0.14636890000110725, 0.09481880000021192, 0.12276589999964926, 0.12747500000114087, 0.1380105000025651, 0.13905410000006668, 0.14892859999963548, 0.11455099999875529, 0.12527349999800208, 0.10549890000038431, 0.12985010000193142, 0.10580939999999828, 0.09852470000259927, 0.12167410000256496, 0.1251358999979857, 0.14772500000253785, 0.12739670000155456)","(0.03098880000106874, 0.03722869999910472, 0.06244630000219331, 0.011031499998352956, 0.053210599999147234, 0.05867170000055921, 0.04309090000242577, 0.06293659999937518, 0.049891299997398164, 0.030244200002925936, 0.01298760000281618, 0.036656500000390224, 0.08189829999901121, 0.0574425999984669, 0.021642899999278598, 0.05088859999887063, 0.047827200000028824, 0.05864540000038687, 0.033015499997418374, 0.051819100001011975, 0.05786970000190195, 0.04102490000150283, 0.08617789999698289, 0.04830529999890132, 0.057260599998699035, 0.05723029999717255, 0.05780349999986356, 0.07689320000281441, 0.06735560000015539, 0.014126299996860325, 0.06344069999977364, 0.09843769999861252, 0.0938841000024695, 0.025781499996810453, 0.04888090000167722, 0.06514120000065304, 0.03632840000136639, 0.07287649999852874, 0.043341500000678934, 0.07823030000145081, 0.046926700000767596, 0.009078499999304768, 0.07143550000182586, 0.037701699999161065, 0.04986749999807216, 0.0278167000033136, 0.010051900000689784, 0.06618230000094627, 0.023458799998479662, 0.029395000001386506)","(4, 8, 4, 4, 8, 4, 4, 4, 4, 4, 4, 4, 8, 4, 4, 5, 4, 4, 6, 4, 4, 6, 7, 4, 4, 4, 4, 4, 4, 4, 4, 8, 8, 4, 4, 4, 7, 5, 8, 4, 4, 4, 4, 6, 5, 4, 4, 7, 4, 5)"
all monomials repair,"[0, 0, 0, 0, 1, 1, 1, 2, 2, 3, 4, 5, 5, 5, 6, 7, 8, 8, 8, 9, 10, 11, 11, 12, 12, 13, 14, 14, 15, 15, 16, 17, 18, 19, 20, 20, 21, 22, 22, 23, 24, 25, 26, 26, 26, 27, 28, 29, 30, 31, 32]",-1,"(0.10675429999901098, 0.13277860000016517, 0.1421273999985715, 0.1475825999987137, 0.1037317999980587, 0.11832090000098106, 0.2552642000009655, 0.1207326000003377, 0.14184369999929913, 0.16745760000048904, 0.14688250000108383, 0.07111770000119577, 0.06744630000321195, 0.07121619999816176, 0.06855809999979101, 0.06842080000205897, 0.06888569999864558, 0.0728951999990386, 0.06744809999872814, 0.06625369999892428, 0.06518299999879673, 0.07811810000202968, 0.07950930000151857, 0.06612619999941671, 0.07720500000141328, 0.07114569999976084, 0.06718270000055782, 0.1357257000017853, 0.073159300001862, 0.06823390000135987, 0.07302579999668524, 0.0743423999992956, 0.06967699999950128, 0.06985939999867696, 0.06959830000050715, 0.15148709999994026, 0.09492239999963203, 0.06608929999856628, 0.07014580000031856, 0.0698298999996041, 9.26269179999872, 0.0684966999979224, 0.06904910000230302, 0.0720024000002013, 0.06788659999801894, 0.07164189999821247, 0.07099020000168821, 8.54249599999821, 0.0745768999986467, 0.07032949999847915)","(0.08838169999944512, 0.06689750000077765, 0.10682929999893531, 0.052453599997534184, 0.08141510000132257, 0.17455830000108108, 0.17640839999876334, 0.09434179999880143, 0.09409190000224044, 0.1683210000010149, 0.06484210000053281, 0.026233100001263665, 0.04030579999744077, 0.024535399999876972, 0.017269099997065496, 0.033106800001405645, 0.029172600003221305, 0.029109600000083447, 0.03176750000056927, 0.024773900000582216, 0.03490909999891301, 0.03199549999771989, 0.05944449999878998, 0.022616100002778694, 0.0943217000021832, 0.027360800002497854, 0.0255643999989843, 0.08728609999889159, 0.023191399999632267, 0.014715099998284131, 0.02317590000166092, 0.07084940000277129, 0.05403849999856902, 0.01688320000175736, 0.027075300000433344, 0.09314319999975851, 0.08448789999965811, 0.03220309999960591, 0.054551399996853434, 0.04754780000075698, 0.4810787000023993, 0.01571209999747225, 0.023726400002487935, 0.036750599996594246, 0.03464939999685157, 0.036718800001835916, 0.01633429999856162, 0.2695347999979276, 0.019229400000767782, 0.03492129999722238)","(4, 5, 4, 4, 8, 14, 11, 4, 5, 10, 4, 4, 8, 4, 4, 6, 4, 4, 7, 4, 6, 6, 12, 4, 20, 4, 4, 20, 4, 4, 4, 13, 9, 4, 4, 16, 19, 5, 10, 7, 96, 4, 4, 6, 6, 7, 4, 59, 4, 6)"
adaptive repair base,"[0, 0, 0, 0, 1, 2, 3, 4, 4, 5, 6, 7, 7, 7, 8, 9, 10, 10, 10, 11, 12, 13, 13, 14, 14, 15, 16, 16, 17, 17, 18, 19, 20, 21, 22, 22, 23, 24, 24, 25, 26, 27, 28, 28, 28, 29, 30, 31, 32, 33, 34]",-1,"(0.07293449999997392, 0.07092519999787328, 0.07392660000186879, 0.06896700000288547, 0.09760390000155894, 0.32588290000057896, 0.13736409999910393, 0.07164170000032755, 0.07192890000078478, 0.07671109999864711, 0.06715679999979329, 0.0688893000005919, 0.07010249999802909, 0.07054659999994328, 0.07019370000125491, 0.06760949999807053, 0.07665189999897848, 0.07897489999959362, 0.07128409999859286, 0.07436130000132835, 0.06833009999900241, 0.0682833999999275, 0.07708780000029947, 0.06756379999933415, 0.0811212999979034, 0.07115490000069258, 0.07430120000208262, 0.14364690000002156, 0.06751499999882071, 0.07021650000024238, 0.07321139999839943, 0.07531310000194935, 0.06964510000034352, 0.0704900999990059, 0.07154159999845433, 0.14234409999698983, 0.08698279999953229, 0.06652259999827947, 0.06934800000090036, 0.07335280000188504, 9.237078199999814, 0.07188519999908749, 0.06918669999868143, 0.06724750000284985, 0.07182250000187196, 0.0705880999994406, 0.0701201999982004, 8.460851100000582, 0.07321800000136136, 0.07220100000267848)","(0.021489399998245062, 0.05531719999999041, 0.02861739999934798, 0.026179899999988265, 0.22837279999657767, 0.2143303000011656, 0.06732069999998203, 0.02938890000223182, 0.03171629999997094, 0.05048910000186879, 0.020902699998259777, 0.025420299996767426, 0.04481830000077025, 0.025652500000433065, 0.01523079999969923, 0.03420170000026701, 0.057226400000217836, 0.030372299999726238, 0.037786100001540035, 0.029775300001347205, 0.03275739999662619, 0.03862260000096285, 0.07106489999932819, 0.025301300000137417, 0.09849680000115768, 0.03101980000064941, 0.03331299999990733, 0.10090700000000652, 0.02493760000288603, 0.014984100002038758, 0.024960999999166233, 0.06837539999833098, 0.050118400002247654, 0.015636200001608813, 0.02763540000159992, 0.08755930000188528, 0.08216940000056638, 0.031183600000076694, 0.04784440000003087, 0.039557500000228174, 0.45620380000036675, 0.019553300000552554, 0.02687579999837908, 0.036714000001666136, 0.043994499999826076, 0.0405369999971299, 0.017989900003158255, 0.2915032000018982, 0.01832040000226698, 0.03570639999816194)","(4, 8, 4, 4, 43, 32, 14, 4, 5, 10, 4, 4, 8, 4, 4, 6, 4, 4, 7, 4, 6, 6, 12, 4, 20, 4, 4, 20, 4, 4, 4, 13, 9, 4, 4, 16, 19, 5, 10, 7, 96, 4, 4, 6, 6, 7, 4, 59, 4, 6)"
adaptive repair + support for signature change,"[0, 0, 0, 0, 1, 2, 3, 4, 4, 5, 6, 7, 7, 7, 8, 9, 10, 10, 10, 11, 12, 13, 13, 14, 14, 15, 16, 16, 17, 17, 18, 19, 20, 21, 22, 22, 23, 24, 24, 25, 26, 27, 28, 28, 28, 29, 30, 31, 32, 33, 34]",-1,"(0.06938710000031278, 0.07124979999935022, 0.07232480000311625, 0.07281669999792939, 0.08306140000058804, 0.31386529999872437, 0.12976530000014463, 0.06913200000053621, 0.07159329999922193, 0.07184930000221357, 0.06712309999784338, 0.07142789999852539, 0.07236510000075214, 0.0724579999987327, 0.06909869999799412, 0.07014699999854201, 0.06591540000226814, 0.08397399999739719, 0.07256360000246787, 0.07105890000093495, 0.07196680000197375, 0.06748489999881713, 0.07462690000102157, 0.0684698999975808, 0.0777687000008882, 0.06862650000039139, 0.0701753999965149, 0.13979139999719337, 0.0666834999974526, 0.06903669999883277, 0.07269930000256863, 0.0839099000004353, 0.06837280000036117, 0.07308570000168402, 0.07474250000086613, 0.15213980000044103, 0.10133719999794266, 0.06940229999963776, 0.07048049999866635, 0.07226739999896381, 9.519398399999773, 0.06895509999958449, 0.0716878999992332, 0.06803320000108215, 0.06960410000101547, 0.0705022000001918, 0.07287689999793656, 8.293978199999401, 0.07144379999954253, 0.06731850000142003)","(0.028524099998321617, 0.04626260000077309, 0.03212659999917378, 0.03302260000054957, 0.250801499998488, 0.2248808000003919, 0.07088799999837647, 0.034733000000414904, 0.031226400002196897, 0.04420889999892097, 0.016821000001073116, 0.024951599996711593, 0.038981300000159536, 0.022962200000620214, 0.01525989999936428, 0.041129999997792765, 0.02943759999834583, 0.03086070000063046, 0.045716900000115857, 0.02389210000183084, 0.04043209999872488, 0.03588780000063707, 0.06285110000317218, 0.028887800002848962, 0.11202079999929992, 0.024179099997127196, 0.03099370000199997, 0.09814440000263858, 0.03260989999762387, 0.0162568999985524, 0.03204289999848697, 0.05908679999993183, 0.04932130000088364, 0.016973799996776506, 0.026849699999729637, 0.09350919999997132, 0.0966429000000062, 0.03224889999910374, 0.057231599999795435, 0.047824600002059015, 0.4907277000020258, 0.016981699998723343, 0.027756800001952797, 0.03381520000039018, 0.03468300000167801, 0.03970050000134506, 0.016429300001618685, 0.2519967000007455, 0.016313199997966876, 0.03147959999841987)","(4, 8, 4, 4, 43, 32, 14, 4, 5, 10, 4, 4, 8, 4, 4, 6, 4, 4, 7, 4, 6, 6, 12, 4, 20, 4, 4, 20, 4, 4, 4, 13, 9, 4, 4, 16, 19, 5, 10, 7, 96, 4, 4, 6, 6, 7, 4, 59, 4, 6)"
