Label,Score,Learned Model ID,planing time,execute & repair time,Plan Length
oracle,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",-1,"(0.10861779999686405, 0.1848387999998522, 0.1030862999978126, 0.13289769999391865, 0.1433582000026945, 0.10286720000294736, 0.1063231000007363, 0.1870984999986831, 0.12253530000452884, 0.10466969999833964, 0.1398962000021129, 0.10915229999955045, 0.10061429999768734, 0.17650480000156676, 0.13961969999945723, 0.09196969999902649, 0.1405266000001575, 0.1062716000014916, 0.10514130000228761, 0.14549930000066524, 0.0775701999955345, 0.09558210000250256, 0.07842390000587329, 0.1576361999977962, 0.11537369999859948, 0.08217820000572829, 0.10047230000054697, 0.15778020000288961, 0.16504319999512518, 0.16554670000186889, 0.1061658000035095, 0.1285998999956064, 0.1293807000038214, 0.1314574000061839, 0.0775599000044167, 0.09169989999645622, 0.12759890000597807, 0.09184000000095693, 0.12988380000024335, 0.10515550000127405, 0.09925429999566404, 0.12504549999721348, 0.11171720000129426, 0.11568589999660617, 0.13267590000032214, 0.15066909999586642, 0.15142349999950966, 0.09549210000113817, 0.15196779999678256, 0.10331760000553913)","(0.013511600001947954, 0.040941699997347314, 0.019342499996128026, 0.029634699996677227, 0.026781500004290137, 0.01567550000618212, 0.01977900000201771, 0.04065999999875203, 0.029093999997712672, 0.019199599999410566, 0.024225599998317193, 0.01629710000270279, 0.014784499995585065, 0.03128930000093533, 0.02602599999954691, 0.018701799999689683, 0.028380800002196338, 0.011828100003185682, 0.013971899999887682, 0.01987850000296021, 0.017408899999281857, 0.013231600001745392, 0.015512400001171045, 0.027491399996506516, 0.023987500004295725, 0.015887100002146326, 0.018996799997694325, 0.025639999999839347, 0.03221019999909913, 0.03933790000155568, 0.01707200000237208, 0.02464969999709865, 0.02147990000230493, 0.020970699995814357, 0.01311590000113938, 0.011635999995633028, 0.0210155999957351, 0.01823819999845, 0.028491199998825323, 0.012008199999399949, 0.017527600000903476, 0.024384799995459616, 0.012262000003829598, 0.026794000004883856, 0.01950370000122348, 0.024135700004990213, 0.032957000003079884, 0.015428899998369161, 0.03601440000056755, 0.0172796000042581)","(25, 50, 28, 35, 40, 24, 25, 50, 35, 28, 35, 25, 25, 50, 43, 25, 42, 22, 24, 35, 25, 24, 25, 43, 33, 24, 27, 39, 52, 52, 28, 36, 39, 36, 25, 20, 36, 24, 43, 21, 28, 40, 20, 32, 35, 36, 52, 27, 50, 32)"
base domain - no repair,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1,"(0.08602959999552695, 0.09905750000325497, 0.09385209999891231, 0.10311199999705423, 0.08197459999792045, 0.08254409999790369, 0.10790560000168625, 0.09775480000098469, 0.10276999999769032, 0.0958604000043124, 0.07963200000085635, 0.0799098000061349, 0.09158130000287201, 0.09689359999902081, 0.08280679999734275, 0.09557520000089426, 0.08077190000039991, 0.07853109999996377, 0.07648679999692831, 0.10895100000197999, 0.11854209999728482, 0.07871590000286233, 0.10193579999759095, 0.10642050000024028, 0.08911489999445621, 0.08163710000371793, 0.09582110000337707, 0.0839434999943478, 0.09553199999936623, 0.08980119999614544, 0.08849509999708971, 0.08427490000030957, 0.08161219999601599, 0.0848275999960606, 0.10356019999744603, 0.07920249999733642, 0.08596770000440301, 0.1004899999970803, 0.07945360000303481, 0.07336489999579499, 0.096465900001931, 0.08246800000051735, 0.07647390000056475, 0.10416900000564056, 0.08303580000210786, 0.07758089999697404, 0.09573369999998249, 0.10428689999389462, 0.09425940000073751, 0.09525299999950221)","(0.015765600001032, 0.03491119999671355, 0.027549200000066776, 0.0209915999948862, 0.02476849999948172, 0.014955300001020078, 0.029863099996873643, 0.04073629999766126, 0.028846499997598585, 0.02323679999972228, 0.026318899996113032, 0.011327799998980481, 0.0204686000070069, 0.03924830000323709, 0.023553099999844562, 0.020341200004622806, 0.02576489999773912, 0.008553100000426639, 0.009599199998774566, 0.028000099999189842, 0.024955799999588635, 0.008738700002140831, 0.02071359999536071, 0.03337209999881452, 0.024215499994170386, 0.018271899993123952, 0.019196400004148018, 0.028606799998669885, 0.03904270000202814, 0.03944140000385232, 0.020694999999250285, 0.03630169999814825, 0.023375999997369945, 0.03585699999530334, 0.02126029999635648, 0.009853900002781302, 0.037882600001466926, 0.019799499998043757, 0.02108540000335779, 0.010796399998071138, 0.023378300000331365, 0.021699599994462915, 0.008300599998619873, 0.021618500002659857, 0.018484000000171363, 0.025124300002062228, 0.039524199994048104, 0.02560789999552071, 0.0407989000013913, 0.026542200001131278)","(19, 35, 24, 24, 25, 18, 27, 35, 31, 24, 23, 14, 26, 35, 25, 26, 25, 14, 13, 23, 27, 14, 27, 35, 26, 22, 24, 24, 35, 34, 26, 30, 24, 32, 27, 14, 32, 23, 25, 13, 24, 25, 14, 25, 24, 24, 34, 26, 35, 26)"
all monomials repair,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 3, 3, 3, 4, 4, 5, 6, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36]",-1,"(0.08478009999817004, 0.09349189999920782, 0.15085659999749623, 0.2297991000014008, 7.319277299997339, 0.09270060000562808, 0.10179600000265054, 0.09395319999748608, 19.377853300000424, 0.1324553999947966, 8.499585300000035, 0.08059919999504928, 0.15552990000287537, 2.1220307999974466, 0.2249082999987877, 0.08524659999966389, 2.576288800002658, 0.36910229999921285, 0.25027000000409316, 0.30098630000429694, 0.09817260000272654, 0.2348813999997219, 0.11041190000105416, 4.479643300001044, 2.3659969000000274, 0.09791430000041146, 0.09448059999704128, 0.4501391999947373, 0.4486564000035287, 0.41769709999789484, 0.09462440000061179, 0.12393039999733446, 0.28388519999862183, 0.120673599994916, 0.0792312999983551, 0.20557869999902323, 0.12767639999947278, 0.08078099999693222, 0.35302759999467526, 0.23359650000202237, 0.09291849999863189, 0.42715189999580616, 0.22834310000325786, 0.39425520000077086, 0.3136307999957353, 0.3717354000036721, 0.43385829999897396, 0.09472190000087721, 0.7233064000029117, 0.37999349999881815)","(0.03821400000015274, 0.08051159999740776, 0.05390189999889117, 0.12712330000067595, 0.19906649999757065, 0.04542080000101123, 0.06506300000182819, 0.08619020000332966, 0.07753089999459917, 0.15191179999965243, 0.07457060000160709, 0.057906800000637304, 0.15702500000043074, 0.09841640000377083, 0.07822609999857377, 0.15347350000229198, 0.09275539999362081, 0.14007880000281148, 0.13758560000133002, 0.08309860000008484, 0.1632612000030349, 0.14283440000144765, 0.19061830000282498, 0.3059567000018433, 0.24785490000067512, 0.17622490000212565, 0.19274890000087908, 0.3439751999976579, 0.45039120000001276, 0.4885227999984636, 0.24602220000087982, 0.32518599999457365, 0.3852407000013045, 0.3423382999972091, 0.23827709999750368, 0.18963229999644682, 0.35819830000400543, 0.23655879999569152, 0.4765639999968698, 0.22432169999956386, 0.293500399995537, 0.4522161999993841, 0.22523190000356408, 0.37194950000412064, 0.4212980000011157, 0.47992969999904744, 0.7151083999997354, 0.34419180000259075, 0.6931226000015158, 0.44699089999630814)","(19, 35, 20, 95, 40, 18, 27, 35, 31, 27, 35, 14, 28, 43, 32, 25, 39, 22, 24, 33, 25, 24, 25, 43, 33, 24, 27, 39, 52, 52, 28, 36, 39, 36, 25, 20, 36, 24, 43, 21, 28, 40, 20, 32, 35, 36, 52, 27, 50, 32)"
adaptive repair base,"[0, 0, 0, 0, 1, 1, 2, 3, 4, 5, 6, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]",11,"(0.0836572000043816, 0.09654719999525696, 0.08550119999563321, 0.6272921000054339, 0.08119609999994282, 0.1054839999997057, 0.07830400000239024, 0.30814529999770457, 0.1375975999981165, 0.10867200000211596, 0.08212310000089929, 0.10444209999695886, 0.08094449999771314, 0.15821839999989606, 0.1262808999963454, 0.08273300000291783, 0.1307438000003458, 0.1035976000057417, 0.10283119999803603, 0.11784400000033202, 0.08150670000031823, 0.10220059999846853, 0.08072750000428641, 0.1322377000033157, 0.10252840000612196, 0.08257180000509834, 0.09399069999926724, 0.12837329999456415, 0.14634099999966566, 0.14885879999928875, 0.08356810000259429, 0.11243329999706475, 0.11357500000303844, 0.1127215000014985, 0.081204300004174, 0.10220750000007683, 0.10657739999442128, 0.07690970000112429, 0.13206490000447957, 0.11008749999746215, 0.08963410000433214, 0.12260359999345383, 0.08860060000006342, 0.11623749999853317, 0.11965159999817843, 0.12438880000263453, 0.14267999999719905, 0.0829070000036154, 0.17907849999755854, 0.10028640000382438)","(0.045669099999940954, 0.07240379999711877, 0.06735859999753302, 0.14306900000519818, 0.06031010000151582, 0.06490019999910146, 0.08267720000003465, 0.2284505999996327, 0.14989439999772003, 0.1436799000002793, 0.06721470000047702, 0.06667710000328952, 0.07402830000501126, 0.17528450000099838, 0.1359435999984271, 0.08195499999419553, 0.12796159999561496, 0.0535740999985137, 0.06310029999440303, 0.11078799999813782, 0.08438209999440005, 0.06318189999728929, 0.07924330000241753, 0.15160360000299988, 0.09616240000468679, 0.07583120000344934, 0.09614590000273893, 0.1232462999978452, 0.1860644000043976, 0.19229900000209454, 0.08516619999863906, 0.11660829999891575, 0.11813780000375118, 0.13437909999629483, 0.07108449999941513, 0.05072130000189645, 0.1328877999985707, 0.0769289999952889, 0.13879160000215052, 0.055559599997650366, 0.08703529999911552, 0.12976049999997485, 0.05201660000602715, 0.10620550000021467, 0.10395150000113063, 0.11150749999796972, 0.1783456999983173, 0.10935199999948964, 0.18000329999631504, 0.09950630000093952)","(19, 35, 24, 35, 25, 24, 25, 50, 35, 28, 23, 25, 25, 50, 43, 25, 42, 22, 24, 35, 25, 24, 25, 43, 33, 24, 27, 39, 52, 52, 28, 36, 39, 36, 25, 20, 36, 24, 43, 21, 28, 40, 20, 32, 35, 36, 52, 27, 50, 32)"
adaptive repair + support for signature change,"[0, 0, 0, 0, 1, 1, 2, 3, 4, 5, 6, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]",11,"(0.0877388000008068, 0.10641160000523087, 0.09552939999412047, 0.7463712000026135, 0.08953479999763658, 0.10755079999944428, 0.08039009999629343, 0.2895206000030157, 0.1289290999993682, 0.10300680000364082, 0.08109020000119926, 0.10003940000024159, 0.0800161000006483, 0.1633540999973775, 0.1279121000043233, 0.07704879999801051, 0.13412249999964843, 0.10466409999935422, 0.09952619999967283, 0.12613540000165813, 0.07603609999932814, 0.10379100000136532, 0.07925329999852693, 0.1363777000005939, 0.11808290000044508, 0.08154669999930775, 0.08806400000321446, 0.13600649999716552, 0.1501575000002049, 0.14091149999876507, 0.08370600000489503, 0.11441049999848474, 0.11644330000126502, 0.11097519999748329, 0.079223999993701, 0.09687720000511035, 0.10785679999389686, 0.0793067000049632, 0.13569830000051297, 0.10341290000360459, 0.08794050000142306, 0.1307578000050853, 0.09580680000362918, 0.11298830000305315, 0.12101049999910174, 0.12238119999528863, 0.1474854000043706, 0.08501480000268202, 0.16226389999792445, 0.10180109999782871)","(0.05263030000060098, 0.09150719999888679, 0.07795569999871077, 0.16244349999760743, 0.06619109999883221, 0.06711299999733455, 0.08049319999554427, 0.23553330000140704, 0.16070739999850048, 0.15125690000422765, 0.0625478000001749, 0.07368200000200886, 0.0730598000009195, 0.18710120000469033, 0.14817939999920782, 0.07865709999896353, 0.11964390000503045, 0.0641888000027393, 0.06026940000447212, 0.11348820000421256, 0.07221369999751914, 0.06512250000378117, 0.07624070000019856, 0.15575459999672603, 0.12270379999972647, 0.07068319999962114, 0.0827592999994522, 0.12609040000097593, 0.19374830000015208, 0.19057659999816678, 0.08429100000648759, 0.12808550000045216, 0.1352474999948754, 0.13423250000050757, 0.07348250000359258, 0.04900840000482276, 0.12892209999699844, 0.07844679999834625, 0.14136309999594232, 0.05146070000046166, 0.08865209999930812, 0.12934880000102567, 0.05186629999661818, 0.09845239999413025, 0.10686509999504779, 0.11452350000035949, 0.19389219999720808, 0.12808859999495326, 0.18527280000125756, 0.09440380000160076)","(19, 35, 24, 35, 25, 24, 25, 50, 35, 28, 23, 25, 25, 50, 43, 25, 42, 22, 24, 35, 25, 24, 25, 43, 33, 24, 27, 39, 52, 52, 28, 36, 39, 36, 25, 20, 36, 24, 43, 21, 28, 40, 20, 32, 35, 36, 52, 27, 50, 32)"
