Label,Score,Learned Model ID,planing time,execute & repair time,Plan Length
oracle,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",-1,"(0.2386966000776738, 0.09977849991992116, 0.42317950003780425, 0.3900776000227779, 1.148816600209102, 0.20912929996848106, 0.12987489998340607, 0.1701191000174731, 1.9464167999103665, 0.2413679000455886, 0.16417969996109605, 0.17351799993775785, 0.19993910007178783, 0.08206370007246733, 0.29888819996267557, 1.6273229999933392, 0.38374709989875555, 0.12479749997146428, 0.5259340000338852, 4.810115400003269, 0.1646052000578493, 0.45328959985636175, 0.15226630005054176, 1.9677889999002218, 0.19666339992545545, 0.16712479991838336, 0.45747600006870925, 0.18043139996007085, 0.09554480016231537, 0.0770039998460561, 0.42557149985805154, 0.08139619999565184, 1.3403284999076277, 1.2069325000047684, 0.07688549999147654, 0.0825702000875026, 1.19592299987562, 0.14673030003905296, 0.9690060000866652, 0.07387030008248985, 0.1371387999970466, 1.1364379001315683, 1.221891599940136, 0.16265610000118613, 0.09152530017308891, 1.1555174998939037, 0.3972958999220282, 0.4609016999602318, 1.14399280003272, 0.45033230003900826)","(0.003466100199148059, 0.003504500025883317, 0.003248700173571706, 0.0044386000372469425, 0.003164200112223625, 0.005290900124236941, 0.003217700170353055, 0.0036241000052541494, 0.0035584999714046717, 0.004370999988168478, 0.0034225000999867916, 0.0031604000832885504, 0.003707899944856763, 0.003106700023636222, 0.0035082001704722643, 0.003694299841299653, 0.005217900034040213, 0.006191499996930361, 0.003413100028410554, 0.004438299918547273, 0.003208500100299716, 0.003474900033324957, 0.0030667998362332582, 0.003541500074788928, 0.003558899974450469, 0.0033684999216347933, 0.003498600097373128, 0.0034803999587893486, 0.0032885000109672546, 0.0038398001343011856, 0.003130500204861164, 0.0032295999117195606, 0.003385400166735053, 0.003455699887126684, 0.0030088000930845737, 0.003143100067973137, 0.00311150006018579, 0.0032110000029206276, 0.0030894000083208084, 0.003122400026768446, 0.0032810999546200037, 0.00313479988835752, 0.003321500029414892, 0.003155200043693185, 0.003634900087490678, 0.003696200205013156, 0.003141700057312846, 0.0034441999159753323, 0.0035421999637037516, 0.0038713000249117613)","(13, 14, 12, 12, 12, 14, 12, 13, 13, 16, 13, 12, 14, 12, 13, 14, 21, 25, 13, 17, 12, 13, 12, 13, 14, 13, 13, 13, 12, 15, 12, 12, 13, 13, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 14, 12, 12, 12, 12, 12)"
base domain - no repair,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1,"(0.06416440010070801, 0.06306360010057688, 0.10093320021405816, 0.06688039982691407, 0.06435050000436604, 0.06091460003517568, 0.07452080002985895, 0.06639849999919534, 0.0709347000811249, 0.07746930001303554, 0.0653993000742048, 0.06877380004152656, 0.07464700005948544, 0.06718640006147325, 0.06690040021203458, 0.07483830000273883, 0.06775559997186065, 0.12385490001179278, 0.1022272000554949, 0.08945560012944043, 0.09963780012913048, 0.0647494001314044, 0.0734455999918282, 0.07154470006935298, 0.06767280003987253, 0.06612730002962053, 0.07774520013481379, 0.06715679983608425, 0.07463790010660887, 0.0742985000833869, 0.0648317001760006, 0.09662219998426735, 0.07387640001252294, 0.07011979981325567, 0.07291699992492795, 0.07562529994174838, 0.06320089986547828, 0.07023690012283623, 0.07542290003038943, 0.0635049999691546, 0.07511719991452992, 0.0809934998396784, 0.0647697001695633, 0.12777729984372854, 0.08701199991628528, 0.0643575000576675, 0.08043550001457334, 0.07614600006490946, 0.06540879979729652, 0.07460779999382794)","(0.004930200055241585, 0.002770000137388706, 0.003458899911493063, 0.0030025001615285873, 0.002877000020816922, 0.003969300072640181, 0.003177299862727523, 0.003404600080102682, 0.0035814999137073755, 0.0029586998280137777, 0.0028307000175118446, 0.0034956999588757753, 0.003588399849832058, 0.002692400012165308, 0.0033865999430418015, 0.0036017000675201416, 0.002926400164142251, 0.0034486001823097467, 0.003535500029101968, 0.0032246001064777374, 0.003396200016140938, 0.003080100053921342, 0.003698799991980195, 0.0030815000645816326, 0.0030294000171124935, 0.0031558999326080084, 0.003329100087285042, 0.0030739998910576105, 0.005009399959817529, 0.003080100053921342, 0.004852699814364314, 0.0034547001123428345, 0.002972099930047989, 0.0029032998718321323, 0.0037646000273525715, 0.0027103000320494175, 0.00292599992826581, 0.0034296999219805002, 0.0029955001082271338, 0.0029298998415470123, 0.004606900038197637, 0.0028060998301953077, 0.003036899957805872, 0.0036983999889343977, 0.0027834998909384012, 0.002868700074031949, 0.0029744000639766455, 0.002919499995186925, 0.002998200012370944, 0.0035308999940752983)","(11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11)"
all monomials repair,"[0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 3, 3, 4, 5, 6, 6, 6, 6, 6, 6, 6, 7, 7, 7, 8, 9, 9, 10, 11, 12, 13, 14, 15, 15, 15, 16, 17, 17, 18, 19, 20, 21, 21, 22, 23, 24, 25, 26, 27, 27, 27]",-1,"(0.09593919990584254, 0.12651850003749132, 0.14373030001297593, 0.1467063999734819, 0.29164459998719394, 0.6727541000582278, 0.28055280004628, 0.2215090999379754, 0.4486364999320358, 0.45692129991948605, 0.6075613999273628, 0.5001666999887675, 0.4729644001927227, 0.3004940999671817, 0.2885249999817461, 0.31620620004832745, 0.34062639996409416, 0.3952663999516517, 0.34657780011184514, 0.28296690015122294, 0.5212656001094729, 0.47272060019895434, 0.3403467999305576, 0.5501421000808477, 0.4610196999274194, 0.5878544000443071, 0.4774305000901222, 0.5713945999741554, 0.3202535000164062, 0.5983444000594318, 0.5669050000142306, 0.636939899995923, 0.519888199865818, 0.4832931000273675, 0.5304499000776559, 0.5752073000185192, 0.5588563000783324, 0.4282338998746127, 0.5456343998666853, 0.4901795000769198, 0.326237800065428, 0.4979783999733627, 0.5585290000308305, 0.6932411999441683, 0.5907918999437243, 0.5526504998560995, 0.5641224000137299, 0.44065840006805956, 0.5908017999026924, 0.48135010013356805)","(0.014909700024873018, 0.022591799963265657, 0.009281500009819865, 0.00623759999871254, 0.026080199982970953, 0.02686760015785694, 0.021229800069704652, 0.04663969995453954, 0.041010300163179636, 0.052326800068840384, 0.0429905999917537, 0.06058560009114444, 0.04757949989289045, 0.04267970006912947, 0.0355360999237746, 0.04483800008893013, 0.05737100006081164, 0.08949380018748343, 0.05350619996897876, 0.05591460014693439, 0.081636399962008, 0.07016559992916882, 0.08440629998221993, 0.0877320000436157, 0.09122999990358949, 0.09096170007251203, 0.09077999996952713, 0.15995820006355643, 0.09506469988264143, 0.09294220013543963, 0.11050250008702278, 0.11340079992078245, 0.08675929997116327, 0.09990589995868504, 0.11596349999308586, 0.12471510004252195, 0.11104240012355149, 0.1224881000816822, 0.14285479998216033, 0.12682779994793236, 0.12634230009280145, 0.1258372999727726, 0.13877660012803972, 0.15689199999906123, 0.14097319985739887, 0.14941449998877943, 0.14700699993409216, 0.15599010000005364, 0.14921050006523728, 0.15138880000449717)","(11, 13, 10, 9, 12, 14, 13, 16, 15, 16, 15, 15, 14, 13, 13, 14, 15, 15, 14, 14, 16, 15, 15, 16, 15, 16, 15, 16, 15, 15, 16, 16, 14, 15, 16, 16, 15, 15, 15, 15, 15, 15, 15, 16, 15, 15, 15, 15, 15, 15)"
adaptive repair base,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 2, 2, 3, 4, 4, 5, 5, 5, 6, 6, 7, 7, 8, 9, 10, 11, 12, 13, 14, 15, 15, 15, 16, 16, 17, 18, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 27, 28, 29, 30]",-1,"(0.10655570006929338, 0.1635420999955386, 0.14384869998320937, 0.12320429994724691, 0.16848200000822544, 0.07432530005462468, 0.2554849998559803, 0.06617669994011521, 0.11838640016503632, 0.255388000048697, 0.17902180016972125, 0.15390280005522072, 0.19564269995316863, 0.179166299989447, 0.22454930003732443, 0.22378439991734922, 0.29052539984695613, 0.30935580004006624, 0.23981629987247288, 0.29075690009631217, 0.529411899857223, 0.5303766001015902, 0.4672218000050634, 0.4307617999147624, 0.6274322001263499, 0.40824749995954335, 0.42034139996394515, 0.4693507000338286, 0.5139870001003146, 0.5553948997985572, 0.6511113001033664, 0.4953896999359131, 0.5964774999301881, 0.441243999870494, 0.5039674998261034, 0.5681257999967784, 0.31217460008338094, 0.48944969987496734, 0.5192356000188738, 0.7090048999525607, 0.6100799001287669, 0.6025475000496954, 0.5141918999142945, 0.5210866001434624, 0.5367558998987079, 0.49918880010955036, 0.5989875001832843, 0.6558712001424283, 0.5329595000948757, 0.4638697002083063)","(0.016344700008630753, 0.03305019997060299, 0.06998270004987717, 0.03146920003928244, 0.11450839997269213, 0.03360319999046624, 0.05184760014526546, 0.02948529995046556, 0.03816120000556111, 0.066774400183931, 0.10467740008607507, 0.08493499993346632, 0.08310560020618141, 0.08296739985235035, 0.06910500000230968, 0.10195310018025339, 0.11025339993648231, 0.12870340002700686, 0.10920460009947419, 0.09777559991925955, 0.13568460009992123, 0.0852099999319762, 0.11526009999215603, 0.11465309979394078, 0.12214150000363588, 0.10754760005511343, 0.106540999840945, 0.13083190005272627, 0.1209336998872459, 0.12365580000914633, 0.14131540013477206, 0.13666369998827577, 0.13953020004555583, 0.15498330001719296, 0.1878581999335438, 0.19722099998034537, 0.1319365999661386, 0.18007340002804995, 0.1614928999915719, 0.19455119990743697, 0.2318923999555409, 0.22949100006371737, 0.20031949994154274, 0.18142080004327, 0.20089590013958514, 0.19020529999397695, 0.1942636000458151, 0.2618293999694288, 0.19981730007566512, 0.248717799782753)","(11, 13, 12, 11, 21, 11, 14, 11, 11, 15, 17, 16, 15, 14, 14, 16, 17, 18, 16, 15, 17, 14, 15, 15, 15, 14, 14, 15, 15, 15, 16, 15, 15, 16, 17, 17, 14, 16, 15, 16, 17, 17, 15, 15, 15, 15, 15, 17, 15, 16)"
adaptive repair + support for signature change,"[0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]",-1,"(0.07334609981626272, 0.13550089998170733, 0.12339089997112751, 0.07526730000972748, 0.06582360016182065, 0.1488137999549508, 0.14566019992344081, 0.1088686001021415, 0.07743249996565282, 0.12680110009387136, 0.11825480009429157, 0.06833959999494255, 0.06270370003767312, 13.997042200062424, 0.0640877999830991, 0.061889100121334195, 22.922838300000876, 5.744743800023571, 0.06970639992505312, 0.06471280008554459, 0.06746409996412694, 0.0672844999935478, 0.0652560000307858, 0.06517870002426207, 0.06576210004277527, 0.11536699999123812, 8.43040549987927, 0.0653379000723362, 0.06465750001370907, 24.65154800005257, 0.06910379999317229, 0.09268200001679361, 0.06390479998663068, 0.06626380002126098, 0.062205699970945716, 0.07770660007372499, 0.06923809996806085, 0.06994739989750087, 0.06771630002185702, 0.11771460017189384, 0.13933219993487, 0.06730730016715825, 0.06426939996890724, 0.06709520006552339, 4.583665599813685, 0.06446309993043542, 5.13673589983955, 0.09507889999076724, 0.06495680008083582, 0.06650010007433593)","(0.015618199948221445, 0.04968699999153614, 0.02592720021493733, 0.020643799798563123, 0.022452499950304627, 0.08004279993474483, 0.056199599988758564, 0.025750399800017476, 0.018999699968844652, 0.024949299870058894, 0.0171936999540776, 0.022701199864968657, 0.02261690003797412, 0.009195000166073442, 0.021152399946004152, 0.021906299982219934, 0.04735449980944395, 0.01891270000487566, 0.031111800111830235, 0.025286699878051877, 0.02953849988989532, 0.030967099824920297, 0.027121199993416667, 0.021438200026750565, 0.013830799842253327, 0.02885890007019043, 0.03396470006555319, 0.026554600102826953, 0.025631400058045983, 0.03526669996790588, 0.04054850013926625, 0.02379889995791018, 0.027602399932220578, 0.025112600065767765, 0.02917569992132485, 0.03197779995389283, 0.027185099897906184, 0.028705100063234568, 0.0162090000230819, 0.008202000055462122, 0.027979600010439754, 0.01977499993517995, 0.026530100032687187, 0.02501890016719699, 0.026083300122991204, 0.026490699965506792, 0.02811509999446571, 0.03017409984022379, 0.028269000118598342, 0.029337899992242455)","(11, 15, 11, 11, 11, 17, 14, 13, 11, 11, 10, 11, 11, 9, 11, 11, 14, 10, 11, 11, 11, 11, 11, 11, 11, 12, 13, 11, 11, 12, 11, 11, 11, 11, 11, 11, 11, 11, 11, 9, 12, 11, 11, 11, 11, 11, 11, 11, 11, 11)"
adaptive repair + support for signature change with milp,"[0, 0, 0, 0, 0, 1, 1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",9,"(0.06571759982034564, 0.10865400009788573, 0.1056812999304384, 0.13034139992669225, 0.12853380013257265, 0.06737830000929534, 0.13741239998489618, 0.10007659997791052, 0.19215049990452826, 0.25915669999085367, 0.21613389998674393, 0.21860560006462038, 0.23957690014503896, 0.13813580013811588, 0.38310309988446534, 1.7660000000614673, 0.3949756999500096, 0.2193537000566721, 0.6029785999562591, 5.423758399905637, 0.19337640004232526, 0.5583496999461204, 0.2089870001655072, 2.1280278998892754, 0.21705299988389015, 0.17786289984360337, 0.49955060007050633, 0.1976739999372512, 0.08862890000455081, 0.08623660006560385, 0.46254039998166263, 0.13718340010382235, 1.4333142000250518, 1.2368239997886121, 0.07809259998612106, 0.08156039984896779, 1.2490616000723094, 0.16323620011098683, 1.0231844000518322, 0.08199229999445379, 0.14905090001411736, 1.1678248001262546, 1.2480190000496805, 0.23562050005421042, 0.11253720009699464, 1.2243035999126732, 0.4165233999956399, 0.46956830006092787, 1.0918587998021394, 0.44445419986732304)","(0.0161380001809448, 0.03048430010676384, 0.014834699919447303, 0.012002200121060014, 0.03677240014076233, 0.026108500082045794, 0.04338579997420311, 0.12449509999714792, 203.599878200097, 0.02247999981045723, 0.018715099897235632, 0.020618799841031432, 0.019197799963876605, 0.022796900011599064, 0.01881090016104281, 0.018985599977895617, 0.026112299878150225, 0.032964699901640415, 0.01860180008225143, 0.024505200097337365, 0.018634499981999397, 0.02562989993020892, 0.018758999882265925, 0.018029000144451857, 0.022185100009664893, 0.02415620000101626, 0.017044699983671308, 0.023584199836477637, 0.015627299901098013, 0.02448830008506775, 0.015765199903398752, 0.020265200175344944, 0.01659690006636083, 0.018350700149312615, 0.014580199960619211, 0.019356299890205264, 0.02013380010612309, 0.015820200089365244, 0.01938660000450909, 0.016221300000324845, 0.01974410004913807, 0.016101500019431114, 0.016454099910333753, 0.016212200047448277, 0.01977629982866347, 0.017285400070250034, 0.015587299829348922, 0.01762499986216426, 0.017637500073760748, 0.020757899852469563)","(11, 13, 10, 9, 12, 11, 13, 18, 19, 16, 13, 12, 14, 12, 13, 14, 21, 25, 13, 17, 12, 13, 12, 13, 14, 13, 13, 13, 12, 15, 12, 12, 13, 13, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 14, 12, 12, 12, 12, 12)"
