Label,Score,Learned Model ID,planing time,execute & repair time,Plan Length
oracle,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",-1,"(0.18239510001149029, 0.5192550999927334, 4.651824500004295, 2.6941836000187322, 0.9015130000188947, 1.7575695000123233, 0.12214500003028661, 0.18412839999655262, 2.232136799953878, 0.6836723000160418, 0.17911299999104813, 0.09152449999237433, 0.22300080000422895, 0.10917569999583066, 0.49519990000408143, 0.08422990003600717, 1.539124200004153, 0.19358610000927, 2.4030778000014834, 0.995163599960506, 0.7897451000171714, 3.0354097000090405, 0.09035000001313165, 0.5571245000464842, 1.5555015999707393, 1.690234399982728, 2.353743899962865, 1.0486178999999538, 0.7606098999967799, 1.486126100004185, 5.575639799993951, 2.2580277999513783, 2.54074969998328, 0.6023581000044942, 2.594773199991323, 1.8176935999654233, 0.8453823000309058, 0.21800950000761077, 0.680069399997592, 0.4760630000382662, 0.6535227000131272, 0.10131499997805804, 3.794641600048635, 1.6106791000347584, 0.11245800001779571, 0.21017789997858927, 4.3819190000067465, 0.32428250001976267, 1.0334190999856219, 1.6084573999978602)","(0.005193499964661896, 0.004281000001356006, 0.019114700029604137, 0.005572000052779913, 0.004708799999207258, 0.004562699992675334, 0.0054076999658718705, 0.005177000013645738, 0.004851300036534667, 0.006035500031430274, 0.004876999999396503, 0.004455899994354695, 0.0045563000021502376, 0.0049795000231824815, 0.007715400017332286, 0.004202099982649088, 0.006546399963553995, 0.0053032999858260155, 0.004775499983225018, 0.006069099996238947, 0.005244600004516542, 0.00818440003786236, 0.004688899964094162, 0.004326100053731352, 0.004703000013250858, 0.004834800027310848, 0.0049372000503353775, 0.006357500038575381, 0.0058095999993383884, 0.053765200020279735, 0.007887399988248944, 0.006057000020518899, 0.005246500018984079, 0.004501599993091077, 0.004924500011838973, 0.009336800023447722, 0.005911899963393807, 0.005225699977017939, 0.004994499962776899, 0.004564000002574176, 0.004627499962225556, 0.005777799990028143, 0.011326800042297691, 0.004784099990502, 0.008160399971529841, 0.004278200038243085, 0.006608499970752746, 0.005940200004260987, 0.004848200012929738, 0.00512190000154078)","(13, 12, 37, 13, 13, 12, 13, 12, 12, 12, 13, 12, 12, 14, 20, 12, 12, 13, 12, 14, 14, 15, 13, 12, 12, 12, 13, 14, 13, 113, 16, 12, 13, 12, 13, 20, 16, 12, 12, 12, 12, 14, 21, 12, 18, 12, 15, 16, 13, 13)"
adaptive repair + support for signature change,"[0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",21,"(0.06998209998710081, 0.10982030001468956, 0.37208130001090467, 0.07243639999069273, 0.3360812999890186, 0.07224160002078861, 0.9360336000099778, 0.18491350003750995, 0.0726334000355564, 0.07142020005267113, 0.07225099997594953, 1.7544528999715112, 0.07450170000083745, 0.07102550001582131, 0.07770729996263981, 0.06750850001117215, 0.16902500001015142, 0.17450280004413798, 0.07278440002119169, 0.07234479999169707, 0.07611290004570037, 3.0292060000356287, 0.09812360000796616, 0.5769207999692298, 1.5815993000287563, 1.7266079999972135, 2.4102699999930337, 1.012972800002899, 0.6962164000142366, 1.4069919000030495, 6.0456613000133075, 2.4281862000352703, 2.477933900023345, 0.6090757999918424, 2.5379826999851502, 1.83875719999196, 0.8234332000138238, 0.2173056000028737, 0.6202158000087366, 0.472010700032115, 0.6839894999866374, 0.1017734999768436, 3.6518158999970183, 1.5893311999971047, 0.10541409999132156, 0.20423459995072335, 4.372971500037238, 0.3073775000520982, 1.0139036999898963, 1.6713337000110187)","(0.019043500011321157, 0.013038599980063736, 0.17114509997190908, 0.03850189998047426, 0.1558037999784574, 0.023998800024855882, 0.7107979000429623, 0.10533990000840276, 0.055956500000320375, 0.0641697000246495, 0.05532320000929758, 0.022701799985952675, 0.057955100026447326, 0.05855429999064654, 0.04082110000308603, 0.023794200038537383, 0.011880300007760525, 0.03796899999724701, 0.030031199974473566, 0.035143100016284734, 0.030924800026696175, 0.0263237000326626, 0.023633599979802966, 0.019152200024109334, 0.024049100000411272, 0.021783299976959825, 0.021463299985043705, 0.02336940000532195, 0.02211159997386858, 0.20235069998307154, 0.03162750002229586, 0.019999400014057755, 0.02144179999595508, 0.020505999971646816, 0.02268490003189072, 0.033813799964264035, 0.030133899999782443, 0.02094529999885708, 0.02078069996787235, 0.01979849999770522, 0.020784399996045977, 0.020937499997671694, 0.040218799957074225, 0.023483099997974932, 0.027177500014659017, 0.01986230001784861, 0.025128300010692328, 0.025504599965643138, 0.023491100000683218, 0.027218999981414527)","(11, 9, 26, 11, 35, 11, 107, 13, 11, 11, 11, 9, 11, 11, 11, 11, 9, 12, 11, 11, 11, 15, 13, 12, 12, 12, 13, 14, 13, 113, 16, 12, 13, 12, 13, 20, 16, 12, 12, 12, 12, 14, 21, 12, 18, 12, 15, 16, 13, 13)"
adaptive repair + support for signature change++,"[0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",28,"(0.06912960001500323, 0.11372669995762408, 0.336769399989862, 0.07485809997888282, 0.07572470000013709, 0.1407673999783583, 0.07066800002939999, 0.15881430002627894, 0.07471680000890046, 0.07394450000720099, 0.07372510002460331, 4.256806000019424, 0.07418920000782236, 0.0728137000114657, 0.07783480000216514, 0.07180350000271574, 0.07347060000756755, 0.08743089996278286, 0.07085479999659583, 0.07887799997115508, 0.07127799995942041, 0.07746870000846684, 0.07044589996803552, 0.19382149999728426, 0.07698219997109845, 0.07261479995213449, 0.07524279999779537, 0.07484600000316277, 0.7244170000194572, 1.433928599988576, 5.491879100038204, 2.2701128000044264, 2.44857890001731, 0.6212027000146918, 2.70918880001409, 1.8177055999985896, 0.8497975000063889, 0.21867590001784265, 0.6469452999881469, 0.47204170003533363, 0.6485588999930769, 0.09941889997571707, 3.712521499954164, 1.6890864999732003, 0.10622449999209493, 0.24529039999470115, 4.627247099997476, 0.3191472999751568, 1.0555138000054285, 1.632237299985718)","(0.01897039997857064, 0.01451529999030754, 0.16846309998072684, 0.033203299972228706, 0.03813780000200495, 0.12173280003480613, 92.8987816000008, 0.0606063999584876, 0.03223930002423003, 0.03661070001544431, 0.043251600000075996, 0.014665299968328327, 0.0423016999848187, 0.04197429999476299, 0.03917500004172325, 0.04149720002897084, 0.052359099965542555, 0.04411940003046766, 0.04478190001100302, 0.054191000002902, 0.04799029999412596, 0.021409800043329597, 600.8804468000308, 0.02867499995045364, 0.04230460000690073, 0.029278800007887185, 0.030967300001066178, 0.039645400014705956, 0.022488399990834296, 0.2006995999836363, 0.026835699973162264, 0.0216622999869287, 0.022844600025564432, 0.02023999998345971, 0.023651800001971424, 0.03343509999103844, 0.026807399990502745, 0.0195528999902308, 0.02163889998337254, 0.01960279996274039, 0.020699099986813962, 0.02453840000089258, 0.04051800002343953, 0.023468100000172853, 0.027478799980599433, 0.02786159998504445, 0.026544900028966367, 0.02989589999197051, 0.02217400004155934, 0.028391500003635883)","(11, 9, 26, 11, 11, 18, 11, 13, 11, 11, 11, 9, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 10, 11, 11, 11, 11, 13, 113, 16, 12, 13, 12, 13, 20, 16, 12, 12, 12, 12, 14, 21, 12, 18, 12, 15, 16, 13, 13)"
