Label,Score,Learned Model ID,planing time,execute & repair time,Plan Length
oracle,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",-1,"(1.693308399990201, 0.0703407998662442, 0.40106239984743297, 0.16629969980567694, 2.1663428999017924, 1.0718223999720067, 0.15209820005111396, 0.5030969998333603, 1.0334757999517024, 1.2515315997879952, 2.9671469000168145, 1.0410023999866098, 0.15000019990839064, 0.15792859997600317, 0.3183114000130445, 1.1660546001512557, 0.09434260008856654, 0.10203989990986884, 1.374877099879086, 0.09089270001277328, 0.6098535000346601, 1.188378500053659, 1.1043630000203848, 0.4492383000906557, 0.11613400001078844, 0.9015128999017179, 0.1012321999296546, 0.18617850006558, 0.3330432001966983, 0.14724059985019267, 2.307133800117299, 0.1319734000135213, 0.1299190998543054, 0.13115089992061257, 0.08455029991455376, 1.5378918999340385, 0.4704816001467407, 0.3497882999945432, 1.2335902999620885, 0.36293520010076463, 1.1891115999314934, 0.0869538001716137, 0.07493270002305508, 0.36644360003992915, 1.1890404999721795, 0.07061139983125031, 0.9075989997945726, 0.1715649999678135, 1.8022400001063943, 1.012244899990037)","(0.003097299952059984, 0.0034237001091241837, 0.003607999999076128, 0.0036536999978125095, 0.0033744999673217535, 0.0029777998570352793, 0.0030380000825971365, 0.003179699881002307, 0.0030662999488413334, 0.0033648000098764896, 0.004725900012999773, 0.003300099866464734, 0.003279699943959713, 0.003496399847790599, 0.003526500193402171, 0.003481100080534816, 0.0037934998981654644, 0.005999899934977293, 0.0033761998638510704, 0.003142699832096696, 0.003773599863052368, 0.0029123001731932163, 0.0031373000238090754, 0.003174399957060814, 0.002786400029435754, 0.002829400124028325, 0.004765300080180168, 0.0037128999829292297, 0.003090999787673354, 0.002735299989581108, 0.00355699984356761, 0.0028244999703019857, 0.00903299986384809, 0.002802700037136674, 0.0036736000329256058, 0.003058800008147955, 0.0029597999528050423, 0.0029547999147325754, 0.0029213998932391405, 0.0027433999348431826, 0.002875099889934063, 0.004097400000318885, 0.002729899948462844, 0.0029260998126119375, 0.0028850999660789967, 0.00294959987513721, 0.0029506999999284744, 0.0037704999558627605, 0.008414899930357933, 0.0028997999615967274)","(13, 14, 12, 13, 14, 12, 13, 14, 12, 12, 15, 12, 13, 13, 12, 13, 13, 15, 12, 12, 14, 12, 13, 13, 12, 12, 20, 15, 13, 12, 15, 12, 40, 12, 14, 13, 13, 13, 12, 12, 12, 18, 12, 12, 12, 13, 12, 16, 38, 12)"
base domain - no repair,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1,"(0.0703555999789387, 0.06933480012230575, 0.06557670002803206, 0.07130099995993078, 0.06650780001655221, 0.06327580008655787, 0.06831000000238419, 0.05877680005505681, 0.06173590011894703, 0.06903930008411407, 0.06319159991107881, 0.061690100003033876, 0.05790000013075769, 0.06733050011098385, 0.0634814000222832, 0.05883729993365705, 0.05883030011318624, 0.09184190002270043, 0.062118399888277054, 0.058146600145846605, 0.060820800019428134, 0.06657869997434318, 0.06168459984473884, 0.05879759998060763, 0.05874630017206073, 0.06598960002884269, 0.06130599998869002, 0.057842399924993515, 0.06045140000060201, 0.06574090011417866, 0.06150839990004897, 0.08382529998198152, 0.06083269999362528, 0.06445639999583364, 0.057552700163796544, 0.05693609989248216, 0.06515580019913614, 0.06153639988042414, 0.05806860001757741, 0.05792509997263551, 0.06528070010244846, 0.061401500133797526, 0.0565714999102056, 0.08783760014921427, 0.06630469998344779, 0.05823930003680289, 0.056263700127601624, 0.06620290013961494, 0.061573300044983625, 0.05773380002938211)","(0.0025977001059800386, 0.0028363000601530075, 0.0026316000148653984, 0.0024652001447975636, 0.0031833001412451267, 0.0028164999093860388, 0.002606400055810809, 0.0024980001617223024, 0.002665499923750758, 0.0027619998436421156, 0.0027158998418599367, 0.0024711000733077526, 0.0025722000282257795, 0.0026459998916834593, 0.002557199914008379, 0.002685599960386753, 0.002399599878117442, 0.002622599946334958, 0.0027728001587092876, 0.0023901998065412045, 0.0026802998036146164, 0.0026255000848323107, 0.0025778000708669424, 0.002540299901738763, 0.0025894998107105494, 0.002713100053369999, 0.0026525999419391155, 0.0026716000866144896, 0.0025154000613838434, 0.0026355998124927282, 0.0026844001840800047, 0.0024127999786287546, 0.002851900178939104, 0.002694500144571066, 0.002452499931678176, 0.0025279000401496887, 0.002390399808064103, 0.0024109999649226665, 0.0025996000040322542, 0.002569100121036172, 0.0026346000377088785, 0.002609899966046214, 0.0023721999023109674, 0.0028762000147253275, 0.002686199964955449, 0.0025921999476850033, 0.002432100009173155, 0.0025271999184042215, 0.0026108999736607075, 0.002440399955958128)","(11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11)"
all monomials repair,"[0, 0, 0, 1, 1, 1, 2, 3, 3, 3, 4, 4, 5, 5, 6, 6, 7, 8, 8, 9, 10, 10, 11, 11, 12, 12, 12, 12, 13, 14, 14, 14, 14, 14, 15, 15, 16, 17, 18, 19, 19, 20, 20, 21, 22, 23, 23, 23, 24, 24, 24]",-1,"(0.06113069993443787, 0.08354990021325648, 0.14495910005643964, 0.0993282999843359, 0.12362219998613, 0.24417590000666678, 0.8882607999257743, 1.0900349000003189, 0.90868049999699, 0.21936010010540485, 0.44335770001634955, 1.7090916000306606, 0.46696699992753565, 2.567781199933961, 0.7651279999408871, 1.9185365000739694, 1.0167635998222977, 2.4440904001239687, 0.4844751001801342, 1.292073299875483, 1.0632127998396754, 1.1019109999760985, 1.075722899986431, 2.5942011000588536, 0.8969294000416994, 0.5912498999387026, 0.9632136998698115, 1.4308883000630885, 1.3804597998969257, 0.8791792001575232, 1.0111785000190139, 0.5852453000843525, 0.9730994999408722, 1.0393077000044286, 1.4065226002130657, 1.8251429998781532, 0.46318600000813603, 2.1382849998772144, 2.4028566000051796, 1.341774099972099, 1.1145415999926627, 1.3140308000147343, 1.6277252999134362, 2.7485783000010997, 1.8849281000439078, 2.112021500011906, 1.4373554000630975, 2.0254203001968563, 1.3273398999590427, 1.3506922000087798)","(0.010817999951541424, 0.005089599872007966, 0.02700130012817681, 0.02939029992558062, 0.030103500001132488, 0.1474129999987781, 0.08177399984560907, 0.07757189986295998, 0.11195160006172955, 0.8106205000076443, 0.08305610017850995, 0.21062430017627776, 0.09208759991452098, 0.23820460005663335, 0.11307529988698661, 0.22325240005739033, 0.1656452000606805, 0.2616324999835342, 0.1573586999438703, 0.25713959988206625, 0.16845400002785027, 0.18257969990372658, 0.26661260006949306, 0.46418519993312657, 0.1340675000101328, 0.1717892000451684, 0.22379019996151328, 0.32256160001270473, 0.30460079992190003, 0.2051957999356091, 0.23595350002869964, 0.17487480002455413, 0.19308779994025826, 0.21929489984177053, 0.2931111000943929, 0.4198133999016136, 0.2631763000972569, 0.4272520001977682, 0.4015004001557827, 0.33282059989869595, 0.4005491000134498, 0.39135509985499084, 0.36870349990203977, 0.458854699973017, 0.4287729999050498, 0.3968315999954939, 0.336384299909696, 0.4877113001421094, 0.3884755000472069, 0.44068520003929734)","(11, 9, 16, 17, 11, 22, 14, 15, 17, 67, 12, 19, 12, 19, 13, 17, 14, 19, 13, 17, 14, 14, 17, 23, 12, 13, 13, 18, 18, 14, 15, 13, 13, 14, 16, 19, 14, 19, 19, 16, 18, 18, 17, 19, 18, 17, 15, 18, 16, 16)"
adaptive repair base,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 3, 3, 3, 3, 4, 5, 5, 6, 6, 7, 8, 9, 9, 10, 10, 10, 10, 11, 12, 13, 13, 14, 15, 16, 17, 17, 18, 18, 19, 19, 20, 21, 22, 23, 23, 23, 23, 23]",-1,"(0.20261619985103607, 0.24574790010228753, 0.35567059996537864, 0.16616449994035065, 0.2372436998412013, 0.277481900062412, 0.1667426999192685, 0.30527529981918633, 0.39409059984609485, 0.6394132999703288, 0.9903052998706698, 1.0969517000485212, 1.4051317998673767, 1.2035000999458134, 0.5990178999491036, 1.0637556000147015, 0.9695586999878287, 1.2900568000040948, 1.2564977000001818, 0.6031494000926614, 0.6568407001905143, 0.8161698000039905, 1.1192940999753773, 0.6375708000268787, 1.0907860998995602, 1.5625819999258965, 1.553434700006619, 0.7540279000531882, 0.1083120999392122, 0.9604284998495132, 0.4241699001286179, 0.28934799996204674, 0.5687434000428766, 0.4674533000215888, 0.40045710001140833, 0.23335430002771318, 0.745272499974817, 0.5211199000477791, 0.5075344999786466, 1.7477867999114096, 2.084727199980989, 1.5005703000351787, 3.3628370000515133, 3.318979699863121, 1.7686636000871658, 2.0784914998803288, 5.262850699946284, 1.063271899940446, 2.473265699809417, 2.32292059995234)","(0.04045989993028343, 0.023060400038957596, 0.14087980007752776, 0.05982830002903938, 0.058099000016227365, 0.11137099983170629, 0.06904410012066364, 0.09855180000886321, 0.16645669983699918, 0.11012389999814332, 0.1551202000118792, 0.14282700000330806, 0.40453279996290803, 0.14402489992789924, 0.14620950003154576, 0.17302669980563223, 0.33187579992227256, 0.16776390001177788, 0.27773769991472363, 0.19840589980594814, 0.22436739993281662, 0.3353939999360591, 0.27248529996722937, 0.2435490998905152, 0.3438768000341952, 0.4466719999909401, 0.5557854999788105, 0.26361069991253316, 0.1275271000340581, 0.1885194000788033, 0.1349897999316454, 0.1704815998673439, 0.18434129981324077, 0.20190220000222325, 0.15122420014813542, 0.14506649994291365, 0.4846665000077337, 0.3446934998501092, 0.36983699980191886, 0.8944593998603523, 0.8587154999841005, 0.8905801998917013, 1.668500800151378, 1.0121350998524576, 1.71312789991498, 1.4060027999803424, 1.584032200044021, 0.7434288000222296, 1.4228900000452995, 1.2570498001296073)","(11, 9, 17, 11, 11, 14, 11, 14, 17, 13, 17, 14, 25, 14, 14, 15, 19, 15, 17, 14, 14, 16, 15, 14, 17, 18, 20, 14, 11, 16, 16, 17, 18, 18, 15, 14, 18, 14, 14, 16, 15, 14, 16, 15, 14, 15, 19, 14, 18, 17)"
adaptive repair + support for signature change,"[0, 0, 0, 0, 1, 1, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",-1,"(0.23217070009559393, 0.32671519997529685, 0.4663916998542845, 0.37102950015105307, 1.084931599907577, 1.227433499880135, 1.203925099922344, 0.8671724998857826, 1.4668888999149203, 0.23650889983400702, 0.5227115999441594, 0.23890769993886352, 0.21988150011748075, 0.19562149979174137, 6.978868199978024, 0.22048939997330308, 0.23647759994491935, 0.2351128999143839, 0.19724859995767474, 0.16588130011223257, 0.224562699906528, 0.2200802001170814, 0.23958280007354915, 0.2252725998405367, 0.45951240020804107, 0.594925899989903, 0.22794370003975928, 0.2495786000508815, 0.29133580019697547, 0.23080399981699884, 0.21636070008389652, 0.20899710012599826, 0.09453679993748665, 0.22075539990328252, 0.2226098000537604, 0.22125269984826446, 0.21642930014058948, 0.2382872998714447, 0.22858970006927848, 0.24117529997602105, 0.4389464999549091, 0.23722240002825856, 0.23048150003887713, 0.23990210006013513, 0.21839059982448816, 0.2576710998546332, 0.14959739986807108, 0.2218444999307394, 0.19434549985453486, 0.20077899983152747)","(0.07362260017544031, 0.028525900095701218, 0.15599929983727634, 0.2760846000164747, 0.12587699992582202, 0.17645930009894073, 0.1006237999536097, 0.17357599991373718, 0.04260500008240342, 0.08764789998531342, 0.1864159000106156, 0.11239619995467365, 0.09390150010585785, 0.12902859994210303, 0.13996349996887147, 0.11212299996986985, 0.12708749994635582, 0.10268710018135607, 0.1152874999679625, 0.07299229991622269, 0.12211170000955462, 0.13497200002893806, 0.09556919988244772, 0.07729510008357465, 0.03228450007736683, 0.16059640003368258, 0.08013139991089702, 0.09079029993154109, 0.09629469993524253, 0.10725450003519654, 0.09535129996947944, 0.13907339982688427, 0.037350700004026294, 0.12572709983214736, 0.113718600012362, 0.1353597000706941, 0.1257561999373138, 0.12191089987754822, 0.08342709997668862, 0.06532000005245209, 0.37758649978786707, 0.1029012999497354, 0.12321240012533963, 0.11108249984681606, 0.11358780018053949, 0.13757859985344112, 0.10609150002710521, 0.09743149997666478, 0.11940379999577999, 0.11240840004757047)","(11, 9, 14, 17, 12, 13, 11, 13, 14, 11, 15, 11, 11, 11, 12, 11, 11, 11, 11, 11, 11, 11, 11, 11, 9, 12, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 22, 11, 11, 11, 11, 11, 11, 11, 11, 11)"
adaptive repair + support for signature change with milp,"[0, 0, 0, 1, 1, 1, 1, 2, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44]",8,"(0.18953300011344254, 0.31590279983356595, 0.4087240998633206, 0.21269920002669096, 0.3808852999936789, 0.39294830011203885, 0.3657133001834154, 0.45942480000667274, 2.164824000094086, 2.4712998000904918, 5.942108200164512, 2.126210000133142, 0.29379200004041195, 0.3503537999931723, 0.7099615999031812, 2.2137580001726747, 0.18520610011182725, 0.22429599985480309, 2.5574602000415325, 0.19110010005533695, 1.069403399946168, 2.2761321999132633, 2.1474763001315296, 0.9964241997804493, 0.26544490014202893, 1.9041212000884116, 0.22898400016129017, 0.42203469993546605, 0.7108420000877231, 0.37710359995253384, 4.651827500201762, 0.34294140012934804, 0.27464870014227927, 0.34194479999132454, 0.22614959999918938, 3.5250421999953687, 1.0330205000936985, 0.781633900012821, 2.746822100132704, 0.7743455001618713, 2.5706403001677245, 0.23541790014132857, 0.24174529989250004, 0.8571977999527007, 2.4944535000249743, 0.21219750004820526, 2.0388649001251906, 0.4120071998331696, 4.203160099918023, 2.3551967998500913)","(0.0585186998359859, 0.04252019990235567, 0.17713570012710989, 0.08426279993727803, 0.07842479995451868, 0.14587619993835688, 0.323773100040853, 6179.455429999856, 0.03806389984674752, 0.03780640009790659, 0.051402200013399124, 0.03450229996815324, 0.04009909997694194, 0.04143420001491904, 0.04082400002516806, 0.04244829993695021, 0.041629499988630414, 0.0459370999597013, 0.04144439985975623, 0.03953479998745024, 0.047893699957057834, 0.03989990008994937, 0.04117410001344979, 0.03449140000157058, 0.037228599889203906, 0.03392910002730787, 0.055682400008663535, 0.04174779984168708, 0.04617229988798499, 0.03729230002500117, 0.050622399896383286, 0.04518689983524382, 0.09660160006023943, 0.05362289980985224, 0.0456842000130564, 0.04222130007110536, 0.04054430010728538, 0.0423907998483628, 0.040522499941289425, 0.037312200060114264, 0.033443399937823415, 0.0970475000794977, 0.036227199947461486, 0.034436200046911836, 0.03488179994747043, 0.04097789991647005, 0.03896239981986582, 0.047269599977880716, 0.11225999984890223, 0.033605000004172325)","(11, 9, 14, 11, 11, 14, 20, 15, 12, 12, 15, 12, 13, 13, 12, 13, 13, 15, 12, 12, 14, 12, 13, 13, 12, 12, 20, 15, 13, 12, 15, 12, 40, 12, 14, 13, 13, 13, 12, 12, 12, 18, 12, 12, 12, 13, 12, 16, 38, 12)"
