Label,Score,Learned Model ID,planing time,execute & repair time,Plan Length
adaptive repair + support for signature change,"[0, 0, 0, 0, 0, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",28,"(0.07380279999779304, 0.10989710000285413, 0.15116200000193203, 0.06860099999903468, 0.13152270000136923, 0.06575909999810392, 0.07062679999944521, 0.1331486999988556, 0.25853120000101626, 0.06689660000120057, 0.15678639999532606, 0.06817249999585329, 0.07382979999965755, 0.09744700000010198, 0.06993309999961639, 0.06835130000399658, 1.4061318999956711, 0.06865239999751793, 0.06962890000431798, 0.07627939999656519, 0.06981530000484781, 0.07157269999879645, 0.07518200000049546, 0.06690900000103284, 0.07081969999853754, 0.06852910000452539, 0.15376130000367993, 0.36941289999958826, 0.6004731000066386, 0.1207259000002523, 2.6878986999945482, 1.9971615999966161, 2.2739801999996416, 0.6041944000025978, 2.0790271000005305, 0.6878303999983473, 0.5643901000003098, 0.22105520000332035, 0.7429010999985621, 0.5674068000007537, 0.8155833999990136, 0.11259229999996023, 1.679077300002973, 1.876335900000413, 0.10988440000073751, 0.27473420000023907, 2.972718299999542, 0.2207923000023584, 0.6941356000024825, 1.406860199997027)","(0.031911699996271636, 0.013407999998889863, 0.047439900001336355, 0.027326999996148515, 0.05789559999539051, 0.030246800000895746, 0.034706699996604584, 0.06477509999967879, 0.0883313000013004, 0.024004600003536325, 0.027960699997493066, 0.030109599996649195, 0.033135200006654486, 0.050795200004358776, 0.034474200001568533, 0.03631409999798052, 0.016722399996069726, 0.035903600000892766, 0.03996200000256067, 0.04180639999685809, 0.04129980000288924, 0.03903790000185836, 0.052455999997619074, 0.0409118999959901, 0.052915699998266064, 0.023695600000792183, 0.010827299993252382, 0.08932450000429526, 0.02379579999978887, 0.04022439999971539, 0.021015099999203812, 0.019855699996696785, 0.01919110000017099, 0.024360299998079427, 0.020346199999039527, 0.025567300006514415, 0.029550100000051316, 0.018246799998451024, 0.021444999998493586, 0.02194259999669157, 0.026235800003632903, 0.021510799997486174, 0.02785540000331821, 0.02276989999518264, 0.026613499998347834, 0.021470600004249718, 0.02189399999770103, 0.020431800003279932, 0.019444600002316292, 0.025428499997360632)","(11, 9, 13, 11, 13, 11, 11, 14, 19, 11, 11, 11, 11, 11, 11, 11, 9, 11, 11, 11, 11, 11, 11, 11, 11, 11, 9, 18, 12, 26, 13, 12, 12, 12, 12, 14, 13, 12, 12, 12, 12, 13, 15, 12, 14, 12, 13, 13, 12, 12)"
adaptive repair + support for signature change++,"[0, 0, 0, 0, 0, 0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",22,"(0.06655489999684505, 0.10319739999977173, 0.14153140000416897, 0.06951870000193594, 0.07328300000517629, 0.10259560000122292, 0.14589400000113528, 0.0736105999967549, 0.13232160000188742, 0.27507730000070296, 0.06788629999937257, 0.06844009999622358, 0.07298720000108005, 0.0704148999939207, 0.07400220000272384, 0.07022729999880539, 0.0685349999985192, 0.07076010000309907, 0.06968790000246372, 0.07406990000163205, 0.06919969999580644, 0.06961579999915557, 0.09574850000353763, 0.6682588000039686, 1.8714073000010103, 2.145716300001368, 2.036761299998034, 0.9067139999970095, 0.5481758000023547, 0.12543249999725958, 2.6417309000025853, 2.026829500005988, 2.240433500002837, 0.6297672000000603, 2.0664560000004712, 0.7335328000044683, 0.5220654000004288, 0.21233989999745972, 0.7145051999978023, 0.540502000003471, 0.7319007000041893, 0.09643240000150399, 1.4264937999978429, 1.816990600003919, 0.0986209000038798, 0.2289223000043421, 2.9559700999961933, 0.21937479999905918, 0.7737426000021514, 1.5250996999966446)","(0.02129859999695327, 0.011279599995759781, 0.02558679999492597, 0.026750600001832936, 0.03081930000189459, 0.07761419999587815, 0.20925330000318354, 528.2871130999993, 0.01437390000501182, 0.09070190000056755, 0.03379050000512507, 0.034154400003899354, 0.04251249999651918, 0.039343700002064, 0.04557039999781409, 0.03605859999515815, 0.04105090000666678, 0.05004219999682391, 0.045354599998972844, 0.05626330000086455, 0.04578659999970114, 7.974988199996005, 0.03168259999802103, 0.019094199997198302, 0.022965900003327988, 0.019707599996763747, 0.023316399994655512, 0.021670099995390046, 0.02197130000422476, 0.03943019999860553, 0.021009500000218395, 0.01948629999969853, 0.021279099993989803, 0.019494200001645368, 0.022973300001467578, 0.021664400002919137, 0.02088709999952698, 0.02076360000501154, 0.020637300003727432, 0.020811300004424993, 0.019771699997363612, 0.018807399996148888, 0.03126410000550095, 0.02003590000094846, 0.020371699996758252, 0.017991599997913, 0.02404460000252584, 0.025809700004174374, 0.02063099999941187, 0.02153079999698093)","(11, 9, 11, 11, 11, 14, 34, 11, 9, 17, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 12, 12, 12, 12, 12, 13, 12, 26, 13, 12, 12, 12, 12, 14, 13, 12, 12, 12, 12, 13, 15, 12, 14, 12, 13, 13, 12, 12)"
