Label,Score,Learned Model ID,planing time,execute & repair time,Plan Length
oracle,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",-1,"(0.39530189998913556, 1.100841500039678, 1.0510004999814555, 4.925355900020804, 1.3602510000346228, 4.02396590000717, 0.13085929997032508, 0.28726660000393167, 4.566310499969404, 1.3159403000026941, 0.3094285000115633, 0.0905532999895513, 0.30933710001409054, 0.11318240000400692, 0.5228724000044167, 0.09258799999952316, 3.635584599978756, 0.2649373000022024, 5.331448400043882, 1.4462948000291362, 1.449956399970688, 5.113205500005279, 0.10593230003723875, 1.1658325999742374, 4.031832600012422, 4.508936400001403, 6.103263599972706, 1.7292409999645315, 1.2592272000038065, 0.17564959998708218, 7.828625600028317, 4.455058099993039, 4.685546200023964, 1.146911900024861, 4.73835570004303, 1.9384652999578975, 1.441024700005073, 0.32406780001474544, 1.2991562999668531, 0.8974001999595203, 1.3364677000208758, 0.10933580005075783, 2.686621800006833, 3.650422599981539, 0.1060122000053525, 0.32081130001461133, 6.245308299956378, 0.4134290000074543, 1.4374874999630265, 3.258816600020509)","(0.006567500007804483, 0.005580500001087785, 0.010520500014536083, 0.005556099989917129, 0.005134399980306625, 0.006599699961952865, 0.00567310000769794, 0.006960799975786358, 0.005276900017634034, 0.00527739996323362, 0.005384699965361506, 0.005261900019831955, 0.006555399973876774, 0.006440800032578409, 0.006495199981145561, 0.004967300046700984, 0.0064359999960288405, 0.006420099991373718, 0.00788520002970472, 0.006248699966818094, 0.0057354000164195895, 0.008688699977938086, 0.006772599997930229, 0.005261500016786158, 0.005329699954017997, 0.005510499991942197, 0.005984599993098527, 0.005841300007887185, 0.007462100009433925, 0.009414399974048138, 0.008757199975661933, 0.006195500027388334, 0.005466700007673353, 0.005253400013316423, 0.005481299944221973, 0.006350100040435791, 0.007123599993065, 0.005167099996469915, 0.00713099999120459, 0.005435400002170354, 0.00638570002047345, 0.00655620003817603, 0.007125900010578334, 0.007408700010273606, 0.005737300030887127, 0.004868199990596622, 0.007962800038512796, 0.005974699975922704, 0.0075372999999672174, 0.005586900049820542)","(15, 14, 20, 14, 14, 14, 14, 14, 14, 14, 15, 14, 14, 15, 17, 14, 14, 14, 14, 15, 15, 15, 14, 14, 14, 14, 15, 15, 14, 25, 16, 14, 14, 14, 14, 17, 16, 14, 14, 14, 14, 15, 17, 14, 16, 14, 15, 16, 14, 14)"
adaptive repair + support for signature change,"[0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",22,"(0.07706059998599812, 0.11848949996056035, 0.1770973999518901, 0.0765733000007458, 0.1390286999521777, 0.24618000001646578, 0.09004789998289198, 0.18131190002895892, 0.07585580000886694, 0.0876875999965705, 0.0708091999986209, 0.07231650000903755, 0.08686260000104085, 0.07694719999562949, 0.07479839998995885, 14.314102100033779, 16.418383300013375, 0.07990609999978915, 0.08459549996769056, 0.099285600008443, 0.3433061999967322, 0.4438497999799438, 0.12173189996974543, 1.2943983000004664, 4.094107499986421, 4.830987200024538, 7.242148399993312, 1.9134281000006013, 1.3499929000390694, 0.17586319998372346, 8.461406799964607, 4.647823500039522, 5.204124399984721, 1.2720000999979675, 5.8807921999832615, 1.9864062999840826, 1.5361035000532866, 0.32756419997895136, 1.3716859000269324, 0.9992963999975473, 1.4284979999647476, 0.1257814000127837, 2.909393900015857, 3.874673900019843, 0.11924770002951846, 0.30865520000224933, 6.575448899995536, 0.4254981999984011, 1.5698281999793835, 3.564640299999155)","(0.04691040003672242, 0.011248700029682368, 0.05585190001875162, 0.03501819999655709, 0.10915580001892522, 0.19238469999982044, 0.030055399984121323, 0.039640899980440736, 0.03166449995478615, 0.03500620002159849, 0.031223799975123256, 0.04117669997503981, 0.04495779995340854, 0.04699540004367009, 0.045022399979643524, 0.07566090003820136, 0.20155769999837503, 0.06128919997718185, 0.05700319999596104, 0.02778429997852072, 0.09429890004685149, 0.10778500000014901, 0.033813800022471696, 0.02737130003515631, 0.032652200025040656, 0.027139600017108023, 0.030834600038360804, 0.029988299997057766, 0.0294614999438636, 0.04550499998731539, 0.03567220002878457, 0.027361099957488477, 0.026804100023582578, 0.02924990002065897, 0.029545199999120086, 0.03710409998893738, 0.029443100036587566, 0.025111199996899813, 0.028705200005788356, 0.027711400005500764, 0.032053900009486824, 0.02920699998503551, 0.034621500002685934, 0.025810599967371672, 0.026642699958756566, 0.023272600024938583, 0.03588999999919906, 0.028698300011456013, 0.02467600000090897, 0.03065730002708733)","(11, 9, 13, 11, 16, 38, 11, 12, 11, 11, 11, 11, 11, 11, 11, 13, 15, 11, 11, 11, 16, 17, 14, 14, 14, 14, 15, 15, 14, 25, 16, 14, 14, 14, 14, 17, 16, 14, 14, 14, 14, 15, 17, 14, 16, 14, 15, 16, 14, 14)"
adaptive repair + support for signature change++,"[0, 0, 0, 0, 0, 1, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",24,"(0.07960469997487962, 0.13363419997040182, 0.15649010002380237, 0.07614939997438341, 0.22338769998168573, 0.3153057000017725, 0.6288759000017308, 0.07524229999398813, 0.15812110004480928, 0.2648736999835819, 0.0720873000100255, 4.300348399963696, 0.07316329999594018, 0.08029690000694245, 0.08129509998252615, 0.07533790002344176, 0.08244759996887296, 0.07554119999986142, 0.07086169999092817, 0.06957659998442978, 0.07605460000922903, 0.08115849999012426, 0.07113599998410791, 0.07021119998535141, 3.730046500044409, 4.408327699988149, 6.069297200010624, 1.7091650000074878, 1.2419764999649487, 0.1681140000000596, 7.617222699976992, 4.482576099981088, 4.7229437999776565, 1.1148310999851674, 4.972770499996841, 1.9564907000167295, 1.6698061999632046, 0.3437380999675952, 1.3179572999943048, 0.9943141000112519, 1.3917290000244975, 0.11418289999710396, 2.855424099951051, 3.8522789999842644, 0.11381700000492856, 0.3285110999713652, 6.2103719000006095, 0.4175120000145398, 1.4510807000333443, 3.3068831999553367)","(0.024743499991018325, 0.01662960002431646, 0.0919813999789767, 0.0521687000291422, 0.16260620002867654, 0.1641315000015311, 0.040830899961292744, 19.107858199975453, 0.012674300000071526, 0.0764801999903284, 0.03646849998040125, 0.02483619999838993, 0.03788190003251657, 0.03916310000931844, 0.04750950000016019, 0.046946699963882565, 0.04832960001658648, 0.04266620002454147, 0.04783779999706894, 0.04151650000130758, 0.04836109996540472, 0.04247629997553304, 0.019569500000216067, 12.494220499997027, 0.024390900041908026, 0.027158499986398965, 0.025741899968124926, 0.02657399995950982, 0.026150999998208135, 0.043878500000573695, 0.027044599992223084, 0.026979800022672862, 0.023449100030120462, 0.02561389998300001, 0.02686139999423176, 0.042178799980320036, 0.039932999992743134, 0.02395609999075532, 0.025598599982913584, 0.027144099993165582, 0.027020900044590235, 0.02624370000557974, 0.03577429999131709, 0.023600000014994293, 0.023943800013512373, 0.02305070002330467, 0.025725800020154566, 0.028147200006060302, 0.022264999977778643, 0.024500600004103035)","(11, 9, 13, 11, 20, 19, 13, 11, 9, 14, 11, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 14, 14, 15, 15, 14, 25, 16, 14, 14, 14, 14, 17, 16, 14, 14, 14, 14, 15, 17, 14, 16, 14, 15, 16, 14, 14)"
