Label,Score,Learned Model ID,planing time,execute & repair time,Plan Length
oracle,"[0, 1, 2, 3, 4, 5, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",-1,"(0.07542000000103144, 0.10746120000112569, 0.09803610000017215, 0.10738209999908577, 0.08882040000025881, 0.928576799997245, 0.11519500000213156, 0.10881739999967976, 0.10691289999886067, 0.12031019999994896, 0.09250219999739784, 0.1773591999990458, 0.10240600000179256, 0.09933329999694251, 0.08947280000211322, 0.10569810000015423, 0.1591418000025442, 0.18140109999876586, 0.0678105000006326, 0.11550109999734559, 0.13449449999825447, 0.1724175000017567, 0.08929849999913131, 0.10224469999957364, 0.09376929999780259, 0.11518609999984619, 0.0942073000005621, 0.09680750000188709, 0.1042170000000624, 0.11268299999937881, 0.11374639999849023, 0.1132261999991897, 0.09582180000143126, 0.09932009999829461, 0.0994059999975434, 0.13661960000172257, 0.08652160000201548, 0.10206479999760631, 0.07837399999698391, 0.06508699999903911, 0.11185009999826434, 0.07543219999934081, 0.1937660000003234, 0.10428969999702531, 0.07351809999818215, 0.10407689999919967, 0.09861710000041057, 0.09825629999977536, 0.09033040000213077, 0.10017589999915799)","(0.009176899999147281, 0.02379819999987376, 0.012120999999751803, 0.01832979999744566, 0.014464299998508068, 0.015093600002728635, 0.016686399998434354, 0.023748200001136865, 0.019058900001255097, 0.015499599998292979, 0.01696509999965201, 0.015069199998833938, 0.013900199999625329, 0.026244699998642318, 0.014415699999517528, 0.0193942000005336, 0.023956600001838524, 0.01352010000118753, 0.008713200000784127, 0.024486499998602085, 0.01490639999974519, 0.015136999998503597, 0.021544999999605352, 0.025061699998332188, 0.020910200000798795, 0.016122199998790165, 0.012954199999512639, 0.018011100000876468, 0.02092139999876963, 0.03872339999725227, 0.019398299999011215, 0.02066740000009304, 0.015136800000618678, 0.026695399999880465, 0.011489799999253592, 0.010104900000442285, 0.023117400000046473, 0.013990700001158984, 0.01564650000000256, 0.010611199999402743, 0.013700199997401796, 0.020762599997397047, 0.010491900000488386, 0.015921499998512445, 0.013458000001264736, 0.013091299999359762, 0.021979400000418536, 0.013678399998752866, 0.02669410000089556, 0.018584599998575868)","(19, 37, 26, 29, 30, 24, 31, 38, 28, 29, 28, 33, 28, 37, 29, 31, 37, 29, 13, 28, 24, 32, 31, 34, 29, 32, 26, 29, 37, 33, 27, 37, 29, 37, 24, 19, 32, 28, 29, 13, 29, 30, 23, 30, 26, 28, 36, 29, 37, 32)"
base domain - no repair,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",-1,"(0.0790567000003648, 0.09789520000049379, 0.08707750000030501, 0.07473960000061197, 0.0822024999979476, 0.0955606000025, 0.10496259999854374, 0.09074200000031851, 0.0833277999990969, 0.08077579999735462, 0.07716749999963213, 0.06855569999970612, 0.08801300000050105, 0.11470359999657376, 0.08168470000236994, 0.09663590000127442, 0.08937429999787128, 0.07327779999832273, 0.06896410000263131, 0.07295309999972233, 0.09263510000164388, 0.06798100000014529, 0.09360860000015236, 0.08738779999839608, 0.0825496999968891, 0.07570320000013453, 0.082863500003441, 0.08132199999818113, 0.08478540000214707, 0.07584499999938998, 0.0825178999984928, 0.07657019999896875, 0.07519509999838192, 0.07490979999784031, 0.09558819999801926, 0.06897219999882509, 0.07754960000238498, 0.09098230000017793, 0.07145130000208155, 0.06733670000176062, 0.08525359999839566, 0.07678180000220891, 0.06801529999938793, 0.09811759999865899, 0.07485880000240286, 0.06772500000079162, 0.08590560000084224, 0.07644100000106846, 0.08915460000207531, 0.08698759999970207)","(0.012087099999916973, 0.02940419999868027, 0.015701600001193583, 0.016483100000186823, 0.01939989999664249, 0.011411499999667285, 0.02076410000154283, 0.03394109999862849, 0.02440790000036941, 0.01742290000038338, 0.01603109999996377, 0.0062923999976192135, 0.021378900000854628, 0.04066889999739942, 0.021913600001425948, 0.018774600001052022, 0.038659999998344574, 0.007067099999403581, 0.006350799998472212, 0.017477800000051502, 0.02265149999948335, 0.0059481999996933155, 0.01650560000052792, 0.02987360000042827, 0.019095899999229005, 0.01069909999932861, 0.019214299998566275, 0.021324800000002142, 0.031858400001510745, 0.03200070000093547, 0.017177000001538545, 0.02203670000017155, 0.015604899999743793, 0.026007800002844306, 0.017431000000215136, 0.006365000001096632, 0.024384299998928327, 0.01611159999811207, 0.017461899999034358, 0.00831829999879119, 0.01833979999719304, 0.017273599998588907, 0.008434900002612267, 0.017308200000115903, 0.015280999999959022, 0.016408499999670312, 0.031584799999109237, 0.021667799999704584, 0.03987100000085775, 0.016923700000916142)","(19, 35, 24, 24, 25, 18, 27, 35, 31, 24, 23, 14, 26, 35, 25, 26, 25, 14, 13, 23, 27, 14, 27, 35, 26, 22, 24, 24, 35, 34, 26, 30, 24, 32, 27, 14, 32, 23, 25, 13, 24, 25, 14, 25, 24, 24, 34, 26, 35, 26)"
all monomials repair,"[0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 3, 3, 3, 3, 4, 4, 4, 4, 4]",-1,"(0.0753026000020327, 0.09164320000127191, 0.0988480999985768, 0.13905789999989793, 0.07252670000161743, 0.07604200000059791, 0.09331679999741027, 0.08508369999981369, 0.0778117999980168, 0.08224220000192872, 0.07224610000048415, 0.06742319999830215, 0.08311939999839524, 0.10923199999888311, 0.07047709999824292, 0.08434780000243336, 0.07279040000139503, 0.07046949999858043, 0.07285140000021784, 0.0689886000000115, 0.09730660000059288, 0.07177489999958198, 0.0956646999984514, 0.10942720000093686, 0.08681269999942742, 0.07476380000298377, 0.08389840000018012, 0.07589209999787272, 0.08076880000226083, 0.08258150000256137, 0.0794714000003296, 0.07667140000194195, 0.06992170000012266, 0.07557779999842751, 0.08881210000254214, 0.07294059999912861, 0.07666679999965709, 0.0901625000005879, 0.07049340000230586, 0.07137180000063381, 0.08963659999790252, 0.08141619999878458, 0.06991349999952945, 0.08740580000085174, 0.0751600999974471, 25.190490600001795, 0.07952790000126697, 0.07741039999746135, 0.08354850000250735, 0.09353600000031292)","(0.04913030000170693, 0.06304930000260356, 0.04905979999966803, 0.05317310000100406, 0.05237420000048587, 0.03728430000046501, 0.06417769999825396, 0.0756349000002956, 0.07022860000142828, 0.04962070000328822, 0.050111000000470085, 0.04620170000271173, 0.05416690000129165, 0.09045419999893056, 0.05669330000091577, 0.0693840000021737, 0.05111150000084308, 0.04812379999930272, 0.044984299998759525, 0.05893699999796809, 0.055204299998877104, 0.04801159999988158, 0.06812969999737106, 0.10924410000006901, 0.0612585000017134, 0.07750689999738825, 0.05114600000160863, 0.06424189999961527, 0.0862130999994406, 0.07572939999954542, 0.07501560000309837, 0.0876786999979231, 0.07469219999984489, 0.09601660000043921, 0.06502270000055432, 0.0686751000030199, 0.08208840000224882, 0.08312099999966449, 0.06531080000058864, 0.04109729999981937, 0.08937280000100145, 0.09300330000041868, 0.08233689999906346, 0.08020519999990938, 0.059549600002355874, 0.13096829999994952, 0.08931060000031721, 0.10539190000054077, 0.09593269999822951, 0.12906229999862262)","(19, 35, 28, 27, 25, 18, 27, 35, 31, 24, 23, 14, 26, 35, 25, 26, 25, 14, 13, 23, 27, 14, 27, 35, 26, 22, 24, 24, 35, 34, 26, 30, 24, 32, 27, 14, 32, 23, 25, 13, 24, 25, 14, 25, 24, 44, 34, 26, 35, 26)"
adaptive repair base,"[0, 1, 1, 1, 1, 1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]",5,"(0.08570449999751872, 0.09402870000121766, 0.08995620000132476, 0.12407149999853573, 0.09793720000016037, 0.08584180000252672, 0.09599399999933667, 0.08906060000299476, 0.09980329999962123, 0.09939149999991059, 0.09100029999899562, 0.14667259999987436, 0.08635449999928824, 0.08594040000025416, 0.09753560000172001, 0.12104550000003655, 0.16643219999969006, 0.14436510000086855, 0.07575780000115628, 0.10141319999820553, 0.10751520000121673, 0.16061830000035116, 0.09764060000088648, 0.08902890000172192, 0.08443170000100508, 0.1139154000011331, 0.07978200000070501, 0.08564320000004955, 0.08130050000181654, 0.08153730000049109, 0.08433580000200891, 0.1062114999986079, 0.08615499999723397, 0.09793640000134474, 0.09473880000223289, 0.13933410000026925, 0.10452409999925294, 0.10145429999829503, 0.09631369999988237, 0.0795618000011018, 0.10511260000203038, 0.08756209999774, 0.15619910000168602, 0.10329859999910695, 0.08254519999900367, 0.08769140000003972, 0.08647540000310983, 0.09944860000177869, 0.10086769999907119, 0.08181229999900097)","(0.04384809999828576, 0.08938489999854937, 0.04738029999862192, 0.06044040000051609, 0.05739710000125342, 0.04552989999865531, 0.10150150000117719, 0.11757360000046901, 0.1101767000000109, 0.11716759999762871, 0.10327939999842783, 0.07083280000006198, 0.06966370000009192, 0.12176220000037574, 0.0826511000013852, 0.09570259999964037, 0.12646159999712836, 0.06335070000204723, 0.051581800002168166, 0.09405150000020512, 0.06682390000059968, 0.07577719999972032, 0.09049269999741227, 0.10988900000302237, 0.07838820000324631, 0.08990990000165766, 0.06554360000154702, 0.09242819999781204, 0.11385609999706503, 0.10674980000112555, 0.06921320000037667, 0.12870770000154153, 0.07717140000022482, 0.12967380000191042, 0.059600699998554774, 0.047009300000354415, 0.12997700000050827, 0.09745169999951031, 0.09605539999756729, 0.03840439999839873, 0.09116960000028485, 0.16147640000053798, 0.05139670000062324, 0.08337109999774839, 0.06808790000286535, 0.08208559999911813, 0.11861979999957839, 0.07780220000131521, 0.112116899999819, 0.09312739999950281)","(19, 35, 24, 32, 28, 18, 31, 38, 28, 29, 28, 33, 28, 37, 29, 31, 37, 29, 13, 28, 24, 32, 31, 34, 29, 32, 26, 29, 37, 33, 27, 37, 29, 37, 24, 19, 32, 28, 29, 13, 29, 30, 23, 30, 26, 28, 36, 29, 37, 32)"
adaptive repair + support for signature change,"[0, 1, 1, 1, 1, 1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45]",5,"(0.08561329999793088, 0.0837033000025258, 0.08719229999769595, 0.09462669999993523, 0.08511579999685637, 0.07458129999940866, 0.09617599999910453, 0.08737439999822527, 0.08899449999807985, 0.10638429999744403, 0.07961860000068555, 0.16404469999906723, 0.10038329999952111, 0.09636320000208798, 0.08190180000019609, 0.10198429999945802, 0.13869680000061635, 0.15973110000049928, 0.06775149999884889, 0.08510409999871626, 0.09555929999987711, 0.15007609999884153, 0.09468810000180383, 0.08576329999777954, 0.07956460000059451, 0.1090251999994507, 0.0766265000020212, 0.07775789999868721, 0.07680079999772715, 0.08002510000005714, 0.07965909999984433, 0.09032930000103079, 0.08615890000146464, 0.09035550000044168, 0.09836619999987306, 0.13321619999987888, 0.07929860000149347, 0.09654669999872567, 0.08786719999989145, 0.06850889999986975, 0.10611849999986589, 0.0749443999993673, 0.14351929999975255, 0.10366900000008172, 0.0819080999972357, 0.0822057000004861, 0.0842322000025888, 0.1007220999999845, 0.0932719000011275, 0.08320129999992787)","(0.04869479999979376, 0.06370439999955124, 0.045001300000876654, 0.049278500002401415, 0.06568589999733376, 0.03852619999815943, 0.09743959999832441, 0.12902020000183256, 0.08498099999997066, 0.0786811999969359, 0.08559919999970589, 0.09060700000190991, 0.08540440000069793, 0.13724289999663597, 0.0803256999970472, 0.0930067000008421, 0.10788180000236025, 0.064676199999667, 0.0367714000021806, 0.07915249999859952, 0.06306629999744473, 0.06576570000106585, 0.0803699999996752, 0.10829020000164746, 0.07294090000141296, 0.08834619999834104, 0.063428000001295, 0.0852781000030518, 0.12180360000274959, 0.11422070000116946, 0.06590189999769791, 0.11576210000202991, 0.07200060000104713, 0.11409989999810932, 0.06422269999893615, 0.05678009999974165, 0.12827140000081272, 0.08676259999992908, 0.0921353999983694, 0.03331149999939953, 0.08421820000148728, 0.0773920999999973, 0.05062849999740138, 0.0885757999967609, 0.07053430000087246, 0.0786563000001479, 0.1368548999998893, 0.07178050000220537, 0.10963080000146874, 0.08068289999937406)","(19, 35, 24, 32, 28, 18, 31, 38, 28, 29, 28, 33, 28, 37, 29, 31, 37, 29, 13, 28, 24, 32, 31, 34, 29, 32, 26, 29, 37, 33, 27, 37, 29, 37, 24, 19, 32, 28, 29, 13, 29, 30, 23, 30, 26, 28, 36, 29, 37, 32)"
