Label,Score,Learned Model ID,planing time,Plan Length,execute & repair time
oracle,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",-1,"(0.10379700000339653, 0.1244860000006156, 0.11685360000410583, 0.11983199999667704, 0.11133030000200961, 0.10037559999909718, 0.12696510000387207, 0.12085629999637604, 0.118505999998888, 0.1318405000056373, 0.11538419999124017, 0.10920049999549519, 0.09849170000234153, 0.10159169998951256, 0.11422060000768397, 0.11754300000029616, 0.11486440000589937, 0.10581780000939034, 0.10905590000038501, 0.10264460000325926, 0.12181779999809805, 0.09460870000475552, 0.09322049999900628, 0.09481989999767393, 0.10126860000309534, 0.11217839999881107, 0.0949350000009872, 0.11602819999097846, 0.11018350000085775, 0.10679510000045411, 0.12274609999440145, 0.09926570000243373, 0.11657559999730438, 0.11503699999593664, 0.09750129999883939, 0.10302869998849928, 0.10281480000412557, 0.10475120000774041, 0.12086819999967702, 0.09259120000933763, 0.118047399999341, 0.11772760000894777, 0.09716849999676924, 0.10298280000279192, 0.1507080000010319, 0.12036440000520088, 0.09986480000952724, 0.10235040000407025, 0.10734339999908116, 0.13651340000797063)","(11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 12, 11, 10, 11, 11, 11, 10, 13, 10, 11, 13, 13, 12, 11, 10, 11, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 10, 11, 10, 13, 11, 11, 11)","(0.003371400001924485, 0.003331100000650622, 0.0041000999917741865, 0.003213299991330132, 0.0031961999920895323, 0.004797800007509068, 0.003228400004445575, 0.0031999000057112426, 0.004005899987532757, 0.0031863000040175393, 0.0035118999949190766, 0.0037515000003622845, 0.0032298000005539507, 0.004021500004455447, 0.004574399994453415, 0.003244999999878928, 0.0034435000125085935, 0.0036373000039020553, 0.00381740000739228, 0.004180200005066581, 0.003189600000041537, 0.00479149998864159, 0.004316400008974597, 0.003794199990807101, 0.00319139999919571, 0.003580699994927272, 0.0033387000003131106, 0.005459300009533763, 0.003513500007102266, 0.0038687000051140785, 0.003264600003603846, 0.003738700004760176, 0.003299499992863275, 0.004348999995272607, 0.0032213999947998673, 0.0035205000021960586, 0.003207199988537468, 0.004583100002491847, 0.003789499998674728, 0.0037072999984957278, 0.003558399999747053, 0.0032482999959029257, 0.0032404000085080042, 0.005346199992345646, 0.0036699000047519803, 0.003084300013142638, 0.00436700000136625, 0.006016900006216019, 0.003310200001578778, 0.003757200000109151)"
base domain - no repair,"[0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0]",-1,"(0.07189229999494273, 0.07114259999070782, 0.07523070000752341, 0.08049929999106098, 0.0807520999951521, 0.07635599999048281, 0.07294389999879058, 0.07503839999844786, 0.0818244000111008, 0.08252039999933913, 0.07635550000122748, 0.08363599999574944, 0.07528259999526199, 0.0746108000021195, 0.07871040000463836, 0.08363049999752548, 0.07433260000834707, 0.0799704999953974, 0.07558889999927487, 0.07120120000035968, 0.07309279999753926, 0.08271649999369401, 0.07127829999080859, 0.08078229999227915, 0.07527529999788385, 0.07312519999686629, 0.07563849999860395, 0.07340449999901466, 0.07813310000346974, 0.07505699999455828, 0.07340199999453034, 0.07502969999040943, 0.07362280000234023, 0.07525680000253487, 0.07963019999442622, 0.0808093999949051, 0.07605580000381451, 0.07651290000649169, 0.0801969000021927, 0.08278559999598656, 0.06993019999936223, 0.07814090000465512, 0.07894530000339728, 0.07277260000410024, 0.07814680000592489, 0.07825140000204556, 0.08041850000154227, 0.07972680000239052, 0.07566159999987576, 0.0853623000002699)","(11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11)","(0.003195099998265505, 0.0028027999942423776, 0.0028883000049972907, 0.0026738000015029684, 0.00302689999807626, 0.0038613000069744885, 0.00790440000128001, 0.0027470000059111044, 0.003072300009080209, 0.0037798999983351678, 0.003220600003260188, 0.0038539999950444326, 0.0033493999944766983, 0.0035600999981397763, 0.006085200002416968, 0.003110299992840737, 0.002665399995748885, 0.0034244999988004565, 0.003293200003099628, 0.0031014999985927716, 0.003695699997479096, 0.0037521000049309805, 0.003838400007225573, 0.003724599999259226, 0.0032980999967548996, 0.0027150999958394095, 0.003511499991873279, 0.003874100002576597, 0.004347300011431798, 0.005092899998999201, 0.004168700004811399, 0.0034426000056555495, 0.0031048000091686845, 0.00475449999794364, 0.003750700008822605, 0.005154900005436502, 0.005269500004942529, 0.0036159000010229647, 0.0033218000025954098, 0.003366100005223416, 0.0030983000033302233, 0.004359200000180863, 0.003377899993211031, 0.002693999995244667, 0.003922999996575527, 0.005822699997224845, 0.003730399999767542, 0.004516899993177503, 0.003918400005204603, 0.0030242999928304926)"
all monomials repair,"[0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",3,"(0.0888699000061024, 0.1459002000046894, 0.3286547000025166, 0.11115529999369755, 0.11688499999581836, 0.09493900000234134, 0.12378280000120867, 0.12523170000349637, 0.12821009999606758, 0.14644979999866337, 0.1356965000013588, 0.10017170000355691, 0.10816080000950024, 0.11347439998644404, 0.11618620000081137, 0.11798190000990871, 0.11285689999931492, 0.11216000000422355, 0.0975268999900436, 0.10383089999959338, 0.1280269999988377, 0.09581780000007711, 0.09097549998841714, 0.10006749999593012, 0.10025829999358393, 0.11017580000043381, 0.09452499999315478, 0.10531500000797678, 0.10085099999560043, 0.09713920000649523, 0.12159119998977985, 0.10347210000327323, 0.11947030000737868, 0.10892850000527687, 0.10273769999912474, 0.10521960000914987, 0.10020319999603089, 0.11375419999239966, 0.12039109999022912, 0.09343090000038501, 0.1208284000022104, 0.12074749999737833, 0.10070039999845903, 0.10343590000411496, 0.10269519999565091, 0.10341449998668395, 0.08929899999930058, 0.10115450000739656, 0.10405140000511892, 0.11540329999115784)","(11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 12, 11, 10, 11, 11, 11, 10, 13, 10, 11, 13, 13, 12, 11, 10, 11, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 10, 11, 10, 13, 11, 11, 11)","(0.02032459998736158, 0.01779559999704361, 0.01873429999977816, 0.013919100005296059, 0.016510000001289882, 0.013638399992487393, 0.017531400008010678, 0.015423599994392134, 0.014470199996139854, 0.013841800013324246, 0.015452200008439831, 0.017578600003616884, 0.0202073999971617, 0.012631200006580912, 0.013972600005217828, 0.013009800008148886, 0.013488200012943707, 0.012366599999950267, 0.020247000007657334, 0.013352499998291023, 0.013634700007969514, 0.015204900002572685, 0.020353200001409277, 0.0174708999984432, 0.016606499993940815, 0.012256200003321283, 0.01546200001030229, 0.012032700004056096, 0.016352399994502775, 0.015016499994089827, 0.016497300006449223, 0.014574000000720844, 0.015913800001726486, 0.014593300002161413, 0.01729709999926854, 0.01295800000661984, 0.015677000003051944, 0.015236399995046668, 0.014735799995833077, 0.013720499991904944, 0.01465460000326857, 0.014816599999903701, 0.014271699998062104, 0.012101200001779944, 0.016033299994887784, 0.011610100002144463, 0.019518400004017167, 0.012880599999334663, 0.014715099998284131, 0.014971900003729388)"
adaptive repair base,"[0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",1,"(0.07747250000829808, 0.11999680000008084, 0.11949769999773707, 0.11849229999643285, 0.11554710000928026, 0.09693060000427067, 0.12567310000304133, 0.11999069999728817, 0.12426869999035262, 0.12367219998850487, 0.12012479999975767, 0.09452499999315478, 0.09593070000119042, 0.10959789999469649, 0.11212410000734963, 0.1182181999902241, 0.11214680000557564, 0.11241689999587834, 0.0965336999943247, 0.12111860000004526, 0.14313009999750648, 0.09335159999318421, 0.10235509999620263, 0.1141360000037821, 0.11749479999707546, 0.11560039999312721, 0.11491049999312963, 0.10842489999777172, 0.11245000000053551, 0.10478710000461433, 0.12871730000188109, 0.10176099999807775, 0.12713610001082998, 0.11755779999657534, 0.10163140000076964, 0.10454859999299515, 0.0930618999991566, 0.10429810000641737, 0.11612479999894276, 0.09764540000469424, 0.11063389999617357, 0.12627659999998286, 0.10379779999493621, 0.10665040000458248, 0.10368339999695309, 0.10486699998728, 0.09560379998583812, 0.0936673999967752, 0.10081129999889527, 0.1218972000060603)","(11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 12, 11, 10, 11, 11, 11, 10, 13, 10, 11, 13, 13, 12, 11, 10, 11, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 10, 11, 10, 13, 11, 11, 11)","(0.022014499991200864, 0.013100900003337301, 0.016159199993126094, 0.015858600003411993, 0.013093199988361448, 0.014648199998191558, 0.014468099994701333, 0.015568399991025217, 0.01272909999534022, 0.014171500006341375, 0.013154999993275851, 0.014512599998852238, 0.014191200010827743, 0.012351199999102391, 0.01342040000599809, 0.013394299996434711, 0.013074299989966676, 0.012945900001795962, 0.023470799991628155, 0.014108600007602945, 0.013584300002548844, 0.01580870000179857, 0.022069300001021475, 0.018534300004830584, 0.016274800000246614, 0.013210999997681938, 0.015912899994873442, 0.01317729998845607, 0.013487199990777299, 0.013759199995547533, 0.017063999999663793, 0.015344900006311946, 0.017210500009241514, 0.020090599995455705, 0.015740200004074723, 0.012962499997229315, 0.01533979999658186, 0.01313579999259673, 0.015533800004050136, 0.013300999999046326, 0.015819100008229725, 0.01530579999962356, 0.017215500003658235, 0.01375440000265371, 0.016211399997700937, 0.011767400006647222, 0.021108400003868155, 0.013419099996099249, 0.015475899999728426, 0.014898699999321252)"
adaptive repair + support for signature change,"[0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",1,"(0.07469530000525992, 0.12814349999825936, 0.13363630000094417, 0.11506829998688772, 0.10713920000125654, 0.09205669999937527, 0.12402360000123736, 0.1152931999968132, 0.12050029999227263, 0.12177949999750126, 0.11901890000444837, 0.096699500005343, 0.09449019999010488, 0.10982559999683872, 0.11355860000185203, 0.12353820000134874, 0.11591220000991598, 0.10970840000663884, 0.09361909999279305, 0.10264950001146644, 0.13044069999887142, 0.0930928000016138, 0.08883829999831505, 0.1058606000005966, 0.09282309999980498, 0.10101280000526458, 0.1021206000004895, 0.1120295000000624, 0.09795819999999367, 0.10214030000497587, 0.121026199994958, 0.09588969999458641, 0.11306019999028649, 0.10675289999926463, 0.0964211999962572, 0.10000269999727607, 0.10003869999491144, 0.11249810000299476, 0.12014870000712108, 0.09890849998919293, 0.11806090000027325, 0.1223660999967251, 0.09798869999940507, 0.10606990000815131, 0.09884720000263769, 0.10475430000224151, 0.09135360000072978, 0.10194659999979194, 0.09703280001122039, 0.12548070000775624)","(11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 12, 11, 10, 11, 11, 11, 10, 13, 10, 11, 13, 13, 12, 11, 10, 11, 10, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 11, 10, 11, 10, 13, 11, 11, 11)","(0.020909800005028956, 0.01557090001006145, 0.014144300002953969, 0.012480200006393716, 0.014295400003902614, 0.018942500013508834, 0.014725400003953837, 0.01305750000756234, 0.013652000008733012, 0.013411199994152412, 0.013468999997712672, 0.014118599996436387, 0.016995900004985742, 0.0131039999978384, 0.014586399993277155, 0.014123899993137456, 0.015430499988724478, 0.012439900005119853, 0.017163199998321943, 0.013263000000733882, 0.013798700005281717, 0.01662219999707304, 0.02005500000086613, 0.015595199991366826, 0.016090400007669814, 0.01681559999997262, 0.016146199996001087, 0.012159799996879883, 0.014800999997532926, 0.013625800012960099, 0.014933400001609698, 0.013286599991261028, 0.014619699999457225, 0.01656310001271777, 0.014642099995398894, 0.014538700008415617, 0.015595399992889725, 0.015181599999777973, 0.014130199997453019, 0.015371100002084859, 0.01337809998949524, 0.013205099996412173, 0.015580299994326197, 0.011913400012417696, 0.01617149999947287, 0.01174180000089109, 0.01642260000517126, 0.013214000005973503, 0.01635030000761617, 0.013166800010367297)"
