Label,Score,Learned Model ID,planing time,execute & repair time,Plan Length
oracle,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",-1,"(0.08294389999900886, 1.6729157999998279, 10.445062799999505, 0.07789150000098743, 0.11324840000088443, 0.07495740000013029, 0.09230610000122397, 3.9991299000012077, 0.0684001999998145, 0.08700739999949292, 1.5795731999987765, 0.4848380999992514, 1.341984600001524, 0.08936630000061996, 0.07709169999907317, 0.0771201999996265, 0.12993439999991097, 0.07599809999919671, 0.096715799998492, 0.07444779999968887, 3.9801826999992045, 0.07083029999921564, 0.0820798000004288, 2.128220299999157, 0.0744964000004984, 3.1697815999996237, 0.07337039999947592, 0.08864960000028077, 7.4257914000008896, 0.07454350000080012, 0.07025749999957043, 0.09586679999847547, 10.498441399999138, 0.07278150000092865, 9.088319700000284, 0.06983089999994263, 0.10068640000099549, 0.089715599999181, 0.08011160000023665, 3.965965099998357, 7.789610300000277, 1.4442285999994056, 1.550789299999451, 0.07691049999993993, 0.10571220000019821, 0.07708819999970729, 0.07016199999998207, 1.0332397000001947, 7.373382699999638, 1.3629292999994504)","(0.01827199999934237, 0.02252330000010261, 0.013870599999791011, 0.015885099999650265, 0.03222089999871969, 0.012353400001302361, 0.015548800000033225, 0.025048299999980372, 0.011691899999277666, 0.018164599998272024, 0.012403500000800705, 0.010971600000630133, 0.01199839999935648, 0.02874119999978575, 0.01835189999837894, 0.00918920000003709, 0.022405300000173156, 0.006495600000562263, 0.02363340000010794, 0.01361939999878814, 0.033869199998662225, 0.01636310000139929, 0.014804500000536791, 0.03263569999944593, 0.008442900001682574, 0.02282999999988533, 0.0126778000012564, 0.019308300001284806, 0.020286100001612795, 0.013004399999772431, 0.008551799999622745, 0.01405220000015106, 0.012804300000425428, 0.014306000000942731, 0.01706729999932577, 0.014792299998589442, 0.022325799998725415, 0.012367799999992712, 0.016262400000414345, 0.0348796999987826, 0.029119099999661557, 0.017580499999894528, 0.010997000001225388, 0.01441760000125214, 0.03137889999925392, 0.012540499999886379, 0.01642130000072939, 0.012437499999577994, 0.02491819999886502, 0.010262499999953434)","(29, 32, 25, 27, 37, 24, 25, 35, 23, 27, 24, 22, 20, 37, 24, 14, 35, 14, 34, 24, 48, 24, 26, 41, 14, 39, 24, 27, 34, 24, 14, 24, 25, 25, 25, 24, 32, 24, 27, 48, 35, 20, 19, 24, 36, 24, 24, 22, 35, 20)"
base domain - no repair,"[0, 0, 0, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 3, 3, 3, 3, 4, 4, 4, 5, 5, 5, 5, 5, 5, 6, 7, 7, 7, 8, 8, 8, 9, 9, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11]",-1,"(0.07176819999949657, 0.07557590000033088, 0.09831339999982447, 0.07097740000062913, 0.09470829999918351, 0.08578159999888157, 0.09243910000077449, 0.08703400000013062, 0.08259900000120979, 0.08462540000073204, 0.08075490000010177, 0.07311689999914961, 0.0708346999999776, 0.08153760000095645, 0.0791800000006333, 0.0746365999984846, 0.07546410000031756, 0.07334219999938796, 0.0739106000000902, 0.08195410000007541, 0.08348020000084944, 0.06922040000063134, 0.07158630000049016, 0.08726980000028561, 0.06932539999979781, 0.07345259999965492, 0.09532450000006065, 0.0732640000005631, 0.07684970000082103, 0.0872455999997328, 0.06757349999861617, 0.09991940000145405, 0.0741053000001557, 0.08223689999977069, 0.09126740000101563, 0.07696389999910025, 0.07924660000026051, 0.09072649999870919, 0.08940400000028603, 0.08068239999920479, 0.07858759999908216, 0.06752559999949881, 0.08072209999954794, 0.07481270000062068, 0.07702179999978398, 0.08962640000027022, 0.07486160000007658, 0.06888439999966067, 0.07610060000115482, 0.07271750000109023)","(0.01886720000038622, 0.021120000001246808, 0.01607779999903869, 0.0220220999999583, 0.03157900000041991, 0.027346899998519802, 0.027063699999416713, 0.04287270000168064, 0.019812299999102834, 0.021614399998725276, 0.009519199998976546, 0.01254030000018247, 0.00886239999999816, 0.03318289999879198, 0.02480180000020482, 0.006449599999541533, 0.018567600000096718, 0.007812199999534641, 0.01833029999943392, 0.021500400000149966, 0.04738800000086485, 0.01470569999946747, 0.01891529999920749, 0.03978850000021339, 0.007841799999368959, 0.02045469999939087, 0.021375199999965844, 0.01592519999940123, 0.03323369999998249, 0.023194600000351784, 0.008150099998601945, 0.01936319999913394, 0.01857410000047821, 0.02671360000022105, 0.013518100000510458, 0.027741100000639562, 0.022698999999192893, 0.019260199998825556, 0.021641500001351233, 0.04509370000050694, 0.033769699999538716, 0.011005100001057144, 0.013139700000465382, 0.013119400000505266, 0.03965520000019751, 0.02404479999859177, 0.01883049999923969, 0.009540400000332738, 0.02939880000121775, 0.008900400000129594)","(24, 25, 26, 24, 35, 26, 26, 37, 25, 26, 14, 19, 14, 35, 25, 14, 25, 13, 25, 26, 35, 24, 23, 35, 14, 25, 24, 24, 29, 24, 14, 27, 22, 31, 24, 26, 25, 27, 26, 35, 30, 14, 18, 24, 32, 24, 24, 14, 32, 14)"
all monomials repair,"[0, 0, 0, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 3, 4, 4, 4, 4, 5, 5, 5, 6, 6, 6, 6, 6, 7, 8, 9, 9, 10, 11, 11, 12, 13, 14, 14, 14, 15, 16, 17, 17, 17, 18, 18, 18, 19]",-1,"(0.07210139999915555, 0.09342319999996107, 0.08448939999834693, 25.610029000001305, 0.08506519999900775, 0.33902739999939513, 0.0887773999984347, 0.12332009999954607, 0.08059440000033646, 0.09936109999944165, 0.08357640000031097, 0.07957560000068042, 0.06953260000045702, 0.08197239999935846, 0.09814249999908498, 0.07082629999968049, 0.07343849999961094, 0.07426530000157072, 0.074442099999942, 0.8820425999983854, 0.10783379999884346, 0.09080959999846527, 0.07116399999904388, 0.09573690000070201, 0.07527959999970335, 0.07101299999885669, 0.08158259999981965, 0.09149380000053497, 0.07263520000014978, 0.08920600000055856, 0.07858689999920898, 0.37368009999954666, 0.08838710000054562, 0.10453059999963443, 0.09355049999976472, 0.07681300000149349, 0.10924679999880027, 0.09878940000089642, 0.30612569999902917, 0.270542000000205, 0.11252179999974032, 0.3627371000002313, 0.33425480000005336, 0.11689110000043001, 0.07732519999990473, 6.256890799999383, 0.08010490000015125, 0.42604339999888907, 0.0743689999999333, 0.41973700000016834)","(0.05596499999955995, 0.06913300000087474, 0.08958379999967292, 0.14317140000093787, 0.1204513999982737, 0.07124079999994137, 0.08741819999886502, 0.16481989999920188, 0.0643140999982279, 0.07939169999917794, 0.06392309999864665, 0.07079160000103002, 0.05159790000107023, 0.14816920000157552, 0.1465716999991855, 0.06463070000063453, 0.11473519999890414, 0.07417200000054436, 0.13063729999885254, 0.12512599999899976, 0.10131860000001325, 0.1680981999998039, 0.13315940000029514, 0.11805549999917275, 0.08606890000010026, 0.14988720000110334, 0.0905932000005123, 0.17867699999987963, 0.10961610000049404, 0.17428470000049856, 0.11155739999958314, 0.278966699999728, 0.17096940000010363, 0.258614000000307, 0.20105040000089502, 0.11537820000012289, 0.3006679999998596, 0.23161590000017895, 0.2470794000000751, 0.13582440000027418, 0.15885670000170649, 0.20670590000008815, 0.18291129999852274, 0.25327239999933226, 0.15449420000004466, 0.14804110000113724, 0.2545401999996102, 0.13417909999952826, 0.16274969999903988, 0.19348059999902034)","(24, 28, 26, 34, 35, 20, 22, 75, 25, 26, 18, 18, 14, 35, 26, 14, 25, 13, 25, 33, 35, 24, 23, 36, 14, 25, 24, 25, 29, 24, 14, 26, 22, 25, 24, 26, 32, 27, 27, 40, 32, 22, 19, 27, 32, 25, 24, 19, 32, 20)"
adaptive repair base,"[0, 0, 0, 1, 1, 1, 1, 2, 3, 4, 5, 5, 6, 7, 7, 7, 8, 8, 9, 9, 10, 10, 11, 11, 11, 12, 12, 13, 14, 14, 15, 15, 16, 16, 17, 18, 19, 19, 20, 20, 20, 20, 20, 21, 22, 22, 23, 24, 24, 24, 25]",-1,"(0.07159129999854486, 0.08084609999968961, 0.0792105000000447, 0.08595750000131375, 0.09270909999941068, 0.07421900000008463, 0.08698670000012498, 0.15949079999882088, 0.20150900000044203, 0.11493530000007013, 0.07964820000051986, 0.2875390999997762, 0.19683249999980035, 0.0834973999990325, 0.07313609999982873, 0.06851760000063223, 5.357341000000815, 0.06791079999857175, 0.0787715999995271, 0.07805150000058347, 0.07768120000037015, 0.14042299999891839, 0.06939910000073723, 0.08201999999982945, 0.6678496999993513, 0.15907030000016675, 0.09830610000062734, 0.11443599999984144, 0.07443029999922146, 0.10134670000115875, 1.8757222999993246, 4.477895800000624, 0.07397340000170516, 0.1004677000000811, 0.08671229999890784, 0.09653649999927438, 0.333882499999163, 0.08619669999825419, 0.10011159999885422, 0.10110449999956472, 0.21610550000150397, 0.16725679999944987, 0.2762894999996206, 0.10459809999883873, 0.07663309999952617, 0.10407130000021425, 0.08010340000146243, 0.6470203999997466, 0.07809020000058808, 0.364114600000903)","(0.0502450999993016, 0.09978070000033767, 0.10505869999906281, 0.1227976000009221, 0.1220792000003712, 0.07630909999897995, 0.1488375000008091, 0.25297109999883105, 0.15773500000068452, 0.15746990000116057, 0.08095630000025267, 0.16857090000121389, 0.1481614999993326, 0.18465769999966142, 0.08229639999990468, 0.07885770000029879, 0.11601359999986016, 0.07979900000100315, 0.16230069999983243, 0.1944457000008697, 0.10202050000043528, 0.24894230000063544, 0.16487179999967339, 0.11154030000034254, 0.17498049999994691, 0.19684959999904095, 0.19499100000030012, 0.2532288000002154, 0.13724830000137445, 0.22876759999962815, 0.16878820000056294, 0.23739839999871037, 0.15128089999961958, 0.25894530000005034, 0.23752280000007886, 0.25930049999988114, 0.24951639999926556, 0.26619550000032177, 0.18242540000028384, 0.1758388999987801, 0.2728714000004402, 0.14321019999988494, 0.21730179999940447, 0.3224007000007987, 0.17016550000153075, 0.30729129999963334, 0.2972645999998349, 0.17364629999974568, 0.19196129999909317, 0.23969210000177554)","(24, 25, 24, 28, 39, 26, 25, 38, 26, 25, 14, 25, 25, 35, 25, 14, 30, 13, 25, 24, 35, 29, 23, 35, 19, 30, 24, 28, 29, 24, 87, 24, 22, 25, 24, 24, 30, 27, 26, 33, 91, 15, 19, 24, 32, 24, 24, 20, 32, 20)"
adaptive repair + support for signature change,"[0, 0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]",3,"(0.07936270000027434, 0.09769600000072387, 0.11930070000016713, 0.08196929999940039, 0.11760660000072676, 0.07448479999948177, 0.07815670000127284, 3.9793921999989834, 0.0693503000002238, 0.07886529999996128, 1.520127900001171, 0.4513009999991482, 1.337265699999989, 0.08595009999953618, 0.07609840000077384, 0.07267999999930908, 0.10878489999959129, 0.07720609999887529, 0.09363829999892914, 0.06992210000134946, 3.9711737999987236, 0.07691369999884046, 0.09528729999874486, 2.0383985999997094, 0.06620209999891813, 3.011381000000256, 0.07165970000096422, 0.08276410000144097, 7.295841600000131, 0.08222500000010768, 0.0687023999998928, 0.09229389999927662, 10.262292100000195, 0.07018419999985781, 8.94953329999953, 0.06963499999983469, 0.08824140000069747, 0.08354580000013812, 0.08537719999912952, 4.031799800000954, 7.64942019999944, 1.3236433999991277, 1.3837984000001597, 0.07244910000008531, 0.09285540000018955, 0.07101010000042152, 0.06870799999887822, 1.0989368999998987, 7.208029700001134, 1.3661322999996628)","(0.055787299999792594, 0.12281889999940176, 0.14930269999968004, 0.09331939999901806, 0.13457130000097095, 0.0675043999999616, 0.0803593999989971, 0.10909960000026331, 0.0693898999998055, 0.08760489999986021, 0.05649240000093414, 0.05091249999895808, 0.05641049999940151, 0.1439874999996391, 0.06648049999967043, 0.040191699999923, 0.11663300000145682, 0.033225600000150735, 0.11959260000003269, 0.07457650000105787, 0.1793801000003441, 0.07895939999980328, 0.09445819999928062, 0.13954159999957483, 0.03383100000064587, 0.11860739999974612, 0.07198860000062268, 0.0811505000001489, 0.12659340000027441, 0.07426889999987907, 0.03795750000062981, 0.0640452000006917, 0.07464569999865489, 0.07575809999980265, 0.07187599999997474, 0.07424659999924188, 0.10245940000095288, 0.06185139999979583, 0.08783299999959127, 0.1703284999985044, 0.11670539999977336, 0.046796000000540516, 0.05318980000083684, 0.07104369999979099, 0.12691889999950945, 0.07111339999937627, 0.07319339999958174, 0.056921600000350736, 0.10785270000087621, 0.05273300000044401)","(24, 25, 26, 27, 37, 24, 25, 35, 23, 27, 24, 22, 20, 37, 24, 14, 35, 14, 34, 24, 48, 24, 26, 41, 14, 39, 24, 27, 34, 24, 14, 24, 25, 25, 25, 24, 32, 24, 27, 48, 35, 20, 19, 24, 36, 24, 24, 22, 35, 20)"
