Label,Score,Learned Model ID,planing time,execute & repair time,Plan Length
oracle,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",-1,"(0.14634649999788962, 0.1436857999942731, 0.11855370001285337, 0.11450789999798872, 0.16624739998951554, 0.1652598999789916, 0.17468809999991208, 0.19969479998690076, 0.1267568999901414, 0.18112500000279397, 0.13949309999588877, 0.19114129999070428, 0.1638929999899119, 0.15855289998580702, 0.1674436000175774, 0.123939800017979, 0.17216249997727573, 0.13011460000416264, 0.16225279998616315, 0.13991620001615956, 0.1829448000062257, 0.1354222999943886, 0.12862220001989044, 0.12277250000624917, 0.11922749999212101, 0.20858619999489747, 0.11298099998384714, 0.1573047999991104, 0.11159040001803078, 0.2572920999955386, 0.16536839999025688, 0.139304499985883, 0.15654550000908785, 0.11671179998666048, 0.11400160001358017, 0.14456370001425967, 0.2025973999989219, 0.21769389999099076, 0.2531637999927625, 0.1490297999989707, 0.13359779998427257, 0.18996039999183267, 0.16490659999544732, 0.11374160001287237, 0.16450620000250638, 0.1507780000101775, 0.1287766999739688, 0.18665759998839349, 0.12178929999936372, 0.13964400000986643)","(0.06963829998858273, 0.034704299992881715, 0.03340419998858124, 0.07897499998216517, 0.061440100020263344, 0.07198870001593605, 0.06128819999867119, 0.07681800000136718, 0.06252730000414886, 0.09234159998595715, 0.06057729999884032, 0.109067600016715, 0.06737520001479425, 0.08693819999461994, 0.06594209998729639, 0.09057759999996051, 0.10749990001204424, 0.056026100006420165, 0.08943409999483265, 0.0832442999817431, 0.10682190000079572, 0.052525300008710474, 0.12121680000564083, 0.024998500011861324, 0.08537829999113455, 0.08919939998304471, 0.02670730001409538, 0.06047039999975823, 0.06703520001610741, 0.19548360002227128, 0.10151690000202507, 0.06809600000269711, 0.12378320001880638, 0.03496930000255816, 0.04307149999658577, 0.09784339999896474, 0.06882369998493232, 0.10688770000706427, 0.11507599998731166, 0.07112720000441186, 0.062077000009594485, 0.09539160001440905, 0.029019500012509525, 0.11193199999979697, 0.11528480000561103, 0.11113330000080168, 0.03592190000927076, 0.07717950001824647, 0.028506999980891123, 0.1087785999989137)","(17, 9, 5, 10, 13, 17, 12, 17, 9, 19, 13, 18, 15, 16, 18, 15, 21, 10, 16, 18, 20, 16, 15, 5, 12, 21, 6, 15, 12, 24, 12, 10, 22, 9, 9, 14, 17, 19, 23, 10, 19, 16, 10, 16, 16, 16, 9, 19, 5, 18)"
base domain - no repair,"[0, 0, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 4, 4, 4, 4, 4, 4, 4, 4, 5, 5, 5, 5, 5, 5, 5, 5]",-1,"(0.12487240001792088, 0.12153430000762455, 0.14808879999327473, 0.11015029999543913, 0.11739080000552349, 0.10085059999255463, 0.107927999983076, 0.12100210000062361, 0.11169920000247657, 0.1185101000010036, 0.1239171999914106, 0.12773559999186546, 0.12712660001125187, 0.10586810001404956, 0.13398240000242367, 0.13928490001126193, 0.12597349999123253, 0.1025872000027448, 0.12228650000179186, 0.138945100014098, 0.12886080000316724, 0.11246090001077391, 0.0940699000202585, 0.13541040002019145, 0.12157609997666441, 0.14027770000393502, 0.14044980000471696, 0.12282380001852289, 0.10811199998715892, 0.11501979999593459, 0.11853519998840056, 0.13157620001584291, 0.13386390000232495, 0.13969350000843406, 0.14626929999212734, 0.13735529998666607, 0.1266202999977395, 0.11476060000131838, 0.1132013000024017, 0.11237019998952746, 0.1056465000147, 0.11984699999447912, 0.12279349999153055, 0.11926279999897815, 0.13719900001888163, 0.10331020000739954, 0.10931989998789504, 0.1168323999736458, 0.09755869998480193, 0.0997164000000339)","(0.050076200015610084, 0.04242379998322576, 0.024391099985223264, 0.036515100015094504, 0.016632899991236627, 0.05477749998681247, 0.05024320000666194, 0.03647099999943748, 0.05468719999771565, 0.04992670001229271, 0.07078169999294914, 0.048996099998475984, 0.02438719998463057, 0.07186290001845919, 0.04568189999554306, 0.07139399999869056, 0.03915399999823421, 0.06652630001190118, 0.0509699999820441, 0.08440130000235513, 0.03701639999053441, 0.05913560002227314, 0.05943009999464266, 0.023777299997163936, 0.04326979999314062, 0.06470429999171756, 0.06233709998195991, 0.059499099996173754, 0.046194099995773286, 0.07231689998297952, 0.05346510000526905, 0.037599300005240366, 0.08699549999437295, 0.047014899988425896, 0.04721029999200255, 0.07316629998967983, 0.04005619999952614, 0.04496560001280159, 0.033292600011918694, 0.04996139998547733, 0.04873710000538267, 0.042232199979480356, 0.03341619999264367, 0.06860719999531284, 0.041601199976867065, 0.03620899998350069, 0.03499949999968521, 0.02164930000435561, 0.021915599994827062, 0.03325070001301356)","(7, 4, 4, 8, 4, 4, 4, 4, 7, 5, 5, 4, 4, 8, 4, 5, 7, 8, 4, 8, 6, 6, 5, 4, 4, 4, 4, 5, 4, 6, 4, 8, 8, 4, 4, 6, 4, 4, 5, 8, 5, 4, 4, 6, 4, 8, 7, 4, 4, 8)"
all monomials repair,"[0, 0, 1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48]",4,"(0.10443090001353994, 0.1297113999899011, 0.14068630000110716, 0.12632820001454093, 0.21568219998152927, 0.1984404000104405, 0.18948510001064278, 0.18886110000312328, 0.13781669997842982, 0.12050620000809431, 0.1449912999814842, 0.20783010000013746, 0.1402382999949623, 0.1600414999993518, 0.14752250001765788, 0.12134700000751764, 0.16902690002461895, 0.1416097999899648, 0.16330509999534115, 0.14957370000774972, 0.1303702000004705, 0.13651650000247173, 0.16088280000258237, 0.11475880001671612, 0.1387185000057798, 0.24542099999962375, 0.11298919998807833, 0.1358092000009492, 0.12383210001280531, 0.1979843000008259, 0.15446800002246164, 0.11841090000234544, 0.1495957000006456, 0.12037749998853542, 0.12254179999581538, 0.11227449998841621, 0.19247700000414625, 0.18484830000670627, 0.23038620001170784, 0.10747829999309033, 0.1780383999866899, 0.2168307999963872, 0.15743690001545474, 0.12094739999156445, 0.19124859999283217, 0.1250002000015229, 0.1292766000260599, 0.2143244000035338, 0.11563709998154081, 0.11297610000474378)","(0.06552980002015829, 0.04316920001292601, 0.043906600010814145, 0.11875979998148978, 0.1517679000098724, 0.23637339999550022, 0.15813760002492927, 0.25022739998530596, 0.10268470001756214, 0.1359241999743972, 0.13278539999737404, 0.15117800000007264, 0.191297699988354, 0.16710350001812913, 0.21950639999704435, 0.18098370000370778, 0.23069360002409667, 0.07524770000600256, 0.2131208999780938, 0.19222470000386238, 0.1659464999975171, 0.20335270001669414, 0.1382932999986224, 0.071959799999604, 0.10473230000934564, 0.27653259999351576, 0.07358810000005178, 0.13669789998675697, 0.13800959999207407, 0.2343657000164967, 0.1473503000161145, 0.11873810001998208, 0.19560390000697225, 0.07536469999467954, 0.10019289999036118, 0.1413851999968756, 0.12699399999110028, 0.16573499998776242, 0.2253070000151638, 0.10298429999966174, 0.12543970000115223, 0.20871119998628274, 0.1079920000047423, 0.1052196999953594, 0.15358990000095218, 0.15513120000832714, 0.06902930000796914, 0.25963790001696907, 0.07005589999607764, 0.21229460000176914)","(7, 4, 4, 16, 13, 17, 12, 17, 9, 19, 13, 18, 15, 16, 18, 15, 21, 10, 16, 18, 20, 16, 15, 5, 12, 21, 6, 15, 12, 24, 12, 10, 22, 9, 9, 14, 17, 19, 23, 10, 19, 16, 10, 16, 16, 16, 9, 19, 5, 18)"
adaptive repair base,"[0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",2,"(0.12216719999560155, 0.13581099998555146, 0.1810395999928005, 0.14468250001664273, 0.18784959998447448, 0.1352733000239823, 0.11676600002101623, 0.1592921999981627, 0.11965259999851696, 0.13631339999847114, 0.14958339999429882, 0.2106062000093516, 0.1676895999989938, 0.125787400000263, 0.19070770000689663, 0.11750779999420047, 0.1657775999919977, 0.12121330000809394, 0.1510169999965001, 0.12390450001112185, 0.16336489998502657, 0.1335053999791853, 0.14896790002239868, 0.10139970001182519, 0.15427910001017153, 0.2234308000188321, 0.13464030000614002, 0.14739140000892803, 0.1189369999920018, 0.17715490001137368, 0.13563159998739138, 0.15625460000592284, 0.1659984000143595, 0.1192297000088729, 0.11189369999920018, 0.1319231999805197, 0.19679200000246055, 0.19068889998015948, 0.21887430001515895, 0.09886310002184473, 0.14705109997885302, 0.15206490000127815, 0.13169439998455346, 0.145174200006295, 0.1584228000137955, 0.1515357999887783, 0.1332803999830503, 0.18004209999344312, 0.10648040001979098, 0.11899119999725372)","(0.08641479999641888, 0.07791660001385026, 0.09012979999533854, 0.11159709998173639, 0.1536727000202518, 0.1570540999819059, 0.12423180000041611, 0.15355020001879893, 0.13109690000419505, 0.21573009999701753, 0.12350349998450838, 0.20422559999860823, 0.14173670002492145, 0.17453450002358295, 0.17683469998883083, 0.191828799986979, 0.20442259998526424, 0.08756290000746958, 0.1627143000077922, 0.1559588999953121, 0.20297119999304414, 0.1482112999947276, 0.13365460000932217, 0.07221179999760352, 0.11803979999967851, 0.22596420001355, 0.11168159998487681, 0.13034580001840368, 0.12586040000314824, 0.22901749997981824, 0.15171480001299642, 0.11601870000595227, 0.20563209999818355, 0.09746299998369068, 0.11322460000519641, 0.15468189999228343, 0.18971520001650788, 0.19531820001429878, 0.17507269998895936, 0.07992799999192357, 0.22420890000648797, 0.18622259999392554, 0.09362850000616163, 0.11819000000832602, 0.17039239997393452, 0.14547570000286214, 0.10929130000295117, 0.14763019999372773, 0.042719699995359406, 0.23205429999507032)","(7, 4, 5, 10, 13, 17, 12, 17, 9, 19, 13, 18, 15, 16, 18, 15, 21, 10, 16, 18, 20, 16, 15, 5, 12, 21, 6, 15, 12, 24, 12, 10, 22, 9, 9, 14, 17, 19, 23, 10, 19, 16, 10, 16, 16, 16, 9, 19, 5, 18)"
adaptive repair + support for signature change,"[0, 0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49]",2,"(0.13200539999525063, 0.18029699998442084, 0.16473040002165362, 0.12193290001596324, 0.1657839999825228, 0.1494745999807492, 0.10737240000162274, 0.1744067000108771, 0.14330660001724027, 0.1735153000045102, 0.11105790000874549, 0.23951880002277903, 0.1738171000033617, 0.11990600000717677, 0.16586799998185597, 0.14712199999485165, 0.1680851000128314, 0.1554294999805279, 0.17522060000919737, 0.12503739999374375, 0.1700522000028286, 0.1179542999889236, 0.13550830000895076, 0.13984509999863803, 0.12094759999308735, 0.2212266999995336, 0.11724399999366142, 0.1450213999778498, 0.10485589999007061, 0.17646770001738332, 0.10527269999147393, 0.12958599999547005, 0.16978460000245832, 0.12127910001436248, 0.1268333000189159, 0.1412801000114996, 0.18549040000652894, 0.1791224000044167, 0.19694580000941642, 0.12008130000322126, 0.14488970002275892, 0.16654179999022745, 0.14246589998947456, 0.12094369999249466, 0.1430617999867536, 0.14188629999989644, 0.12160579999908805, 0.23012419999577105, 0.20718520000809804, 0.18003300001146272)","(0.09089770002174191, 0.10767660001874901, 0.07253060000948608, 0.16225069999927655, 0.12913320001098327, 0.1998483000206761, 0.16474829998333007, 0.1743420000129845, 0.1559895999962464, 0.20772080001188442, 0.18750840000575408, 0.16312409998499788, 0.15970369998831302, 0.17485219999798574, 0.20011480001267046, 0.10872180000296794, 0.19840510000358336, 0.1605316000059247, 0.1427642999915406, 0.20248969999374822, 0.14854500000365078, 0.21390649999375455, 0.17187469999771565, 0.040540300018619746, 0.15080549998674542, 0.25474750000284985, 0.09236109998892061, 0.12877670000307262, 0.11041759999352507, 0.28928060000180267, 0.17426689999410883, 0.1157435999775771, 0.17545469998731278, 0.14826029998948798, 0.130759300023783, 0.11632939998526126, 0.1529471999965608, 0.1790305000031367, 0.29338990000542253, 0.1670037999865599, 0.2049037000106182, 0.15923599997768179, 0.1224279000016395, 0.12426539999432862, 0.17527459998382255, 0.17158680001739413, 0.10505840001860633, 0.23366989998612553, 0.08205049997195601, 0.252627499983646)","(7, 4, 5, 10, 13, 17, 12, 17, 9, 19, 13, 18, 15, 16, 18, 15, 21, 10, 16, 18, 20, 16, 15, 5, 12, 21, 6, 15, 12, 24, 12, 10, 22, 9, 9, 14, 17, 19, 23, 10, 19, 16, 10, 16, 16, 16, 9, 19, 5, 18)"
