Label,Score,Learned Model ID,planing time,execute & repair time,Plan Length
oracle,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",-1,"(0.1478138999955263, 0.12718400000449037, 0.18525539999973262, 0.2033140000057756, 0.14797720000206027, 0.1742152000006172, 0.3081968999977107, 0.16716429999360116, 0.24008950000279583, 0.19647850000183098, 0.22896459999901708, 0.1160985000024084, 0.2150173999980325, 0.1591102999955183, 0.14584560000366764, 0.18990340000163997, 0.19058810000569792, 0.18118069999763975, 0.19862759999523405, 0.11169169999629958, 0.13415749999694526, 0.1735566999996081, 0.11773669999820413, 0.1838553000052343, 0.1524682999952347, 0.24192049999692244, 0.1237706000028993, 0.16005610000138404, 0.16937830000097165, 0.20205640000494896, 0.14391159999649972, 0.14570500000263564, 0.12897399999928894, 0.24925819999771193, 0.21555889999581268, 0.12575630000355886, 0.150872199999867, 0.10743139999976847, 0.2403007000029902, 0.20166129999415716, 0.19190380000509322, 0.14062669999839272, 0.11559219999617198, 0.20659280000108993, 0.2354851999989478, 0.17812050000065938, 0.1398135999988881, 0.2810740999993868, 0.12189580000267597, 0.16312850000394974)","(0.0038979999953880906, 0.009018199998536147, 0.024941399999079295, 0.03372910000325646, 0.003530599999066908, 0.030143599993607495, 0.06870820000040112, 0.01690960000269115, 0.03523779999522958, 0.02895169999828795, 0.02681270000175573, 0.001712299999780953, 0.01999200000136625, 0.007764300004055258, 0.0074396000054548495, 0.03582810000079917, 0.028851600000052713, 0.03868559999682475, 0.04026319999684347, 0.00194569999439409, 0.0053879999977652915, 0.043460099994263146, 0.003983599999628495, 0.02189850000286242, 0.012029299999994691, 0.04041260000667535, 0.001805400002922397, 0.006359900005918462, 0.015812999998161104, 0.040723199999774806, 0.008916000006138347, 0.0024778000006335787, 0.0025049999967450276, 0.05744250000134343, 0.04162489999725949, 0.0031431000024895184, 0.02010549999977229, 0.0032594000003882684, 0.04256049999821698, 0.03068119999807095, 0.034936000003654044, 0.030479799999739043, 0.0010225999940303154, 0.04200149999815039, 0.026712099999713246, 0.015279500003089197, 0.014656899998954032, 0.0451180000018212, 0.0018612999992910773, 0.021925600005488377)","(1, 17, 51, 44, 1, 34, 85, 23, 77, 35, 55, 3, 28, 16, 13, 64, 55, 60, 73, 3, 9, 71, 7, 52, 24, 66, 1, 8, 27, 76, 11, 2, 1, 68, 67, 9, 56, 5, 77, 61, 44, 37, 1, 53, 49, 32, 17, 76, 4, 39)"
base domain - no repair,"[0, 1, 1, 1, 1, 2, 2, 2, 3, 3, 4, 4, 4, 5, 6, 7, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 9, 10, 10, 10, 10, 11, 12, 12, 12, 13, 13, 13, 13, 13, 13, 14, 15, 15, 15, 16, 16, 16, 17, 17]",-1,"(0.10776679999980843, 0.2218120000034105, 0.2054835999952047, 0.19083069999760482, 0.11048959999607177, 0.1511291000060737, 0.19009019999793964, 0.14647400000103517, 0.22165880000102334, 0.20326709999790182, 0.2352561000006972, 0.12110430000029737, 0.14629250000143657, 0.14530879999801982, 0.16341950000060024, 0.22402669999428326, 0.24409749999904307, 0.37002919999940787, 0.1804171999974642, 0.12622779999946943, 0.13334100000065519, 0.18917620000138413, 0.11869689999730326, 0.15656309999758378, 0.1464983999976539, 0.19987229999969713, 0.13076670000009472, 0.14978880000126082, 0.17380629999388475, 0.212148899998283, 0.12529000000358792, 0.1247605000025942, 0.12154819999705069, 0.20303090000379598, 0.22349260000191862, 0.11775650000345195, 0.20125600000028498, 0.14968900000530994, 0.2078888000032748, 0.21882970000297064, 0.1627680000019609, 0.15980010000203038, 0.14132660000177566, 0.18650879999768222, 0.1831601000012597, 0.15339289999974426, 0.1709919000059017, 0.2453910000040196, 0.13413679999939632, 0.17149699999572476)","(0.0007227999958558939, 0.012921499997901265, 0.05654979999962961, 0.030980199997429736, 0.0012627999967662618, 0.015465099997527432, 0.04180410000117263, 0.02324640000006184, 0.0898933999997098, 0.03464209999947343, 0.03227319999859901, 0.002404200000455603, 0.014377699997567106, 0.015723699994850904, 0.014661899993370753, 0.08199859999876935, 0.05864250000013271, 0.046540199997252785, 0.053631899994798005, 0.0028362000011838973, 0.00766700000531273, 0.042596200000843965, 0.0033823999983724207, 0.02338700000109384, 0.01485349999711616, 0.030769000004511327, 0.0014771999994991347, 0.007970799997565337, 0.016387700001359917, 0.051359500001126435, 0.004850999997870531, 0.001007999999274034, 0.000876900005096104, 0.03914030000305502, 0.031918400003632996, 0.006470500004070345, 0.049334200004523154, 0.007559999998193234, 0.05975800000305753, 0.04037190000235569, 0.03302809999877354, 0.041281900004833005, 0.0025759000054677017, 0.020130600001721177, 0.04149300000426592, 0.01908469999762019, 0.007850399997550994, 0.045165200004703365, 0.0064971999963745475, 0.015951000001223292)","(1, 13, 63, 55, 1, 26, 64, 29, 96, 44, 70, 3, 34, 19, 15, 80, 70, 75, 91, 2, 10, 89, 6, 39, 18, 50, 1, 9, 21, 96, 10, 2, 1, 84, 84, 12, 70, 5, 58, 77, 56, 47, 1, 41, 61, 40, 13, 95, 4, 30)"
all monomials repair,"[0, 1, 1, 1, 1, 2, 2, 2, 3, 3, 4, 4, 4, 5, 6, 7, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 9, 10, 10, 10, 10, 11, 12, 12, 12, 13, 13, 13, 13, 13, 13, 14, 15, 15, 15, 16, 16, 16, 17, 17]",-1,"(0.12578700000449317, 0.12344429999939166, 0.21635990000504535, 0.15005260000179987, 0.10183109999343287, 0.1507555999996839, 0.18911509999452392, 0.12236129999655532, 0.21812360000330955, 0.140450899998541, 0.19503809999878285, 0.11596849999477854, 0.1726531000022078, 0.12760939999861876, 0.11898659999860683, 0.19944379999651574, 0.1525651999982074, 0.20662959999754094, 0.2198973999984446, 0.1267636000047787, 0.11107540000375593, 0.16485670000110986, 0.1130711000005249, 0.18290990000241436, 0.11400850000063656, 0.18481569999858038, 0.12872280000010505, 0.10723460000008345, 0.14245600000140257, 0.2054260000004433, 0.09961599999951432, 0.10127869999996619, 0.12616279999929247, 0.19143769999936922, 0.20277380000334233, 0.14655320000019856, 0.213904399999592, 0.11914260000048671, 0.18712309999682475, 0.2040116999996826, 0.19780820000596577, 0.16309069999988424, 0.09711140000581509, 0.13894910000090022, 0.143464299995685, 0.11564920000091661, 0.12011299999721814, 0.21122209999884944, 0.1127176000009058, 0.12431800000194926)","(0.00537639999674866, 0.05346740000095451, 0.28731900000275346, 0.3396792999992613, 0.004688599998189602, 0.09826240000256803, 0.3101786999977776, 0.2558141000044998, 0.8280311999988044, 0.4756011999998009, 0.8859044000055292, 0.02216450000560144, 0.44252920000144513, 0.21824119999655522, 0.23719529999652877, 1.3540248999997857, 1.284576800004288, 1.6119010000038543, 2.142427000006137, 0.015645200001017656, 0.2861966999989818, 2.4692753000053926, 0.041628300001320895, 0.28190729999914765, 0.12334430000191787, 0.4063956000027247, 0.004355900004156865, 0.23520750000170665, 0.21040630000061356, 2.8805103999984567, 0.06593970000540139, 0.027798499999335036, 0.004371399998490233, 2.7417433000009623, 3.050681300002907, 0.4933916000009049, 2.625549800002773, 0.021225299999059644, 0.725423600000795, 3.3738818999991054, 2.1843702999976813, 1.7962819000022137, 0.010262999996484723, 0.5054207000066526, 2.577240899998287, 1.6953227000049083, 0.13894790000631474, 4.363863799997489, 0.02175530000386061, 0.5735002000001259)","(1, 13, 63, 55, 1, 26, 64, 29, 96, 44, 70, 3, 34, 19, 15, 80, 70, 75, 91, 2, 10, 89, 6, 39, 18, 50, 1, 9, 21, 96, 10, 2, 1, 84, 84, 12, 70, 5, 58, 77, 56, 47, 1, 41, 61, 40, 13, 95, 4, 30)"
adaptive repair base,"[0, 1, 1, 1, 1, 2, 2, 2, 3, 3, 4, 4, 4, 5, 6, 7, 7, 7, 7, 7, 7, 8, 8, 8, 8, 8, 8, 9, 10, 10, 10, 10, 11, 12, 12, 12, 13, 13, 13, 13, 13, 13, 14, 15, 15, 15, 16, 16, 16, 17, 17]",-1,"(0.11885740000434453, 0.13927069999772357, 0.16529499999887776, 0.15779119999933755, 0.1477177000051597, 0.16214209999452578, 0.2232942999980878, 0.1596348000020953, 0.22487639999599196, 0.15154639999673236, 0.16859699999622535, 0.10898710000037681, 0.12789820000034524, 0.14469519999693148, 0.11171290000493173, 0.18892670000059297, 0.21289209999667946, 0.2071845000027679, 0.1799010000031558, 0.12052729999413714, 0.11310679999587592, 0.23178139999799896, 0.11985060000006342, 0.1430783000032534, 0.12146119999670191, 0.1765949999971781, 0.10631730000022799, 0.11750770000071498, 0.1554032999993069, 0.19421280000096885, 0.12902229999599513, 0.11036299999977928, 0.12120209999557119, 0.21205909999844152, 0.2529164000006858, 0.12492560000100639, 0.15253920000395738, 0.11180980000062846, 0.15748980000353185, 0.22457930000382476, 0.14036740000301506, 0.1897423999980674, 0.13032139999995707, 0.15295599999808474, 0.18285340000147698, 0.16339650000008987, 0.12746250000054715, 0.2964713000037591, 0.10117619999800809, 0.13336389999312814)","(0.0034474000058253296, 0.03995359999680659, 0.3258525999990525, 0.41723730000376236, 0.011196400002518203, 0.12154569999984233, 0.3579269000038039, 0.2510706000030041, 0.9605375999963144, 0.48740389999875333, 1.041424900002312, 0.011223300003621262, 0.5468621000036364, 0.28506490000290796, 0.18954020000091987, 1.338062799994077, 1.3421486000006553, 1.4676039000041783, 2.229963500001759, 0.009867000000667758, 0.25079600000026403, 2.6299589999980526, 0.027205999998841435, 0.2349811000021873, 0.11639329999889014, 0.44370969999727095, 0.008063199995376635, 0.2852790000033565, 0.16352919999917503, 2.876773399999365, 0.08487510000122711, 0.03706470000179252, 0.0068142000018269755, 2.6931317999988096, 2.7959582999974373, 0.4095253999985289, 2.524314599999343, 0.02360620000399649, 0.6115737000000081, 3.004570600001898, 2.2126945999989402, 1.9880231999995885, 0.007480299995222595, 0.5279429000001983, 2.780106300000625, 2.3999218000026303, 0.24716169999737758, 4.79291760000342, 0.020646699995268136, 0.3340946000025724)","(1, 13, 63, 55, 1, 26, 64, 29, 96, 44, 70, 3, 34, 19, 15, 80, 70, 75, 91, 2, 10, 89, 6, 39, 18, 50, 1, 9, 21, 96, 10, 2, 1, 84, 84, 12, 70, 5, 58, 77, 56, 47, 1, 41, 61, 40, 13, 95, 4, 30)"
adaptive repair + support for signature change,"[0, 1, 1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46]",-1,"(0.12170399999740766, 0.16084419999970123, 0.214653900002304, 0.1484723999965354, 0.10365350000211038, 0.14245269999810262, 0.1883148000051733, 0.13849660000414588, 0.1755717000050936, 0.1616890000004787, 0.21658880000177305, 0.12033949999749893, 0.15150310000171885, 0.11004519999551121, 0.12888870000460884, 0.22128950000478653, 0.14318129999446683, 0.15603720000217436, 0.20933589999913238, 0.09750110000459244, 0.09419670000352198, 0.1990254000047571, 0.1242606000014348, 0.16290280000248458, 0.16918109999824082, 0.17877839999709977, 0.11913140000251587, 0.13920130000042263, 0.14400970000133384, 0.2014061000008951, 0.13966410000284668, 0.13565989999915473, 0.11895479999657255, 0.15643990000535268, 0.2269979999982752, 0.09957479999866337, 0.19039200000406709, 0.11596959999587853, 0.20794130000285804, 0.236974100000225, 0.14100759999564616, 0.14950490000046557, 0.12229490000026999, 0.19342989999859128, 0.17268580000381917, 0.1630827000044519, 0.14310290000139503, 0.17665100000158418, 0.10678249999909895, 0.1709242000069935)","(0.0057630000010249205, 0.154740000005404, 0.653225800000655, 0.11665890000585932, 0.009920599994075019, 0.07238219999999274, 0.24241439999605063, 0.06103280000388622, 0.21279499999945983, 0.11795189999975264, 0.2462145999961649, 0.011822000000393018, 0.0929861000040546, 0.03922769999917364, 0.04557589999603806, 0.13977309999609133, 0.1524407999968389, 0.14211880000220845, 0.18899799999780953, 0.008720400001038797, 0.02428670000517741, 0.2333059999946272, 0.03494160000263946, 0.22165379999933066, 0.07050470000103815, 0.18457479999779025, 0.004301599998143502, 0.023506300000008196, 0.055243099996005185, 0.23795049999898765, 0.037851799999771174, 0.014524699996400159, 0.005801799998153001, 0.1952605999977095, 0.21492159999615978, 0.039629500002774876, 0.14605500000470784, 0.02924160000111442, 0.23605420000239974, 0.23422179999761283, 0.10563250000268454, 0.15231920000223909, 0.007435300001816358, 0.14175719999911962, 0.16865210000105435, 0.09035639999638079, 0.03557150000415277, 0.25724150000314694, 0.024420699999609496, 0.11132460000226274)","(1, 13, 63, 44, 1, 34, 85, 23, 77, 35, 55, 3, 28, 16, 13, 64, 55, 60, 73, 3, 9, 71, 7, 52, 24, 66, 1, 8, 27, 76, 11, 2, 1, 68, 67, 9, 56, 5, 77, 61, 44, 37, 1, 53, 49, 32, 17, 76, 4, 39)"
