Label,Score,Learned Model ID,planing time,execute & repair time,Plan Length
oracle,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48, 49, 50]",-1,"(0.2017731000087224, 0.10009260001243092, 0.24852750002173707, 0.11476889997720718, 0.17707899998640642, 0.1475339000171516, 0.1350510999909602, 0.21278470000834204, 0.13446840000688098, 0.16310940001858398, 0.20160570001462474, 0.16809170000487939, 0.16502179999952205, 0.12624830001732334, 0.18418499999097548, 0.12839600001461804, 0.15662860000156797, 0.20388750001438893, 0.10882080000010319, 0.15451959997881204, 0.19178549997741356, 0.141150799987372, 0.17219499999191612, 0.17100120001123287, 0.1818392999994103, 0.17182369998772629, 0.1269453999993857, 0.13212910000584088, 0.17330770002445206, 0.11179889997583814, 0.150066699978197, 0.1421375999925658, 0.13226399998529814, 0.10955819999799132, 0.10237399998004548, 0.19727899998542853, 0.18571230000816286, 0.1957747999986168, 0.14739800000097603, 0.1407263999863062, 0.11372200000914745, 0.16546029999153689, 0.21690870000747964, 0.1537417000217829, 0.15707770001608878, 0.1409208999830298, 0.13345849997131154, 0.1724291999998968, 0.17172240000218153, 0.16334139998070896)","(0.018273499998031184, 0.001386700023431331, 0.04847710000467487, 0.007372199994279072, 0.0514205000072252, 0.012094100005924702, 0.009120200003962964, 0.048044800001662225, 0.025715600000694394, 0.0590348000114318, 0.05535690000397153, 0.017240599991055205, 0.038679400022374466, 0.0064845000160858035, 0.037000900018028915, 0.006269000004976988, 0.028518900013295934, 0.029775299975881353, 0.005758199986303225, 0.013750500016612932, 0.042371699993964285, 0.02300029998878017, 0.015945599996484816, 0.029217799979960546, 0.030807800008915365, 0.027076700003817677, 0.01015630000620149, 0.011316199990687892, 0.049068699998315424, 0.0010834000131580979, 0.007782400003634393, 0.023166800005128607, 0.0292677000106778, 0.0017742999771144241, 0.007415200001560152, 0.02100300000165589, 0.05713680002372712, 0.02138849999755621, 0.028158999979496002, 0.019952000002376735, 0.006580199988093227, 0.02814019998186268, 0.04220809999969788, 0.01042320000124164, 0.022748000017600134, 0.027961399988271296, 0.013185900024836883, 0.028864000021712855, 0.02654869999969378, 0.01975249999668449)","(39, 1, 72, 9, 69, 23, 9, 78, 57, 74, 77, 63, 66, 13, 70, 10, 33, 74, 7, 35, 67, 31, 38, 31, 62, 69, 27, 33, 57, 1, 21, 56, 41, 3, 9, 74, 72, 49, 51, 33, 17, 70, 73, 22, 66, 53, 22, 61, 71, 73)"
base domain - no repair,"[0, 0, 1, 1, 2, 2, 2, 3, 3, 3, 3, 3, 3, 3, 4, 4, 5, 5, 5, 5, 6, 6, 6, 6, 6, 6, 6, 6, 7, 7, 8, 8, 8, 8, 8, 9, 9, 9, 9, 9, 9, 10, 10, 10, 11, 11, 11, 11, 11, 11, 11]",-1,"(0.14298480001161806, 0.09202119999099523, 0.14805709998472594, 0.10057470001629554, 0.16029070000513457, 0.12803160000476055, 0.12750899998354726, 0.16018690000055358, 0.11638140000286512, 0.13125679999939166, 0.1639212000009138, 0.12311069999122992, 0.1514988999988418, 0.09548990000621416, 0.14573799999197945, 0.12495709999348037, 0.11326199999894015, 0.16604409998399206, 0.10971220000647008, 0.15493940000305884, 0.11316820001229644, 0.09673729998758063, 0.10850309999659657, 0.11531160000595264, 0.1556140000175219, 0.20117409998783842, 0.11731579998740926, 0.1344676000007894, 0.12906330000259914, 0.10394110000925139, 0.15287869999883696, 0.1580915999948047, 0.1367448999953922, 0.09286760000395589, 0.13161400001263246, 0.2296986999863293, 0.16651420001289807, 0.1679456999991089, 0.1660037999972701, 0.12276690002181567, 0.10713019999093376, 0.15780680000898428, 0.16985989999375306, 0.11442510000779293, 0.16265450001810677, 0.12633179998374544, 0.12000840000109747, 0.15855419999570586, 0.13450810001813807, 0.1664914000139106)","(0.02161070000147447, 0.0012012000079266727, 0.03600590000860393, 0.006711199996061623, 0.02050250000320375, 0.011175100022228435, 0.007375799992587417, 0.05892340000718832, 0.011662300006719306, 0.015416899987030774, 0.025481699994998053, 0.0262763999926392, 0.02581379999173805, 0.004814699990674853, 0.03874570000334643, 0.009915899980114773, 0.016536499984795228, 0.038012600009096786, 0.004865199996856973, 0.011759899993194267, 0.02652519999537617, 0.008770300017204136, 0.01170170001569204, 0.00890879999496974, 0.043058899987954646, 0.03749600000446662, 0.006690200010780245, 0.03338199999416247, 0.06100050001987256, 0.002083600003970787, 0.007755500002531335, 0.029649200005223975, 0.019833600003039464, 0.0025599999935366213, 0.005276800016872585, 0.0394222000031732, 0.05210199998691678, 0.020088099990971386, 0.047577799996361136, 0.012882699986221269, 0.020627199992304668, 0.02893999998923391, 0.022581700002774596, 0.00967790000140667, 0.032062599988421425, 0.018369700002949685, 0.01549019999220036, 0.024162600020645186, 0.017475999979069456, 0.027341899985913187)","(49, 1, 56, 10, 53, 18, 11, 98, 43, 56, 97, 48, 83, 16, 87, 13, 27, 56, 5, 43, 50, 24, 29, 24, 77, 86, 20, 41, 71, 1, 17, 44, 31, 2, 11, 93, 90, 62, 65, 25, 21, 53, 55, 28, 82, 40, 17, 77, 54, 91)"
all monomials repair,"[0, 0, 1, 1, 1, 1, 1, 2, 2, 2, 2, 2, 2, 2, 3, 3, 4, 5, 5, 6, 6, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",-1,"(0.1562829999893438, 0.1050198000157252, 0.14223149997997098, 1.0210758000030182, 0.19564300001366064, 0.12271240001427941, 0.14836160000413656, 0.14789280001423322, 0.19072959999903105, 0.11411399999633431, 0.13627329998416826, 0.1205848999961745, 0.15721430000849068, 0.09680150001076981, 0.15172059999895282, 0.08958659999188967, 0.1324388000066392, 0.1619166000164114, 0.12243649997981265, 0.17763799999374896, 0.15573090000543743, 0.1334723000181839, 0.14950080000562593, 0.13836090001859702, 0.13566559998434968, 0.18169090000446886, 0.13964320000377484, 0.12329789999057539, 0.11924659999203868, 0.09454659998300485, 0.12191310001071543, 0.16091289999894798, 0.14015849999850616, 0.0940192999842111, 0.10175830000662245, 0.18367560001206584, 0.14340940001420677, 0.14462050001020543, 0.16514850000385195, 0.14437419999740086, 0.13692639998043887, 0.1448750999988988, 0.14171680001891218, 0.13287460000719875, 0.2232207000197377, 0.19511990001774393, 0.16977479998604394, 0.17285509998328052, 0.14485640000202693, 0.1464898000122048)","(0.26756040001055226, 0.006980000005569309, 0.3774971000093501, 0.15987559998757206, 0.05002929997863248, 0.015796199993928894, 0.07730520001496188, 0.11974060002830811, 0.11456799998995848, 0.02592360001290217, 0.0191839000035543, 0.12953079998260364, 0.15207630000077188, 0.04896099999314174, 0.12059620002401061, 0.025550699996529147, 0.11038289999123663, 0.12922050000634044, 0.02358840001397766, 0.1442387000133749, 0.061790999985532835, 0.11323940000147559, 0.10412689999793656, 0.08460819997708313, 0.1691694000037387, 0.17552150000119582, 0.06465279997792095, 0.0855710000032559, 0.1414715000137221, 0.008266500022727996, 0.04507759999250993, 0.11434239998925477, 0.09281070000724867, 0.014778200013097376, 0.044229499995708466, 0.20958490000339225, 0.23716140000033192, 0.15634209997369908, 0.17661739999311976, 0.11524699997971766, 0.057005400012712926, 0.1717369999969378, 0.18926189999911003, 0.059616100013954565, 0.1874495000229217, 0.25362180001684465, 0.06957209997926839, 0.13796170000568964, 0.190899699984584, 0.2085365999955684)","(49, 1, 61, 41, 9, 3, 12, 19, 22, 5, 5, 27, 65, 13, 47, 10, 34, 43, 7, 40, 19, 31, 38, 31, 62, 69, 27, 33, 57, 1, 21, 56, 41, 3, 9, 74, 72, 49, 51, 33, 17, 70, 73, 22, 66, 53, 22, 61, 71, 73)"
adaptive repair base,"[0, 0, 1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 44, 45, 46, 47]",47,"(0.11879619999672286, 0.09231150001869537, 0.15531770000234246, 0.14568630000576377, 0.27337599999736995, 0.1417485999991186, 0.10500720000709407, 0.17076900001848117, 0.14811249999911524, 0.1921001000155229, 0.14858500001719221, 0.14123819998349063, 0.1369288999994751, 0.11211299998103641, 0.1667920000036247, 0.1140041999751702, 0.15062820000457577, 0.1521696999843698, 0.10822980001103133, 0.13391830000909977, 0.15967229998204857, 0.110623000015039, 0.14423879998503253, 0.11529679998056963, 0.18029170000227168, 0.15760839998256415, 0.11591049999697134, 0.12240890000248328, 0.18231820000801235, 0.0834587000135798, 0.134389300015755, 0.16178189998026937, 0.1364439000026323, 0.08978379998006858, 0.1016356999753043, 0.16050739999627694, 0.13797680000425316, 0.14251629999489523, 0.19164880001335405, 0.13343119999626651, 0.1068700999894645, 0.16838960000313818, 0.15576210001017898, 0.12460149999242276, 0.16510870002093725, 0.1779683000058867, 0.13642470000195317, 0.16323879998526536, 0.1609494000149425, 0.1895502999832388)","(0.38652440000441857, 0.008152399997925386, 0.5641965999966487, 0.023451799992471933, 0.20221010001841933, 0.06348529999377206, 0.0177347999997437, 0.1577652000123635, 0.14685789999202825, 0.1757389999984298, 0.20947780000278726, 0.17875099999946542, 0.236974100000225, 0.037147499999264255, 0.15439199999673292, 0.042053000011947006, 0.11317820000112988, 0.1822855000209529, 0.0366974999778904, 0.07017580000683665, 0.13837329999660142, 0.08094639997580089, 0.06557860001339577, 0.08763520000502467, 0.15557209998951294, 0.20322230001329444, 0.09976810001535341, 0.10921799999778159, 0.19214410000131465, 0.003085600008489564, 0.0537717999832239, 0.11754060001112521, 0.09366749998298474, 0.011878199991770089, 0.019634600001154467, 0.19812810001894832, 0.1495498000003863, 0.13786180000170134, 0.13256330002332106, 0.06917959998827428, 0.05023549997713417, 0.14137539998046122, 0.18902720001642592, 0.06639600000926293, 0.22438449997571297, 0.13849710000795312, 0.0884968000173103, 0.26135750001412816, 0.1704244000138715, 0.24376489999121986)","(49, 1, 56, 9, 69, 23, 9, 78, 57, 74, 77, 63, 66, 13, 70, 10, 33, 74, 7, 35, 67, 31, 38, 31, 62, 69, 27, 33, 57, 1, 21, 56, 41, 3, 9, 74, 72, 49, 51, 33, 17, 70, 73, 22, 66, 53, 22, 61, 71, 73)"
adaptive repair + support for signature change,"[0, 0, 1, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 44, 45, 46, 47]",47,"(0.1466161000134889, 0.09039490000577644, 0.13171079999301583, 0.12486359998001717, 0.17274199999519624, 0.1075309999869205, 0.10240929998690262, 0.16037870000582188, 0.13625999999931082, 0.17911900000763126, 0.1703284000104759, 0.19466929999180138, 0.13733860000502318, 0.1260745999752544, 0.14796430000569671, 0.11533120000967756, 0.13337199998204596, 0.17603390000294894, 0.11086990000330843, 0.11969439999666065, 0.15058320001116954, 0.13763610000023618, 0.14452860000892542, 0.12739159999182448, 0.16004710001288913, 0.16225660001509823, 0.139239300013287, 0.1043264000036288, 0.16113039999618195, 0.09703390000504442, 0.12988469999982044, 0.15794340000138618, 0.12245579998125322, 0.10467070000595413, 0.09562459998414852, 0.19731419999152422, 0.18076529999962077, 0.1597349000221584, 0.15984960002242588, 0.13295110000763088, 0.14919759999611415, 0.2584234999958426, 0.17815540000447072, 0.1137866000062786, 0.14697349999914877, 0.13247290000435896, 0.12065570001141168, 0.153183699992951, 0.16079259998514317, 0.15248849999625236)","(0.4305214999767486, 0.00794419998419471, 0.4707054999889806, 0.032007700006943196, 0.21080159998382442, 0.04078569999546744, 0.039257500000530854, 0.18863729998702183, 0.13104720000410452, 0.16499799999292009, 0.2055252999998629, 0.22451219998765737, 0.2348952000029385, 0.04772130001219921, 0.22373570001218468, 0.044144099985715, 0.10982000001240522, 0.1751906000135932, 0.03226300000096671, 0.10769129998516291, 0.23374900000635535, 0.08125719998497516, 0.13987359998282045, 0.08937560001504607, 0.15924489998724312, 0.19470119997276925, 0.10686729999724776, 0.08782490002340637, 0.1418890999921132, 0.00646280002547428, 0.047950000007404014, 0.15333269999246113, 0.10747409999021329, 0.0083681000105571, 0.025065299996640533, 0.18006210000021383, 0.23973460000706837, 0.13212039999780245, 0.14578829999663867, 0.11784079999779351, 0.08264029998099431, 0.21385299999383278, 0.13866979998419993, 0.07424499999615364, 0.1343427999818232, 0.2085875000047963, 0.07489639997947961, 0.18786889998591505, 0.28725049999775365, 0.15780280000763014)","(49, 1, 56, 9, 69, 23, 9, 78, 57, 74, 77, 63, 66, 13, 70, 10, 33, 74, 7, 35, 67, 31, 38, 31, 62, 69, 27, 33, 57, 1, 21, 56, 41, 3, 9, 74, 72, 49, 51, 33, 17, 70, 73, 22, 66, 53, 22, 61, 71, 73)"
